party,OLS_coefficient,p_value,0.01,0.99,country,period,party_name_english,party_name_short,party_name,family_name
Democratic Party,-0.1567744279422008,4.96076013318909e-127,-0.1735643822039603,-0.1399844736804413,IT,4,Democratic Party,PD,Partito Democratico,Social democracy
Italy Alive,-0.0827746935843279,3.8167109484769095e-79,-0.0940722522436318,-0.071477134925024,IT,4,Italy Alive,IV,Italia Viva,Liberal
Other,-0.0475508000146539,1.804046891411153e-26,-0.0590481551988263,-0.0360534448304815,IT,4,,X,ALTRO,
More Europe,-0.0447456678633833,7.701791819690685e-27,-0.0554850099901671,-0.0340063257365996,IT,4,More Europe,+EU,+Europa,Liberal
Left,-0.0325374939615205,2.4788809109457765e-13,-0.0439840422374872,-0.0210909456855539,IT,4,Left,S,Sinistra,Communist/Socialist
Five Star Movement,-0.0191676194931444,0.0017727932109091,-0.0349621482189131,-0.0033730907673757,IT,4,Five Star Movement,M5S,Movimento 5 Stelle,no family
Democratic Centre,-0.0057425923748498,0.1560568126025971,-0.0161710338955462,0.0046858491458464,IT,4,,CD,Centro Democratico,
South Tyrol Peoples Party,-0.003547584115679,0.3802103864797502,-0.0139614611123409,0.0068662928809828,IT,4,South Tyrol Peoples Party,SVP,Südtiroler Volkspartei,Special issue
South American Union Italian Emigrants,-0.0009140292966262,0.8211570695820584,-0.0113294069231928,0.0095013483299402,IT,4,South American Union Italian Emigrants,USEI,Unione Sudamericana Emigrati Italiani,Conservative
Union / Centre,0.0001497230137235,0.9706972537103292,-0.0103494638226689,0.0106489098501159,IT,4,Union / Centre,UC,Unione / Centro,Christian democracy
Associative Italians Abroad,0.0005501281084771,0.8917845787701648,-0.0098660808488265,0.0109663370657808,IT,4,Associative Italians Abroad,AIE,Associativo Italiani all'Estero,Special issue
Go Italy -- The People of Freedom,0.1090865289956439,1.4799617725693335e-117,0.0969314003414002,0.1212416576498876,IT,4,Go Italy -- The People of Freedom,FI-PdL,Forza Italia – Il Popolo della Libertà,Conservative
Brothers of Italy,0.1240912709021514,1.6945498717215732e-166,0.1125168241549554,0.1356657176493474,IT,4,Brothers of Italy,FdI,Fratelli d'Italia,Right-wing
North League,0.2709986016559198,0.0,0.2586231085762583,0.2833740947355813,IT,4,North League,LN,Lega Nord,Right-wing
