tile_id,num_no_hh,people,ngiant,frac_no_hh,frac_giant,x,y,hc1,hc2
199,7,40,32.0,0.175,0.8,51,2,0.5766929,0.013273729
200,6,11,9.0,0.5454545454545454,0.8181818181818182,52,2,0.15699215,0.0032077525
272,2,27,24.0,0.07407407407407407,0.8888888888888888,50,3,0.4050379,0.010141653
273,2,152,132.0,0.013157894736842105,0.868421052631579,51,3,2.2780912,0.07304769
274,1,31,22.0,0.03225806451612903,0.7096774193548387,52,3,0.4580547,0.011411396
346,7,91,75.0,0.07692307692307693,0.8241758241758241,50,4,1.4137802,0.042186573
347,4,263,226.0,0.015209125475285171,0.8593155893536122,51,4,4.0878496,0.15988196
348,6,79,66.0,0.0759493670886076,0.8354430379746836,52,4,1.2076766,0.035547167
413,20,37,28.0,0.5405405405405406,0.7567567567567568,43,5,0.62126946,0.019570969
414,5,33,27.0,0.15151515151515152,0.8181818181818182,44,5,0.54873586,0.015387953
419,2,2,1.0,1.0,0.5,49,5,0.03200652,0.00072421745
420,3,33,24.0,0.09090909090909091,0.7272727272727273,50,5,0.52769494,0.014590681
421,5,164,154.0,0.03048780487804878,0.9390243902439024,51,5,2.6174097,0.09055681
422,10,91,80.0,0.10989010989010989,0.8791208791208791,52,5,1.4317831,0.041907314
480,4,22,18.0,0.18181818181818182,0.8181818181818182,36,6,0.36585718,0.008893285
482,4,22,21.0,0.18181818181818182,0.9545454545454546,38,6,0.37878802,0.011459324
483,7,30,28.0,0.23333333333333334,0.9333333333333333,39,6,0.5273574,0.0194709
486,9,42,34.0,0.21428571428571427,0.8095238095238095,42,6,0.7455854,0.028997622
487,7,383,358.0,0.018276762402088774,0.9347258485639687,43,6,6.779139,0.32243204
488,1,77,72.0,0.012987012987012988,0.935064935064935,44,6,1.3372489,0.04540075
493,2,4,3.0,0.5,0.75,49,6,0.06605929,0.0015277485
494,2,74,60.0,0.02702702702702703,0.8108108108108109,50,6,1.2181733,0.033499133
495,6,63,55.0,0.09523809523809523,0.873015873015873,51,6,1.0296161,0.028988328
496,3,30,28.0,0.1,0.9333333333333333,52,6,0.48402506,0.012092171
554,1,10,10.0,0.1,1.0,36,7,0.17265926,0.0044619488
555,0,1,1.0,0.0,1.0,37,7,0.017606735,0.0005048368
557,10,137,134.0,0.072992700729927,0.9781021897810219,39,7,2.5660794,0.13973954
558,41,821,806.0,0.049939098660170524,0.9817295980511571,40,7,15.979689,1.380144
559,23,491,478.0,0.04684317718940937,0.9735234215885947,41,7,9.483213,0.7018097
561,5,134,122.0,0.03731343283582089,0.9104477611940298,43,7,2.4618793,0.101957396
562,2,28,25.0,0.07142857142857142,0.8928571428571429,44,7,0.5043212,0.01630048
567,0,1,0.0,0.0,0.0,49,7,0.01704209,0.0003933388
568,1,49,40.0,0.02040816326530612,0.8163265306122449,50,7,0.82998323,0.021168787
569,8,16,12.0,0.5,0.75,51,7,0.26839143,0.006512863
570,5,6,4.0,0.8333333333333334,0.6666666666666666,52,7,0.09944978,0.0022361288
628,1,22,20.0,0.045454545454545456,0.9090909090909091,36,8,0.39451763,0.011024352
629,10,40,37.0,0.25,0.925,37,8,0.73384774,0.023731148
630,3,12,12.0,0.25,1.0,38,8,0.22672506,0.009093462
631,2,324,317.0,0.006172839506172839,0.9783950617283951,39,8,6.4192286,0.43427393
632,60,1097,1086.0,0.054694621695533276,0.9899726526891522,40,8,22.838762,2.45395
633,66,897,890.0,0.07357859531772576,0.992196209587514,41,8,18.518976,1.7902979
634,2,2,1.0,1.0,0.5,42,8,0.03928684,0.0020136973
641,1,2,2.0,0.5,1.0,49,8,0.035203442,0.0008144711
642,3,5,3.0,0.6,0.6,50,8,0.08724941,0.0020408444
643,5,10,5.0,0.5,0.5,51,8,0.17276677,0.0039830054
702,5,7,5.0,0.7142857142857143,0.7142857142857143,36,9,0.1302329,0.003742227
703,4,23,20.0,0.17391304347826086,0.8695652173913043,37,9,0.4384454,0.014627434
704,5,5,3.0,1.0,0.6,38,9,0.098225236,0.0039876723
705,2,73,67.0,0.0273972602739726,0.9178082191780822,39,9,1.5007102,0.09298695
706,22,1114,1091.0,0.019748653500897665,0.9793536804308797,40,9,24.196072,2.6105177
707,55,786,782.0,0.06997455470737914,0.9949109414758269,41,9,16.962511,1.6506702
708,2,4,4.0,0.5,1.0,42,9,0.08205236,0.0044086715
709,2,5,4.0,0.4,0.8,43,9,0.0991064,0.003742515
716,1,2,2.0,0.5,1.0,50,9,0.03606154,0.00084228464
717,3,5,4.0,0.6,0.8,51,9,0.08922136,0.002056768
777,3,6,3.0,0.5,0.5,37,10,0.1188423,0.004134834
778,1,12,12.0,0.08333333333333333,1.0,38,10,0.24501814,0.010373164
779,1,49,49.0,0.02040816326530612,1.0,39,10,1.0424434,0.06167008
780,33,814,801.0,0.04054054054054054,0.984029484029484,40,10,18.234055,1.7958269
781,33,889,882.0,0.03712035995500562,0.9921259842519685,41,10,19.96521,1.978621
783,3,5,4.0,0.6,0.8,43,10,0.10331016,0.004140209
796,0,1,0.0,0.0,0.0,56,10,0.017342139,0.00037227984
851,4,79,76.0,0.05063291139240506,0.9620253164556962,37,11,1.629479,0.06433719
852,5,141,134.0,0.03546099290780142,0.950354609929078,38,11,3.0039337,0.14940143
853,2,49,41.0,0.04081632653061224,0.8367346938775511,39,11,1.0822785,0.06610436
854,21,824,816.0,0.025485436893203883,0.9902912621359223,40,11,19.111483,1.8657453
855,4,1009,995.0,0.003964321110009911,0.9861248761149654,41,11,23.608866,2.4413118
857,1,1,1.0,1.0,1.0,43,11,0.021630958,0.0009841879
865,1,1,1.0,1.0,1.0,51,11,0.01916932,0.00047788388
866,4,7,6.0,0.5714285714285714,0.8571428571428571,52,11,0.13262933,0.0032737586
867,1,5,4.0,0.2,0.8,53,11,0.09354981,0.0022577
916,1,1,1.0,1.0,1.0,28,12,0.017776387,0.0003896743
917,4,5,2.0,0.8,0.4,29,12,0.09060069,0.0020599684
921,0,2,0.0,0.0,0.0,33,12,0.03913328,0.0010404306
922,1,5,4.0,0.2,0.8,34,12,0.09982996,0.0028339145
925,2,5,3.0,0.4,0.6,37,12,0.10704331,0.0042666076
926,6,427,413.0,0.01405152224824356,0.9672131147540983,38,12,9.470885,0.5480362
927,0,272,269.0,0.0,0.9889705882352942,39,12,6.229408,0.41227487
928,57,895,886.0,0.06368715083798883,0.9899441340782122,40,12,21.392181,2.0443053
929,16,1154,1144.0,0.01386481802426343,0.9913344887348353,41,12,28.004368,2.959117
930,8,340,333.0,0.023529411764705882,0.9794117647058823,42,12,8.014693,0.6197972
931,17,330,323.0,0.051515151515151514,0.9787878787878788,43,12,7.5413113,0.47246128
932,3,5,4.0,0.6,0.8,44,12,0.110226974,0.0046369615
933,2,5,3.0,0.4,0.6,45,12,0.1075179,0.0036670654
948,5,6,4.0,0.8333333333333334,0.6666666666666666,60,12,0.1052721,0.0026410616
949,1,6,6.0,0.16666666666666666,1.0,61,12,0.104225546,0.0031523579
950,26,353,323.0,0.07365439093484419,0.9150141643059491,62,12,6.0751624,0.2592859
951,1,1,1.0,1.0,1.0,63,12,0.016682634,0.00045819615
990,4,5,2.0,0.8,0.4,28,13,0.091864295,0.0021255917
991,1,1,1.0,1.0,1.0,29,13,0.01874617,0.00044640544
993,1,1,1.0,1.0,1.0,31,13,0.01951793,0.00050013216
994,1,4,4.0,0.25,1.0,32,13,0.07968627,0.0021431977
995,1,1,0.0,1.0,0.0,33,13,0.020338446,0.00057624775
996,4,10,9.0,0.4,0.9,34,13,0.2078139,0.00638692
997,2,58,54.0,0.034482758620689655,0.9310344827586207,35,13,1.2331698,0.043119457
998,3,127,112.0,0.023622047244094488,0.8818897637795275,36,13,2.7616017,0.10897652
1000,7,29,25.0,0.2413793103448276,0.8620689655172413,38,13,0.6591764,0.029691154
1001,8,61,57.0,0.13114754098360656,0.9344262295081968,39,13,1.42575,0.07644044
1002,14,306,300.0,0.0457516339869281,0.9803921568627451,40,13,7.3954015,0.5309041
1003,31,566,560.0,0.054770318021201414,0.9893992932862191,41,13,13.992332,1.2201334
1004,30,732,718.0,0.040983606557377046,0.9808743169398907,42,13,18.022882,1.5783374
1005,12,686,671.0,0.01749271137026239,0.978134110787172,43,13,16.471767,1.2512832
1007,4,4,2.0,1.0,0.5,45,13,0.08959847,0.003226115
1009,3,5,4.0,0.6,0.8,47,13,0.10859135,0.0033683605
1010,5,16,15.0,0.3125,0.9375,48,13,0.34375045,0.010499961
1022,3,3,3.0,1.0,1.0,60,13,0.054543853,0.0015009823
1023,4,235,216.0,0.01702127659574468,0.9191489361702128,61,13,4.242033,0.16556343
1024,3,340,321.0,0.008823529411764706,0.9441176470588235,62,13,6.050881,0.26866636
1025,9,28,22.0,0.32142857142857145,0.7857142857142857,63,13,0.4824311,0.014260667
1064,2,2,1.0,1.0,0.5,28,14,0.038021874,0.0009297456
1065,0,1,1.0,0.0,1.0,29,14,0.019419005,0.00048888125
1066,1,1,1.0,1.0,1.0,30,14,0.019838827,0.0005183203
1067,1,1,1.0,1.0,1.0,31,14,0.020272104,0.0005529145
1069,0,1,1.0,0.0,1.0,33,14,0.021185488,0.00064458017
1070,3,4,3.0,0.75,0.75,34,14,0.08667996,0.0028464235
1071,0,11,11.0,0.0,1.0,35,14,0.24389212,0.008862121
1072,10,130,118.0,0.07692307692307693,0.9076923076923077,36,14,2.946222,0.12222376
1073,0,1,1.0,0.0,1.0,37,14,0.023020117,0.0009042591
1074,2,5,5.0,0.4,1.0,38,14,0.11727646,0.0048674974
1075,3,12,11.0,0.25,0.9166666666666666,39,14,0.28790337,0.013556581
1076,21,54,54.0,0.3888888888888889,1.0,40,14,1.3306555,0.07740998
1077,31,662,656.0,0.04682779456193353,0.9909365558912386,41,14,16.759682,1.339615
1078,10,522,517.0,0.019157088122605363,0.9904214559386973,42,14,13.21817,1.0477542
1079,26,314,307.0,0.08280254777070063,0.9777070063694268,43,14,7.7779436,0.51930285
1083,1,1,1.0,1.0,1.0,47,14,0.02264902,0.0007438764
1084,1,1,1.0,1.0,1.0,48,14,0.022436239,0.0007322676
1087,0,7,7.0,0.0,1.0,51,14,0.15271422,0.005047671
1097,4,33,27.0,0.12121212121212122,0.8181818181818182,61,14,0.61121666,0.018718153
1098,5,13,10.0,0.38461538461538464,0.7692307692307693,62,14,0.2362017,0.0072097927
1138,17,33,30.0,0.5151515151515151,0.9090909090909091,28,15,0.6501482,0.017353946
1140,4,5,4.0,0.8,0.8,30,15,0.10306021,0.0028898194
1141,1,1,1.0,1.0,1.0,31,15,0.02109716,0.0006191265
1144,1,1,0.0,1.0,0.0,34,15,0.022702836,0.0008327125
1145,2,7,7.0,0.2857142857142857,1.0,35,15,0.16287321,0.006687644
1146,7,17,15.0,0.4117647058823529,0.8823529411764706,36,15,0.4034453,0.01770327
1147,6,6,6.0,1.0,1.0,37,15,0.14421399,0.0060551097
1148,1,7,7.0,0.14285714285714285,1.0,38,15,0.17084633,0.007355443
1149,4,74,71.0,0.05405405405405406,0.9594594594594594,39,15,1.8438092,0.09003655
1150,19,93,91.0,0.20430107526881722,0.978494623655914,40,15,2.372758,0.13586
1151,3,142,142.0,0.02112676056338028,1.0,41,15,3.703022,0.25593245
1152,30,290,284.0,0.10344827586206896,0.9793103448275862,42,15,7.5760875,0.5429904
1153,1,380,369.0,0.002631578947368421,0.9710526315789474,43,15,9.763078,0.6450703
1159,6,48,42.0,0.125,0.875,49,15,1.1249604,0.04508396
1160,6,102,99.0,0.058823529411764705,0.9705882352941176,50,15,2.3822896,0.1056824
1161,5,12,11.0,0.4166666666666667,0.9166666666666666,51,15,0.27675828,0.0114585245
1214,3,10,9.0,0.3,0.9,30,16,0.21453448,0.0065043634
1215,2,6,5.0,0.3333333333333333,0.8333333333333334,31,16,0.13204694,0.0042387894
1219,11,184,183.0,0.059782608695652176,0.9945652173913043,35,16,4.5555143,0.26067805
1220,12,418,408.0,0.028708133971291867,0.9760765550239234,36,16,10.537543,0.64630765
1221,5,11,11.0,0.45454545454545453,1.0,37,16,0.2779724,0.013450182
1222,5,17,15.0,0.29411764705882354,0.8823529411764706,38,16,0.43417454,0.02034444
1223,2,56,55.0,0.03571428571428571,0.9821428571428571,39,16,1.4588137,0.07638304
