tile_id,x,y,people,hc1,hc2,pvhe
199,51,2,40,0.5766925,0.013273699,-0.0460081008410079
200,52,2,11,0.15699206,0.0032077464,-0.0460081008410079
272,50,3,27,0.4050376,0.010141629,-0.0460081008410079
273,51,3,152,2.2780898,0.07304749,-0.0460081008410079
274,52,3,31,0.45805442,0.01141137,-0.0460081008410079
346,50,4,91,1.4137791,0.04218646,-0.044558552537702786
347,51,4,263,4.0878468,0.15988149,-0.0460081008410079
348,52,4,79,1.2076759,0.035547078,-0.0460081008410079
413,43,5,37,0.6212687,0.01957091,-0.0406465187662241
414,44,5,33,0.5487352,0.0153879095,-0.04276485362464701
419,49,5,2,0.032006495,0.0007242158,-0.04338353277235884
420,50,5,33,0.5276945,0.014590643,-0.0413161629762868
421,51,5,164,2.6174078,0.090556554,-0.04597877479813431
422,52,5,91,1.4317822,0.041907206,-0.0460081008410079
480,36,6,22,0.36585662,0.008893259,-0.0588521330733297
482,38,6,22,0.37878746,0.011459288,-0.0444898172861287
483,39,6,30,0.52735656,0.019470835,-0.0444898172861287
486,42,6,42,0.7455843,0.028997527,-0.04086062603809463
487,43,6,383,6.77913,0.32243094,-0.0406465187662241
488,44,6,77,1.3372473,0.045400612,-0.05300480060417062
493,49,6,4,0.06605924,0.001527745,-0.05201984592398834
494,50,6,74,1.2181723,0.03349905,-0.04710155956243344
495,51,6,63,1.0296154,0.028988255,-0.0460040121078789
496,52,6,30,0.48402473,0.012092144,-0.0460081008410079
554,36,7,10,0.172659,0.0044619353,-0.05826643831583869
555,37,7,1,0.017606707,0.0005048352,-0.046425402813140074
557,39,7,137,2.566075,0.13973904,-0.0444898172861287
558,40,7,821,15.979662,1.3801389,-0.03756841356764465
559,41,7,491,9.483198,0.7018071,-0.04002010886720564
561,43,7,134,2.461876,0.10195706,-0.04516890578788699
562,44,7,28,0.50432056,0.016300432,-0.05106772594447597
567,49,7,1,0.017042074,0.0003933379,-0.061714175641546166
568,50,7,49,0.8299826,0.021168737,-0.04606410489838696
569,51,7,16,0.26839122,0.0065128487,-0.0460081008410079
570,52,7,6,0.09944972,0.0022361244,-0.0460081008410079
628,36,8,22,0.394517,0.011024318,-0.04566676338470714
629,37,8,40,0.73384655,0.023731072,-0.0444898172861287
