tile_id,i,j,x,y,people,hc1,hc2,pvhe
199,51,2,51,2,40,0.5766925,0.013273699,0.0092413136614282
200,52,2,52,2,11,0.15699206,0.0032077464,0.0092413136614282
272,50,3,50,3,27,0.4050376,0.010141629,0.0092413136614282
273,51,3,51,3,152,2.2780898,0.07304749,0.0092413136614282
274,52,3,52,3,31,0.45805442,0.01141137,0.0092413136614282
346,50,4,50,4,91,1.4137791,0.04218646,0.010835853382543954
347,51,4,51,4,263,4.0878468,0.15988149,0.0092413136614282
348,52,4,52,4,79,1.2076759,0.035547078,0.0092413136614282
413,43,5,43,5,37,0.6212687,0.01957091,0.0151391892732804
414,44,5,44,5,33,0.5487352,0.0153879095,0.01294455263281925
419,49,5,49,5,2,0.032006495,0.0007242158,0.012128404782635275
420,50,5,50,5,33,0.5276945,0.014590643,0.014402563739984602
421,51,5,51,5,164,2.6174078,0.090556554,0.009273573048796299
422,52,5,52,5,91,1.4317822,0.041907206,0.0092413136614282
480,36,6,36,6,22,0.36585662,0.008893259,-0.0058162929989153
482,38,6,38,6,22,0.37878746,0.011459288,0.0129588364050311
483,39,6,39,6,30,0.52735656,0.019470835,0.0129588364050311
486,42,6,42,6,42,0.7455843,0.028997527,0.01487805884696342
487,43,6,43,6,383,6.77913,0.32243094,0.0151391892732804
488,44,6,44,6,77,1.3372473,0.045400612,0.002335765854711346
493,49,6,49,6,4,0.06605924,0.001527745,0.0031091409392816796
494,50,6,50,6,74,1.2181723,0.03349905,0.0081328000058369
495,51,6,51,6,63,1.0296154,0.028988255,0.009245811371072209
496,52,6,52,6,30,0.48402473,0.012092144,0.0092413136614282
554,36,7,36,7,10,0.172659,0.0044619353,-0.0050506438497087205
555,37,7,37,7,1,0.017606707,0.0005048352,0.01042854329071108
557,39,7,39,7,137,2.566075,0.13973904,0.0129588364050311
558,40,7,40,7,821,15.979662,1.3801389,0.017034400610155796
559,41,7,41,7,491,9.483198,0.7018071,0.01452986484107873
561,43,7,43,7,134,2.461876,0.10195706,0.009623576278821551
562,44,7,44,7,28,0.50432056,0.016300432,0.003514969859155968
567,49,7,49,7,1,0.017042074,0.0003933379,-0.006779386174384686
568,50,7,50,7,49,0.8299826,0.021168737,0.009184187727402544
569,51,7,51,7,16,0.26839122,0.0065128487,0.0092413136614282
570,52,7,52,7,6,0.09944972,0.0022361244,0.0092413136614282
628,36,8,36,8,22,0.394517,0.011024318,0.011420274265771347
629,37,8,37,8,40,0.73384655,0.023731072,0.0129588364050311
630,38,8,38,8,12,0.22672468,0.009093431,0.0129588364050311
631,39,8,39,8,324,6.4192176,0.43427235,0.016261053916958146
632,40,8,40,8,1097,22.83872,2.4539406,0.029038994486131776
633,41,8,41,8,897,18.518944,1.7902911,0.018673253823681752
634,42,8,42,8,2,0.039286777,0.00201369,0.0100282828822516
641,49,8,49,8,2,0.03520341,0.0008144693,-0.0073240164895283545
642,50,8,50,8,5,0.08724934,0.00204084,0.0092413136614282
643,51,8,51,8,10,0.17276664,0.0039829975,0.0092413136614282
702,36,9,36,9,7,0.13023268,0.0037422152,0.006627518636649028
703,37,9,37,9,23,0.43844467,0.014627386,0.012929717923815144
704,38,9,38,9,5,0.098225065,0.003987659,0.012771344356149846
705,39,9,39,9,73,1.5007075,0.09298661,0.015723001619450533
706,40,9,40,9,1114,24.196026,2.6105077,0.027653329607155944
707,41,9,41,9,786,16.96248,1.650664,0.01850577484418138
708,42,9,42,9,4,0.08205222,0.004408656,0.0043157095394451336
709,43,9,43,9,5,0.09910625,0.003742503,0.014423812426402085
716,50,9,50,9,2,0.03606151,0.00084228284,0.0092413136614282
717,51,9,51,9,5,0.08922129,0.0020567637,0.0092413136614282
777,37,10,37,10,6,0.11884209,0.0041348203,0.008555993544817647
778,38,10,38,10,12,0.2450177,0.010373129,0.008190807453751801
779,39,10,39,10,49,1.0424415,0.06166986,0.0017814229135412196
780,40,10,40,10,814,18.23402,1.7958201,0.016772808121412464
781,41,10,41,10,889,19.965172,1.9786135,0.011513129785447548
783,43,10,43,10,5,0.10331,0.0041401954,0.01288598079961011
796,56,10,56,10,1,0.017342133,0.00037227935,-0.0118082143839139
851,37,11,37,11,79,1.6294762,0.06433697,0.00024426416422608467
852,38,11,38,11,141,3.0039282,0.14940089,0.0011145881370859699
853,39,11,39,11,49,1.0822765,0.06610412,0.0004736874844397
854,40,11,40,11,824,19.111444,1.8657383,0.007179212587726336
855,41,11,41,11,1009,23.608822,2.4413025,0.004125223434715687
857,43,11,43,11,1,0.021630922,0.0009841847,0.011043752823342768
865,51,11,51,11,1,0.019169303,0.00047788286,0.0092413136614282
866,52,11,52,11,7,0.13262923,0.003273752,0.0092413136614282
867,53,11,53,11,5,0.09354974,0.0022576957,-0.004331852459382986
916,28,12,28,12,1,0.017776355,0.0003896731,0.0173204623525184
