tile_id,num_no_hh,people,ngiant,frac_no_hh,frac_giant,x,y,hc1,hc2
306,2,2,2.0,1.0,1.0,33,3,0.026990715,0.00046720583
397,12,27,14.0,0.4444444444444444,0.5185185185185185,33,4,0.37567323,0.007746895
398,0,23,18.0,0.0,0.782608695652174,34,4,0.3233932,0.006702632
489,2,2,0.0,1.0,0.0,34,5,0.028982611,0.0005902962
581,2,77,64.0,0.025974025974025976,0.8311688311688312,35,6,1.1724051,0.03517642
620,2,2,1.0,1.0,0.5,74,6,0.025100138,0.00045911266
621,2,4,1.0,0.5,0.25,75,6,0.04944129,0.0009168617
622,1,7,4.0,0.14285714285714285,0.5714285714285714,76,6,0.08510946,0.0015882159
623,2,7,1.0,0.2857142857142857,0.14285714285714285,77,6,0.08359224,0.0015208197
624,4,6,1.0,0.6666666666666666,0.16666666666666666,78,6,0.07028132,0.0012104056
625,1,1,0.0,1.0,0.0,79,6,0.011480367,0.00018040779
672,15,91,82.0,0.16483516483516483,0.9010989010989011,35,7,1.4374362,0.04854522
710,1,1,0.0,1.0,0.0,73,7,0.013100765,0.0002599079
711,4,10,7.0,0.4,0.7,74,7,0.12922207,0.0027255756
712,1,5,4.0,0.2,0.8,75,7,0.063597694,0.0013355562
713,3,4,2.0,0.75,0.5,76,7,0.050000157,0.0010456647
714,2,4,1.0,0.5,0.25,77,7,0.04902567,0.0009840324
715,3,4,1.0,0.75,0.25,78,7,0.047977492,0.00088389154
717,0,1,0.0,0.0,0.0,80,7,0.011486827,0.0001786943
763,3,34,27.0,0.08823529411764706,0.7941176470588235,35,8,0.55654025,0.018674916
764,15,88,79.0,0.17045454545454544,0.8977272727272727,36,8,1.457192,0.053035002
800,3,7,6.0,0.42857142857142855,0.8571428571428571,72,8,0.09581597,0.0020935747
801,2,6,4.0,0.3333333333333333,0.6666666666666666,73,8,0.081114024,0.0018586349
802,2,5,4.0,0.4,0.8,74,8,0.066676244,0.0015891584
803,2,6,4.0,0.3333333333333333,0.6666666666666666,75,8,0.07879054,0.0019607483
804,11,23,16.0,0.4782608695652174,0.6956521739130435,76,8,0.29673484,0.0077932347
805,4,18,9.0,0.2222222222222222,0.5,77,8,0.22720686,0.005672367
806,1,1,1.0,1.0,1.0,78,8,0.0122955665,0.00024772828
809,1,1,0.0,1.0,0.0,81,8,0.01147086,0.00017661155
854,8,105,94.0,0.0761904761904762,0.8952380952380953,35,9,1.7898947,0.073032446
855,7,109,99.0,0.06422018348623854,0.908256880733945,36,9,1.8807734,0.07878727
891,3,5,2.0,0.6,0.4,72,9,0.07070359,0.0017381923
892,6,10,7.0,0.6,0.7,73,9,0.14000624,0.0038570287
893,3,7,6.0,0.42857142857142855,0.8571428571428571,74,9,0.09685036,0.002893446
894,5,33,27.0,0.15151515151515152,0.8181818181818182,75,9,0.45000628,0.014994314
895,6,16,11.0,0.375,0.6875,76,9,0.21374364,0.0069950656
896,2,70,49.0,0.02857142857142857,0.7,77,9,0.91197973,0.029888777
897,2,2,1.0,1.0,0.5,78,9,0.025220364,0.00056802906
944,11,91,75.0,0.12087912087912088,0.8241758241758241,34,10,1.5773412,0.060023434
945,0,53,53.0,0.0,1.0,35,10,0.93681335,0.037842136
