tile_id,i,j,x,y,people,hc1,hc2,pvhe
306,33,3,33,3,2,0.026990715,0.00046720583,-0.0177310136713752
397,33,4,33,4,27,0.37567323,0.007746895,-0.0177310136713752
398,34,4,34,4,23,0.3233932,0.006702632,-0.0177310136713752
489,34,5,34,5,2,0.028982611,0.0005902962,-0.0177310136713752
581,35,6,35,6,77,1.1724051,0.03517642,-0.016637699910468984
620,74,6,74,6,2,0.025100138,0.00045911266,0.0007686543417907
621,75,6,75,6,4,0.04944129,0.0009168617,0.0007686543417907
622,76,6,76,6,7,0.08510946,0.0015882159,0.0007686543417907
623,77,6,77,6,7,0.08359224,0.0015208197,0.0007686543417907
624,78,6,78,6,6,0.07028132,0.0012104056,0.0007686543417907
625,79,6,79,6,1,0.011480367,0.00018040779,-0.004930113452915695
672,35,7,35,7,91,1.4374362,0.04854522,-0.015419369437152452
710,73,7,73,7,1,0.013100765,0.0002599079,0.0007686543417907
711,74,7,74,7,10,0.12922207,0.0027255756,0.0007686543417907
712,75,7,75,7,5,0.063597694,0.0013355562,0.0007686543417907
713,76,7,76,7,4,0.050000157,0.0010456647,0.0007686543417907
714,77,7,77,7,4,0.04902567,0.0009840324,0.0007686543417907
715,78,7,78,7,4,0.047977492,0.00088389154,0.0006892427713420278
717,80,7,80,7,1,0.011486827,0.0001786943,-0.0091769843271025
763,35,8,35,8,34,0.55654025,0.018674916,-0.0142276207647866
764,36,8,36,8,88,1.457192,0.053035002,-0.01572461129832348
800,72,8,72,8,7,0.09581597,0.0020935747,0.0007686543417907
801,73,8,73,8,6,0.081114024,0.0018586349,0.0007686543417907
802,74,8,74,8,5,0.066676244,0.0015891584,0.0007686543417907
803,75,8,75,8,6,0.07879054,0.0019607483,0.0007686543417907
804,76,8,76,8,23,0.29673484,0.0077932347,0.0007686543417907
805,77,8,77,8,18,0.22720686,0.005672367,0.0007686543417907
806,78,8,78,8,1,0.0122955665,0.00024772828,-0.004827443668240744
809,81,8,81,8,1,0.01147086,0.00017661155,-0.0091769843271025
854,35,9,35,9,105,1.7898947,0.073032446,-0.013233220347546057
855,36,9,36,9,109,1.8807734,0.07878727,-0.014743241313076147
891,72,9,72,9,5,0.07070359,0.0017381923,0.0007686543417907
892,73,9,73,9,10,0.14000624,0.0038570287,0.0007686543417907
893,74,9,74,9,7,0.09685036,0.002893446,0.0007686543417907
894,75,9,75,9,33,0.45000628,0.014994314,0.0007686543417907
895,76,9,76,9,16,0.21374364,0.0069950656,0.0007960914400295991
896,77,9,77,9,70,0.91197973,0.029888777,0.0004554001604411158
897,78,9,78,9,2,0.025220364,0.00056802906,-0.008843138065414945
944,34,10,34,10,91,1.5773412,0.060023434,-0.010188448752263
945,35,10,35,10,53,0.93681335,0.037842136,-0.010188448752263
946,36,10,36,10,81,1.4550946,0.064705215,-0.011086865182002855
982,72,10,72,10,5,0.07324557,0.0021183095,0.0007686543417907
983,73,10,73,10,28,0.4085687,0.015225338,0.0007686543417907
984,74,10,74,10,37,0.53712255,0.024902763,0.0007686543417907
985,75,10,75,10,62,0.8839995,0.04220896,0.000842177679869195
986,76,10,76,10,125,1.7382787,0.08410394,-0.0013353561548505209
987,77,10,77,10,18,0.24065465,0.0077771675,-0.008685003412225193
1032,31,11,31,11,11,0.18506067,0.004886864,-0.0051903187670079
1033,32,11,32,11,27,0.46342695,0.013483677,-0.006626668332832085
1034,33,11,33,11,46,0.80644125,0.026496185,-0.010188448752263
1035,34,11,34,11,64,1.1472687,0.04302809,-0.010188448752263
