tile_id,num_no_hh,people,ngiant,frac_no_hh,frac_giant,x,y,hc1,hc2
545,1,1,1.0,1.0,1.0,35,5,0.011392461,0.00014713839
647,1,6,5.0,0.16666666666666666,0.8333333333333334,35,6,0.06994851,0.0009479696
648,1,11,9.0,0.09090909090909091,0.8181818181818182,36,6,0.12825526,0.0017644034
649,2,14,9.0,0.14285714285714285,0.6428571428571429,37,6,0.1631828,0.0022503608
748,4,10,5.0,0.4,0.5,34,7,0.11930786,0.0016776607
749,4,5,1.0,0.8,0.2,35,7,0.059663143,0.000834441
750,5,13,9.0,0.38461538461538464,0.6923076923076923,36,7,0.15513673,0.0022013541
751,2,12,7.0,0.16666666666666666,0.5833333333333334,37,7,0.14316249,0.0020341454
752,7,12,3.0,0.5833333333333334,0.25,38,7,0.14308506,0.0020396663
753,5,28,24.0,0.17857142857142858,0.8571428571428571,39,7,0.3336951,0.0049393
754,4,49,22.0,0.08163265306122448,0.4489795918367347,40,7,0.5832744,0.008828364
759,1,1,0.0,1.0,0.0,45,7,0.011740945,0.00015335457
774,1,1,0.0,1.0,0.0,60,7,0.01076825,0.00012717892
849,5,6,3.0,0.8333333333333334,0.5,33,8,0.073268116,0.0010517882
850,1,13,8.0,0.07692307692307693,0.6153846153846154,34,8,0.15882048,0.0023078558
854,1,1,0.0,1.0,0.0,38,8,0.012205989,0.0001752234
855,1,12,7.0,0.08333333333333333,0.5833333333333334,39,8,0.14637402,0.0021495253
856,6,11,5.0,0.5454545454545454,0.45454545454545453,40,8,0.13398838,0.0019576394
936,1,1,0.0,1.0,0.0,18,9,0.012203515,0.00021317927
951,1,1,1.0,1.0,1.0,33,9,0.012508539,0.00018283541
952,3,4,3.0,0.75,0.75,34,9,0.05004845,0.0007334504
955,1,1,0.0,1.0,0.0,37,9,0.012507753,0.00018239871
956,8,18,7.0,0.4444444444444444,0.3888888888888889,38,9,0.2250688,0.0033715293
957,2,2,0.0,1.0,0.0,39,9,0.024979867,0.00036582872
964,2,2,2.0,1.0,1.0,46,9,0.024544181,0.00034752424
965,3,16,9.0,0.1875,0.5625,47,9,0.1955853,0.0028329678
966,1,13,7.0,0.07692307692307693,0.5384615384615384,48,9,0.15816782,0.0022693267
967,2,12,9.0,0.16666666666666666,0.75,49,9,0.14524011,0.002051538
968,4,6,4.0,0.6666666666666666,0.6666666666666666,50,9,0.07220915,0.0009935325
975,2,46,27.0,0.043478260869565216,0.5869565217391305,57,9,0.5312679,0.008452935
976,8,30,18.0,0.26666666666666666,0.6,58,9,0.34361577,0.0052659255
1036,0,1,1.0,0.0,1.0,16,10,0.012449827,0.0002378708
1037,4,6,3.0,0.6666666666666666,0.5,17,10,0.075050585,0.0014252587
1038,2,5,3.0,0.4,0.6,18,10,0.062834665,0.001182301
1057,4,7,1.0,0.5714285714285714,0.14285714285714285,37,10,0.08974081,0.0013588965
1058,3,5,1.0,0.6,0.2,38,10,0.064063676,0.0009681857
1067,4,7,2.0,0.5714285714285714,0.2857142857142857,47,10,0.087698445,0.0013098989
1068,4,5,1.0,0.8,0.2,48,10,0.062320735,0.00091591506
1069,1,5,3.0,0.2,0.6,49,10,0.061973486,0.00089618674
1070,3,7,2.0,0.42857142857142855,0.2857142857142857,50,10,0.086250976,0.001227331
1077,4,82,38.0,0.04878048780487805,0.4634146341463415,57,10,0.971259,0.018566892
1078,11,77,53.0,0.14285714285714285,0.6883116883116883,58,10,0.9035351,0.016142717
1079,0,1,0.0,0.0,0.0,59,10,0.011597234,0.00017036073
1080,2,7,3.0,0.2857142857142857,0.42857142857142855,60,10,0.08031767,0.0011021071
1081,2,5,2.0,0.4,0.4,61,10,0.056771588,0.0007434905
1136,1,1,0.0,1.0,0.0,14,11,0.0127483085,0.0002778743
1137,2,8,6.0,0.25,0.75,15,11,0.10228765,0.002165038
1138,1,7,5.0,0.14285714285714285,0.7142857142857143,16,11,0.08985109,0.0018586692
1139,1,1,0.0,1.0,0.0,17,11,0.012895249,0.00026227027
1141,1,4,3.0,0.25,0.75,19,11,0.05209584,0.0010567453
1142,2,4,0.0,0.5,0.0,20,11,0.0523141,0.0010561787
1158,3,6,2.0,0.5,0.3333333333333333,36,11,0.078899816,0.0012279055
1159,4,12,9.0,0.3333333333333333,0.75,37,11,0.15777023,0.0024763027
1168,1,2,0.0,0.5,0.0,46,11,0.025832497,0.00040770305
1169,1,14,11.0,0.07142857142857142,0.7857142857142857,47,11,0.17995225,0.002843906
1171,3,3,2.0,1.0,0.6666666666666666,49,11,0.038099777,0.0005660831
1172,2,2,0.0,1.0,0.0,50,11,0.025239393,0.0003674425
1173,1,1,0.0,1.0,0.0,51,11,0.01253856,0.00017927775
1178,8,59,40.0,0.13559322033898305,0.6779661016949152,56,11,0.71915233,0.013121273
1179,5,266,166.0,0.018796992481203006,0.6240601503759399,57,11,3.2313242,0.076514
1180,5,11,6.0,0.45454545454545453,0.5454545454545454,58,11,0.13202,0.0023509585
1181,3,14,4.0,0.21428571428571427,0.2857142857142857,59,11,0.16612993,0.0026559809
1183,1,4,3.0,0.25,0.75,61,11,0.046397842,0.0006372262
1237,3,7,5.0,0.42857142857142855,0.7142857142857143,13,12,0.09237499,0.0024398896
1238,3,22,15.0,0.13636363636363635,0.6818181818181818,14,12,0.2900414,0.007103005
1239,1,1,1.0,1.0,1.0,15,12,0.013198602,0.00030114906
1244,1,7,3.0,0.14285714285714285,0.42857142857142855,20,12,0.09476994,0.00215445
1255,1,1,1.0,1.0,1.0,31,12,0.013490557,0.00022016715
1260,1,7,6.0,0.14285714285714285,0.8571428571428571,36,12,0.09445017,0.0015179792
1262,1,1,1.0,1.0,1.0,38,12,0.013482896,0.0002149071
1265,3,10,6.0,0.3,0.6,41,12,0.13467568,0.0023308888
1266,2,54,35.0,0.037037037037037035,0.6481481481481481,42,12,0.7268908,0.013535973
1267,3,69,62.0,0.043478260869565216,0.8985507246376812,43,12,0.9274877,0.017883064
1268,6,10,7.0,0.6,0.7,44,12,0.13397676,0.0024439578
1269,0,1,1.0,0.0,1.0,45,12,0.0133433305,0.00023530146
1270,2,10,6.0,0.2,0.6,46,12,0.13282332,0.0023212705
1271,0,1,0.0,0.0,0.0,47,12,0.013205759,0.00022290385
1276,3,5,0.0,0.6,0.0,52,12,0.063802876,0.00094327895
1277,0,5,4.0,0.0,0.8,53,12,0.063382834,0.00093884603
1278,1,7,6.0,0.14285714285714285,0.8571428571428571,54,12,0.08816127,0.0013202737
1279,2,3,0.0,0.6666666666666666,0.0,55,12,0.037553407,0.00057953206
1280,1,18,10.0,0.05555555555555555,0.5555555555555556,56,12,0.224128,0.0037910165
1281,4,12,4.0,0.3333333333333333,0.3333333333333333,57,12,0.14853597,0.0027103848
1282,4,20,10.0,0.2,0.5,58,12,0.2454777,0.00449032
1283,3,61,44.0,0.04918032786885246,0.7213114754098361,59,12,0.74152917,0.013876984
1284,9,109,63.0,0.08256880733944955,0.5779816513761468,60,12,1.3099172,0.023884635
1337,3,12,7.0,0.25,0.5833333333333334,11,13,0.16746575,0.0067546437
1338,5,202,179.0,0.024752475247524754,0.8861386138613861,12,13,2.7972436,0.10822825
1339,4,121,100.0,0.03305785123966942,0.8264462809917356,13,13,1.6597112,0.053782746
1340,2,5,2.0,0.4,0.4,14,13,0.06816674,0.0018178747
1345,3,11,5.0,0.2727272727272727,0.45454545454545453,19,13,0.1540149,0.004141021
1346,2,6,4.0,0.3333333333333333,0.6666666666666666,20,13,0.0845284,0.0023301896
1361,2,5,4.0,0.4,0.8,35,13,0.06926614,0.0011477842
1362,4,5,3.0,0.8,0.6,36,13,0.06926646,0.0011488714
1366,5,84,58.0,0.05952380952380952,0.6904761904761905,40,13,1.1643242,0.022469807
1367,7,46,33.0,0.15217391304347827,0.717391304347826,41,13,0.6369905,0.012112052
1368,1,22,14.0,0.045454545454545456,0.6363636363636364,42,13,0.30434608,0.0058096643
1369,1,30,23.0,0.03333333333333333,0.7666666666666667,43,13,0.4149151,0.008504262
1370,3,91,71.0,0.03296703296703297,0.7802197802197802,44,13,1.2572837,0.027983544
1371,6,38,28.0,0.15789473684210525,0.7368421052631579,45,13,0.52305895,0.011258957
1372,3,6,4.0,0.5,0.6666666666666666,46,13,0.082228765,0.0017582843
1375,1,1,1.0,1.0,1.0,49,13,0.013364024,0.00021756413
1378,2,2,1.0,1.0,0.5,52,13,0.02614948,0.0003988807
1379,1,7,4.0,0.14285714285714285,0.5714285714285714,53,13,0.0908967,0.0013962057
1380,1,1,0.0,1.0,0.0,54,13,0.012896603,0.00019886189
1381,1,5,4.0,0.2,0.8,55,13,0.06407691,0.001030491
1382,3,5,0.0,0.6,0.0,56,13,0.06368766,0.001088121
1383,5,22,9.0,0.22727272727272727,0.4090909090909091,57,13,0.27849856,0.00519117
1384,11,135,81.0,0.08148148148148149,0.6,58,13,1.6983348,0.03734535
1385,9,128,79.0,0.0703125,0.6171875,59,13,1.5928162,0.033471
1386,3,7,2.0,0.42857142857142855,0.2857142857142857,60,13,0.08585593,0.0014247341
1437,6,156,143.0,0.038461538461538464,0.9166666666666666,9,14,2.3947058,0.172752
1438,25,201,181.0,0.12437810945273632,0.900497512437811,10,14,3.0374732,0.19455479
1439,46,756,711.0,0.06084656084656084,0.9404761904761905,11,14,11.218393,0.7011177
1440,2,175,166.0,0.011428571428571429,0.9485714285714286,12,14,2.5291271,0.11199895
1446,1,13,12.0,0.07692307692307693,0.9230769230769231,18,14,0.18796714,0.0058216704
1447,3,108,88.0,0.027777777777777776,0.8148148148148148,19,14,1.5813777,0.05596045
1448,12,252,209.0,0.047619047619047616,0.8293650793650794,20,14,3.72666,0.1476285
1449,4,35,28.0,0.11428571428571428,0.8,21,14,0.51767534,0.017979378
1450,4,6,3.0,0.6666666666666666,0.5,22,14,0.088611856,0.002854608
1451,8,63,51.0,0.12698412698412698,0.8095238095238095,23,14,0.92845,0.029779123
1462,1,2,0.0,0.5,0.0,34,14,0.028459249,0.00048733965
1463,2,2,1.0,1.0,0.5,35,14,0.028464185,0.0004874576
1464,2,6,3.0,0.3333333333333333,0.5,36,14,0.08540196,0.0014688985
1468,1,29,25.0,0.034482758620689655,0.8620689655172413,40,14,0.4128071,0.00776149
1469,1,4,2.0,0.25,0.5,41,14,0.056886964,0.0010612778
1471,3,105,84.0,0.02857142857142857,0.8,43,14,1.4957423,0.034993593
1472,5,123,99.0,0.04065040650406504,0.8048780487804879,44,14,1.753979,0.04683677
1473,19,146,106.0,0.13013698630136986,0.726027397260274,45,14,2.075099,0.05598315
1474,15,323,260.0,0.04643962848297214,0.804953560371517,46,14,4.5825963,0.14343633
1475,17,537,444.0,0.03165735567970205,0.8268156424581006,47,14,7.5771966,0.25525233
1477,1,2,2.0,0.5,1.0,49,14,0.027434127,0.0004695963
1481,2,5,0.0,0.4,0.0,53,14,0.06653564,0.0010560707
1482,1,1,0.0,1.0,0.0,54,14,0.013212033,0.00021197705
1483,3,39,20.0,0.07692307692307693,0.5128205128205128,55,14,0.5121225,0.009014903
1484,3,100,70.0,0.03,0.7,56,14,1.3055608,0.025958851
1485,2,86,67.0,0.023255813953488372,0.7790697674418605,57,14,1.1147233,0.023070028
1486,3,197,124.0,0.015228426395939087,0.6294416243654822,58,14,2.534379,0.05886093
1487,13,65,43.0,0.2,0.6615384615384615,59,14,0.8252768,0.016025102
1488,1,1,0.0,1.0,0.0,60,14,0.012514194,0.00019706142
1537,1,1,1.0,1.0,1.0,7,15,0.01654335,0.0015380878
1538,15,503,491.0,0.02982107355864811,0.9761431411530815,8,15,8.649014,1.0095898
1539,7,2565,2534.0,0.0027290448343079924,0.9879142300194932,9,15,44.769234,6.454419
1540,2,600,584.0,0.0033333333333333335,0.9733333333333334,10,15,9.83677,0.91131365
1541,5,50,45.0,0.1,0.9,11,15,0.77613235,0.04719501
1545,1,1,1.0,1.0,1.0,15,15,0.014524532,0.00041493354
1547,3,45,42.0,0.06666666666666667,0.9333333333333333,17,15,0.668954,0.023130711
1548,8,184,152.0,0.043478260869565216,0.8260869565217391,18,15,2.7892764,0.11967462
1549,5,123,117.0,0.04065040650406504,0.9512195121951219,19,15,1.8923023,0.0869011
1550,13,403,369.0,0.03225806451612903,0.9156327543424317,20,15,6.286675,0.33581933
1551,16,281,251.0,0.05693950177935943,0.8932384341637011,21,15,4.389388,0.2196981
1552,17,166,154.0,0.10240963855421686,0.927710843373494,22,15,2.584674,0.11865869
1553,19,509,467.0,0.03732809430255403,0.9174852652259332,23,15,7.9136796,0.39411485
1554,0,7,6.0,0.0,0.8571428571428571,24,15,0.10691916,0.0037726192
1563,1,1,1.0,1.0,1.0,33,15,0.01462536,0.00026110187
1564,1,1,0.0,1.0,0.0,34,15,0.014628008,0.00025981377
1566,1,5,3.0,0.2,0.6,36,15,0.07318044,0.0013076566
1569,1,2,1.0,0.5,0.5,39,15,0.029270709,0.00053753576
1570,2,7,5.0,0.2857142857142857,0.7142857142857143,40,15,0.10243556,0.0019450075
1571,3,10,7.0,0.3,0.7,41,15,0.14624307,0.002841965
1572,3,6,1.0,0.5,0.16666666666666666,42,15,0.08768793,0.0017557576
1573,5,30,24.0,0.16666666666666666,0.8,43,15,0.43925846,0.010344299
1574,2,541,430.0,0.0036968576709796672,0.7948243992606284,44,15,7.957402,0.27097073
1575,6,59,38.0,0.1016949152542373,0.6440677966101694,45,15,0.8603861,0.022460738
1576,1,169,143.0,0.005917159763313609,0.8461538461538461,46,15,2.4515514,0.066066734
1577,4,91,77.0,0.04395604395604396,0.8461538461538461,47,15,1.3092629,0.032498654
1579,5,6,4.0,0.8333333333333334,0.6666666666666666,49,15,0.084444806,0.0014916495
1584,1,4,3.0,0.25,0.75,54,15,0.0541551,0.00090075575
1585,1,11,7.0,0.09090909090909091,0.6363636363636364,55,15,0.14782481,0.0025564265
1586,11,68,47.0,0.16176470588235295,0.6911764705882353,56,15,0.9075822,0.017341636
1587,4,27,15.0,0.14814814814814814,0.5555555555555556,57,15,0.35717803,0.006679506
1588,1,23,13.0,0.043478260869565216,0.5652173913043478,58,15,0.30121088,0.0055166217
1589,1,1,0.0,1.0,0.0,59,15,0.012936158,0.00021421812
1637,6,376,374.0,0.015957446808510637,0.9946808510638298,5,16,6.448418,0.8144282
1638,10,1765,1747.0,0.0056657223796034,0.9898016997167138,6,16,32.34981,5.076787
1639,20,2159,2148.0,0.009263547938860583,0.9949050486336267,7,16,41.24824,7.056336
1640,104,4140,4121.0,0.025120772946859903,0.9954106280193237,8,16,82.31303,16.907457
1641,22,4572,4558.0,0.004811898512685914,0.9969378827646544,9,16,89.08834,17.869764
1642,2,162,159.0,0.012345679012345678,0.9814814814814815,10,16,2.8397946,0.31557697
