tile_id,x,y,people,pvhe
545,35,5,1,-0.0271638099598321
647,35,6,6,-0.0271638099598321
648,36,6,11,-0.0271638099598321
649,37,6,14,-0.0271638099598321
748,34,7,10,-0.0271638099598321
749,35,7,5,-0.0271638099598321
750,36,7,13,-0.0271638099598321
751,37,7,12,-0.0271638099598321
752,38,7,12,-0.0271638099598321
753,39,7,28,-0.0271638099598321
754,40,7,49,-0.0271638099598321
759,45,7,1,-0.0271638099598321
774,60,7,1,-0.015690017164171
849,33,8,6,-0.0271638099598321
850,34,8,13,-0.0271638099598321
854,38,8,1,-0.0271638099598321
855,39,8,12,-0.02946037159582507
856,40,8,11,-0.02775080493716085
936,18,9,1,-0.0550968430132924
951,33,9,1,-0.0271638099598321
952,34,9,4,-0.0271638099598321
955,37,9,1,-0.0271638099598321
956,38,9,18,-0.03287582570963337
957,39,9,2,-0.040782017297382116
964,46,9,2,-0.04035904308558898
965,47,9,16,-0.03631148375045182
966,48,9,13,-0.03188081730974
967,49,9,12,-0.03188081730974
968,50,9,6,-0.03188081730974
975,57,9,46,-0.015690017164171
976,58,9,30,-0.015690017164171
1036,16,10,1,-0.0550968430132924
1037,17,10,6,-0.0550968430132924
1038,18,10,5,-0.0550968430132924
1057,37,10,7,-0.02969371271952475
1058,38,10,5,-0.040098842663857076
1067,47,10,7,-0.038848319244486666
1068,48,10,5,-0.03188081730974
1069,49,10,5,-0.03188081730974
1070,50,10,7,-0.03188081730974
1077,57,10,82,-0.015690017164171
1078,58,10,77,-0.015690017164171
1079,59,10,1,-0.015690017164171
1080,60,10,7,-0.015690017164171
1081,61,10,5,-0.015690017164171
1136,14,11,1,-0.0550968430132924
1137,15,11,8,-0.0550968430132924
1138,16,11,7,-0.0550968430132924
1139,17,11,1,-0.0550968430132924
1141,19,11,4,-0.0533162801449463
1142,20,11,4,-0.052432235845445326
1158,36,11,6,-0.03255757115726724
1159,37,11,12,-0.04158855437484406
1168,46,11,2,-0.0409713732321983
1169,47,11,14,-0.037431362648721905
1171,49,11,3,-0.03188081730974
1172,50,11,2,-0.03188081730974
1173,51,11,1,-0.03188081730974
1178,56,11,59,-0.015690017164171
1179,57,11,266,-0.015690017164171
1180,58,11,11,-0.015690017164171
1181,59,11,14,-0.015690017164171
1183,61,11,4,-0.015690017164171
1237,13,12,7,-0.0550968430132924
1238,14,12,22,-0.0550968430132924
1239,15,12,1,-0.0550968430132924
1244,20,12,7,-0.039153114846896014
1255,31,12,1,-0.0271638099598321
1260,36,12,7,-0.039705557379983686
1262,38,12,1,-0.04119036174390529
1265,41,12,10,-0.0409713732321983
1266,42,12,54,-0.0409713732321983
1267,43,12,69,-0.0409713732321983
1268,44,12,10,-0.0409713732321983
1269,45,12,1,-0.0409713732321983
1270,46,12,10,-0.037510394974302884
1271,47,12,1,-0.03200762200955117
1276,52,12,5,-0.03188081730974
1277,53,12,5,-0.03188081730974
1278,54,12,7,-0.03188081730974
1279,55,12,3,-0.029543257533764765
1280,56,12,18,-0.015690017164171
1281,57,12,12,-0.015690017164171
1282,58,12,20,-0.015690017164171
1283,59,12,61,-0.015690017164171
1284,60,12,109,-0.015690017164171
1337,11,13,12,-0.05393696697460452
1338,12,13,202,-0.0550968430132924
1339,13,13,121,-0.0550968430132924
1340,14,13,5,-0.0550968430132924
1345,19,13,11,-0.04096976949062601
1346,20,13,6,-0.0388250395265084
1361,35,13,5,-0.030131988381643528
1362,36,13,5,-0.04161019769896495
1366,40,13,84,-0.0409713732321983
1367,41,13,46,-0.0409713732321983
1368,42,13,22,-0.0409713732321983
1369,43,13,30,-0.0409713732321983
1370,44,13,91,-0.0409713732321983
1371,45,13,38,-0.0409713732321983
1372,46,13,6,-0.03479470542746517
1375,49,13,1,-0.03188081730974
1378,52,13,2,-0.03188081730974
