tile_id,num_no_hh,people,ngiant,frac_no_hh,frac_giant,x,y,hc1,hc2
14,3,4,3.0,0.75,0.75,14,0,0.08690874,0.0032700545
15,2,5,5.0,0.4,1.0,15,0,0.11141434,0.004423096
20,2,3,3.0,0.6666666666666666,1.0,20,0,0.07146435,0.0029834402
21,1,1,1.0,1.0,1.0,21,0,0.024080165,0.0010787632
23,3,11,10.0,0.2727272727272727,0.9090909090909091,23,0,0.2683446,0.01406263
70,4,5,5.0,0.8,1.0,9,1,0.097408004,0.0028847542
71,4,5,3.0,0.8,0.6,10,1,0.10084686,0.003238255
74,2,26,25.0,0.07692307692307693,0.9615384615384616,13,1,0.583795,0.025638923
75,1,5,5.0,0.2,1.0,14,1,0.11611317,0.0055879173
76,1,7,7.0,0.14285714285714285,1.0,15,1,0.16753991,0.008632625
77,1,5,5.0,0.2,1.0,16,1,0.12320499,0.006938155
78,4,10,10.0,0.4,1.0,17,1,0.25262398,0.015777986
79,0,12,10.0,0.0,0.8333333333333334,18,1,0.30496964,0.017485099
80,2,5,5.0,0.4,1.0,19,1,0.12694986,0.0063619213
81,1,1,0.0,1.0,0.0,20,1,0.02553321,0.0012441389
82,4,4,3.0,1.0,0.75,21,1,0.10397708,0.0058713024
83,6,509,500.0,0.011787819253438114,0.9823182711198428,22,1,13.654276,1.1390424
84,19,307,303.0,0.06188925081433225,0.9869706840390879,23,1,8.293321,0.71358407
85,35,549,544.0,0.06375227686703097,0.9908925318761385,24,1,14.597166,1.2296599
131,1,1,1.0,1.0,1.0,9,2,0.020331368,0.0006787069
132,0,2,0.0,0.0,0.0,10,2,0.042302713,0.001568907
133,1,1,1.0,1.0,1.0,11,2,0.022047404,0.0009323293
134,0,1,1.0,0.0,1.0,12,2,0.023058996,0.0011636317
135,1,2,2.0,0.5,1.0,13,2,0.04830185,0.0029591112
136,23,251,243.0,0.09163346613545817,0.9681274900398407,14,2,6.321546,0.4657963
137,16,252,246.0,0.06349206349206349,0.9761904761904762,15,2,6.557885,0.50012463
138,19,292,288.0,0.06506849315068493,0.9863013698630136,16,2,7.905412,0.69330275
139,76,1193,1185.0,0.06370494551550712,0.9932942162615256,17,2,33.69458,3.944474
140,60,469,465.0,0.1279317697228145,0.9914712153518124,18,2,13.142607,1.2076204
143,0,1,1.0,0.0,1.0,21,2,0.028000867,0.0018439709
144,37,706,698.0,0.05240793201133145,0.9886685552407932,22,2,20.681152,2.155829
145,99,1173,1166.0,0.08439897698209718,0.9940323955669225,23,2,35.240047,4.525398
146,33,564,556.0,0.05851063829787234,0.9858156028368794,24,2,16.437794,1.7290825
192,0,1,0.0,0.0,0.0,9,3,0.02134188,0.0008799827
193,2,2,2.0,1.0,1.0,10,3,0.044639546,0.0020820636
194,5,74,72.0,0.06756756756756757,0.972972972972973,11,3,1.7328767,0.097609974
195,32,334,323.0,0.09580838323353294,0.9670658682634731,12,3,8.272806,0.6302802
196,32,953,939.0,0.033578174186778595,0.9853095487932844,13,3,25.03214,2.599778
197,61,856,841.0,0.07126168224299065,0.9824766355140186,14,3,23.282354,2.4104037
198,18,365,359.0,0.049315068493150684,0.9835616438356164,15,3,10.204183,0.94844186
199,59,609,603.0,0.09688013136288999,0.9901477832512315,16,3,17.886997,1.9989116
200,55,913,911.0,0.060240963855421686,0.9978094194961665,17,3,27.827602,3.5095298
201,48,921,915.0,0.05211726384364821,0.993485342019544,18,3,28.048529,3.2103958
202,2,5,5.0,0.4,1.0,19,3,0.14792815,0.010936289
203,0,1,1.0,0.0,1.0,20,3,0.02950112,0.0019402498
204,4,5,5.0,0.8,1.0,21,3,0.15028232,0.01107354
205,56,444,440.0,0.12612612612612611,0.990990990990991,22,3,13.89182,1.4558065
206,95,1641,1638.0,0.0578915295551493,0.9981718464351006,23,3,53.341236,7.824091
207,71,1101,1098.0,0.06448683015440508,0.997275204359673,24,3,34.95535,4.533048
208,14,247,243.0,0.05668016194331984,0.9838056680161943,25,3,7.400759,0.6655451
251,1,1,1.0,1.0,1.0,7,4,0.02022913,0.0007122616
252,2,2,1.0,1.0,0.5,8,4,0.04282268,0.0020424204
253,25,178,169.0,0.1404494382022472,0.949438202247191,9,4,4.0354214,0.25388294
254,14,173,167.0,0.08092485549132948,0.9653179190751445,10,4,4.11977,0.287456
