SEZIONE,collegio_camera,forza_italia,paese_nuovo,alleanza_nazionale,il_girasole,nuovo_psi,rifondazione_comunista,lega_nord,democrazia_europea,lista_pannella_bonino,partito_dei_comunisti_italiani,c_c_d_c_d_u,democratici_di_sinistra,abolizione_scorporo,la_margherita,lista_di_pietro,TOTALE
3,13,142,0,134,15,1,23,10,11,22,6,19,124,0,64,10,693.99
5,13,186,1,114,11,6,27,7,18,15,5,21,97,0,51,14,685.99
9,13,116,0,100,12,2,51,8,2,27,9,14,142,0,71,20,687.0
13,13,77,1,53,12,0,29,2,3,12,4,12,118,1,51,16,504.0
14,13,129,1,92,19,5,45,8,6,19,16,13,142,0,77,31,716.0099999999998
16,13,149,0,122,10,3,42,7,14,23,10,15,140,0,105,13,765.99
19,16,208,0,136,8,3,16,8,17,25,7,12,100,0,91,18,765.0
20,16,275,0,144,18,4,5,13,15,26,4,34,67,0,96,17,834.02
26,16,184,0,106,13,6,33,9,9,29,6,13,151,0,105,26,805.98
30,16,191,0,97,21,6,28,8,6,24,6,15,163,0,109,23,812.9999999999999
34,16,109,0,65,9,6,38,9,11,15,10,5,222,1,85,17,718.02
35,16,179,0,112,15,2,40,11,15,29,8,11,189,0,94,24,845.0
36,16,150,0,89,20,3,30,15,5,17,6,9,180,0,98,24,761.99
43,16,176,0,103,15,6,20,10,12,20,7,16,163,0,105,28,797.0
44,16,167,0,106,24,3,16,16,3,26,5,6,65,0,70,17,639.98
46,13,136,0,99,17,2,30,10,6,20,7,12,146,0,89,13,699.99
47,13,165,1,117,20,3,25,4,16,22,10,15,106,0,101,16,734.0000000000001
52,13,184,0,140,17,5,10,13,10,21,8,10,102,0,60,27,719.9899999999999
53,13,162,0,103,24,7,34,3,4,28,5,15,143,0,78,19,738.0
54,13,141,0,83,21,6,49,6,8,20,11,11,134,1,86,30,719.9900000000001
56,13,194,0,99,16,8,19,2,7,22,4,19,136,0,57,32,727.9999999999999
58,13,203,0,120,17,4,17,6,14,11,9,18,96,0,83,19,730.0099999999999
60,13,153,0,108,8,3,28,4,10,14,11,9,106,0,76,17,660.0
71,14,152,1,88,17,6,30,5,9,15,11,19,167,0,93,25,751.9900000000001
76,14,145,0,63,6,11,30,3,6,17,4,6,188,1,75,18,687.0100000000001
79,14,196,0,100,12,3,21,8,6,27,8,19,149,0,100,32,794.97
80,14,126,1,245,8,4,15,6,6,9,8,4,88,0,61,29,724.0
83,14,133,1,71,18,3,26,5,2,16,10,11,173,0,90,23,696.0
84,13,154,0,111,13,1,18,7,12,24,13,21,88,0,62,16,653.01
88,13,102,0,70,22,3,51,14,4,27,17,6,155,0,83,12,678.9999999999999
89,13,128,0,87,20,5,34,7,12,22,13,15,121,1,62,10,649.9900000000001
92,13,106,1,54,12,8,56,6,4,22,18,6,166,1,67,21,660.9699999999999
98,13,172,0,124,20,2,10,6,12,25,4,21,93,0,90,16,708.01
99,13,144,0,102,18,4,17,2,13,19,7,10,108,1,77,23,658.0
102,12,141,0,90,21,3,41,2,14,16,18,18,149,1,103,20,749.0199999999999
107,12,121,1,69,18,8,41,6,3,22,14,10,236,1,115,29,805.99
111,12,108,1,52,12,12,29,4,7,16,14,5,241,1,96,24,733.9899999999999
112,12,128,0,82,17,7,51,4,11,11,14,10,173,0,121,18,758.99
114,12,194,1,120,17,0,33,6,8,25,13,7,139,0,107,24,805.9899999999999
120,12,154,0,87,20,5,33,10,5,20,6,18,149,0,104,20,742.99
126,12,151,0,100,18,5,28,10,15,13,8,14,186,0,107,25,792.03
129,12,125,0,78,20,7,37,7,11,18,10,7,201,0,118,17,768.0
130,12,126,0,105,11,4,34,7,12,12,12,12,189,1,119,23,779.0100000000001
131,12,134,2,78,15,3,28,23,3,11,6,18,225,0,139,27,823.99
136,12,143,1,75,10,2,36,7,2,13,4,11,183,1,100,23,722.9899999999999
141,12,113,0,81,13,1,51,1,10,17,13,9,139,0,82,23,665.0000000000001
142,12,153,0,110,11,0,13,7,2,18,2,20,63,0,90,21,622.0
143,12,164,0,97,23,0,23,10,15,34,7,21,103,0,81,16,706.0000000000001
144,12,170,0,92,9,2,30,2,13,23,7,23,144,0,89,19,734.9999999999999
145,12,178,0,116,12,1,15,8,14,28,5,22,106,0,99,25,740.9900000000001
155,12,189,0,126,21,2,24,4,9,33,13,24,94,0,104,24,779.0100000000002
156,12,207,0,96,7,1,9,5,8,30,9,27,73,0,103,24,711.0200000000001
158,12,200,1,147,15,5,16,10,4,20,3,16,92,0,101,26,768.0000000000001
172,12,210,1,139,15,4,24,0,12,28,9,16,93,0,121,25,808.9899999999999
175,12,160,0,114,11,2,25,5,10,15,7,7,128,0,112,24,731.9999999999999
176,12,168,0,96,14,2,36,9,12,15,12,16,111,2,91,27,722.9899999999999
180,12,172,0,101,15,3,39,11,10,12,11,15,117,2,108,21,748.9900000000001
181,12,164,0,107,12,2,26,5,3,17,6,20,190,0,79,36,779.01
185,12,106,0,59,16,8,51,8,1,13,11,9,224,0,114,24,756.0
187,12,126,1,83,12,6,26,15,3,18,4,17,185,0,118,20,745.9899999999999
198,14,180,1,97,23,7,50,9,14,33,11,13,299,1,144,28,1024.01
200,14,125,2,68,18,7,43,8,6,7,6,13,251,1,114,30,812.9999999999998
205,14,155,2,87,19,6,43,10,4,18,9,5,243,0,93,32,840.01
207,14,151,0,79,16,5,47,13,5,20,7,5,309,1,105,30,907.0
210,14,161,0,73,13,4,26,4,7,18,1,17,209,0,102,26,775.0
215,14,91,0,64,27,3,20,6,8,21,8,7,189,0,70,28,656.01
219,14,116,0,51,27,13,31,10,5,10,13,8,482,1,113,30,1024.02
220,14,126,0,66,16,8,26,11,7,13,13,18,288,0,77,21,803.9899999999999
222,14,132,0,82,13,7,43,9,9,17,19,8,268,0,127,24,872.01
