SEZIONE,collegio_camera,l_ulivo_per_rutelli,lista_di_pietro,casa_delle_liberta,lista_pannella_bonino,democrazia_europea,TOTALE
2,13,252,7,277,25.0,25.0,699.00341297
8,13,300,21,197,19.0,19.0,669.00683453
11,13,263,7,192,9.0,9.0,593.01166667
15,13,292,13,286,14.0,14.0,731.99285945
19,16,241,7,359,12.0,12.0,746.9933438999999
20,16,214,12,450,24.0,24.0,839.98801105
21,16,374,16,223,8.0,8.0,744.98945946
23,16,309,12,340,12.0,12.0,800.99948905
24,16,249,17,393,7.0,7.0,789.0085141199999
29,16,276,15,228,2.0,2.0,638.99246654
34,16,386,17,178,16.0,16.0,728.99900489
38,16,370,18,223,7.0,7.0,741.0
40,16,193,10,292,16.0,16.0,643.0123908899999
43,16,333,20,296,15.0,15.0,795.00270987
45,13,264,11,299,10.0,10.0,706.9944444399999
48,13,248,27,333,6.0,6.0,733.0
54,13,325,20,236,8.0,8.0,709.9988609700001
59,13,276,20,313,10.0,10.0,741.99917329
62,13,254,15,281,15.0,15.0,693.01310345
65,14,353,21,224,,,712.0001003299999
67,14,394,26,216,,,749.9996855300001
69,14,347,29,231,,,721.00639209
72,14,436,26,195,,,771.00225266
73,14,474,25,166,,,778.9981954900001
76,14,333,23,216,,,685.99678322
80,14,200,23,374,,,711.00083752
86,13,227,10,292,33.0,12.0,686.99703833
87,13,319,9,278,23.0,7.0,749.0072327
89,13,256,15,233,17.0,16.0,650.00225326
92,13,336,13,173,19.0,6.0,660.00595978
93,13,316,15,207,21.0,12.0,684.0015061299999
99,13,243,10,254,18.0,11.0,649.0058209
100,13,267,16,237,16.0,6.0,655.0019926200001
104,12,340,17,318,27.0,6.0,820.00259887
105,12,355,21,281,19.0,5.0,792.9892217299999
108,12,444,15,164,14.0,9.0,758.00065015
109,12,422,20,191,25.0,4.0,773.99622356
110,12,374,21,162,21.0,15.0,704.99913997
112,12,382,14,223,16.0,5.0,751.9975
113,12,351,21,258,23.0,11.0,776.00144578
120,12,321,15,276,18.0,4.0,746.00091483
123,12,353,21,282,22.0,4.0,794.00953079
132,12,491,20,262,16.0,2.0,902.99332491
134,12,404,23,212,11.0,9.0,771.00500759
139,12,204,8,333,26.0,14.0,696.99179487
141,12,309,16,199,21.0,8.0,665.00703436
145,12,255,16,326,17.0,10.0,735.98538462
