SEZIONE,collegio_senato,rifondazione_comunista,democrazia_europea,lista_pannella_bonino,casa_delle_liberta,l_ulivo_per_rutelli,lista_di_pietro,TOTALE
1,6,18,1,19,204,124,6,478.00000000000006
3,6,16,7,16,276,216,8,644.9984601110001
4,6,20,28,19,255,230,24,682.0022222219999
14,6,33,6,11,224,278,23,680.999130435
18,7,22,15,19,304,261,17,744.9982758619999
21,7,20,8,20,212,329,20,715.9840722499999
22,7,14,9,17,336,276,25,783.9979468240001
23,7,19,13,18,323,260,14,753.996630603
24,7,23,9,28,362,206,24,758.9976073619999
28,7,13,15,16,304,267,24,745.994428795
33,7,42,18,18,212,350,11,757.991612903
37,7,15,11,22,274,287,20,736.004737679
41,7,22,8,23,276,305,21,761.9987786260001
44,7,14,9,19,281,159,12,601.0040080969999
50,6,17,6,20,308,210,12,678.996841187
51,6,12,14,22,324,189,17,684.0061245670001
56,6,16,13,16,285,221,25,682.007777778
57,6,15,2,21,339,196,15,693.991020408
58,6,11,13,13,303,207,17,669.9803546100001
61,6,23,20,20,241,230,21,660.9841441440001
63,7,25,9,19,248,260,20,688.00292599
65,7,30,12,13,202,298,17,678.994755245
66,7,37,7,19,202,336,29,736.9930158730001
67,7,48,5,26,200,317,21,723.989578606
69,7,14,21,18,217,294,28,699.004864865
75,7,25,9,21,260,304,33,759.0043558279999
84,6,12,16,17,270,180,8,609.0056858849999
86,6,16,15,25,271,197,8,637.997518797
89,6,28,17,19,211,224,12,617.0094520550001
91,6,51,7,20,175,298,10,667.0009090909999
95,6,27,7,20,202,266,19,647.000757856
98,6,12,15,11,299,210,10,662.994398564
103,6,15,9,17,294,297,10,747.9964485979999
104,6,19,8,24,287,308,13,764.993156297
105,6,25,7,15,259,316,19,747.000156006
111,6,26,14,19,144,387,15,710.9975206610001
112,6,37,5,7,203,339,16,712.9955518950001
114,6,20,9,18,293,288,16,750.005590062
116,6,21,7,11,192,385,14,736.0033333330001
118,6,18,8,4,135,193,5,468.998677686
120,6,21,6,15,252,291,13,703.9917056859999
127,6,26,9,13,227,425,7,812.997510608
130,6,27,10,8,223,341,24,738.995402844
132,6,33,4,13,240,452,19,867.016399474
133,6,27,18,14,245,395,13,818.012134831
135,6,47,3,14,157,427,12,766.0012121210001
137,6,28,3,21,213,290,5,666.0099999999999
140,6,30,5,17,176,260,11,604.9920240480001
143,6,13,14,25,264,232,8,662.008129496
146,6,17,7,19,228,262,12,650.989266055
151,6,26,20,16,244,225,18,654.9858834239999
153,6,15,6,16,237,247,13,639.9889887639999
154,6,13,10,20,312,214,13,688.003676976
162,6,14,9,11,309,245,17,711.0040495869999
167,6,20,5,24,302,252,11,719.9973289899999
169,6,31,4,18,211,308,17,695.003157895
170,6,19,8,15,240,309,15,712.0053135310001
173,6,14,12,13,283,291,13,732.016421725
175,6,18,9,12,271,270,12,698.010540541
177,6,24,7,22,227,316,14,716.0044262299998
178,6,26,11,11,247,327,19,746.996162246
179,6,31,13,13,174,374,12,723.004311183
186,6,16,7,17,247,318,12,722.993192869
189,6,13,13,15,329,216,8,700.008552189
190,6,10,6,21,321,222,13,698.9963406410002
191,6,9,15,21,361,189,15,715.9954098360001
195,6,10,15,27,287,259,16,719.998664495
196,6,11,10,17,313,172,12,640.996074766
200,7,46,10,11,196,381,25,775.9959342300001
205,7,45,3,20,233,356,39,802.995517241
210,7,18,10,9,248,328,17,737.007142857
213,7,29,11,8,160,448,14,776.998358209
215,7,13,8,20,162,298,24,631.996190476
216,7,34,10,19,279,395,18,861.993311258
217,7,35,6,21,163,388,31,750.9947826089999
219,7,24,5,16,174,627,28,980.995995423
223,7,36,8,15,185,392,22,765.0011246200002
225,7,22,5,12,213,367,20,745.9928794989999
230,7,44,7,20,187,396,25,786.00011782
232,7,30,9,6,146,410,27,735.0070700639999
234,7,26,7,8,234,376,25,783.0061538460001
236,7,35,3,8,111,449,21,734.0021371610001
241,7,25,7,6,188,418,20,770.985060241
242,7,47,10,14,176,444,19,817.0097183099999
247,7,27,6,12,195,357,23,727.0048387100001
249,7,42,0,17,140,486,18,809.994395448
250,7,30,8,7,148,419,17,735.989475358
252,7,16,8,6,128,475,12,751.990620155
254,7,24,13,13,145,440,12,753.99942813
260,6,34,8,12,180,375,20,735.0054054049999
261,6,31,8,12,190,324,15,686.004827586
265,6,35,14,9,145,233,7,549.000677201
266,6,37,7,7,200,331,16,703.99729097
269,6,34,8,12,206,364,22,752.013157895
270,6,28,11,14,177,385,17,738.010379747
281,6,30,17,12,199,348,11,722.9922366289999
284,6,39,10,14,159,392,22,742.002075472
287,6,27,8,17,165,430,16,769.0023981899999
290,6,32,4,17,173,431,19,781.9937278109999
306,6,23,1,16,134,488,15,782.997341211
308,6,25,4,8,152,436,12,743.0046467820001
311,6,23,9,7,130,488,18,781.007407407
313,6,11,14,10,182,420,16,758.9945329249999
314,6,26,10,9,213,408,27,799.001803752
315,7,28,5,10,168,396,27,741.006403785
325,7,44,6,12,150,388,31,737.993058637
328,7,48,5,15,200,420,26,820.992689076
329,7,43,2,14,155,351,28,700.001264755
331,6,42,9,15,190,343,30,734.9972655009999
332,6,41,11,14,202,371,20,764.9915477999999
335,6,20,8,13,207,350,22,726.005806452
337,6,47,3,12,158,407,12,745.005242567
350,6,40,8,8,127,419,17,725.0020355409999
355,6,28,10,9,225,343,19,740.0064037850001
357,6,23,15,10,211,391,17,772.998275862
358,6,38,6,10,155,356,20,691.005726496
359,6,48,12,9,184,341,14,713.994736842
361,6,27,4,9,119,453,23,741.001968504
362,6,51,7,12,107,419,18,719.996188925
366,6,28,6,18,169,271,13,610.9945544550001
367,6,22,23,15,218,359,11,753.995061728
374,6,26,6,17,215,340,17,727.006795491
375,6,33,12,17,211,325,11,715.008719212
381,6,27,7,7,202,350,25,723.9989320389999
382,6,25,4,11,167,374,13,699.988754209
384,6,19,11,14,208,488,12,857.996595745
386,6,21,5,9,190,415,10,756.0007692309999
387,6,4,25,8,234,329,26,731.998977636
392,6,36,9,10,188,339,21,709.000149254
393,6,33,4,12,159,378,15,707.0208485859999
394,6,27,5,15,232,376,17,777.9878571429999
395,6,30,6,23,205,381,12,762.9962100460001
402,6,32,5,5,159,437,10,753.9982716049999
409,6,33,13,9,221,504,17,903.000526976
411,6,22,8,6,111,111,9,372.999700375
412,6,12,14,18,315,280,14,758.9976722819999
418,6,23,7,15,218,392,24,784.997334315
436,6,20,3,10,213,350,8,710.0012582780001
438,6,11,1,2,42,81,7,249.998888889
7,6,39,11,20,225,302,21,724.010679612
8,6,30,21,11,170,264,16,617.999375
9,6,41,5,19,211,256,15,652.9854296159999
11,6,24,7,14,174,237,7,568.993585313
12,6,39,5,19,148,289,7,613.002307692
13,6,25,5,13,129,196,4,478.000430108
17,7,40,7,21,219,341,19,754.0023802160001
19,7,14,15,21,334,199,10,700.0008768970001
25,7,28,7,19,313,253,11,737.997400951
26,7,26,7,27,279,287,28,760.995535168
27,7,21,13,9,210,318,20,697.9932994919999
32,7,29,8,15,250,355,15,778.99547619
35,7,38,12,22,292,312,20,802.989770115
40,7,7,13,17,286,166,11,607.0
43,7,16,14,14,277,301,25,753.982952087
47,6,23,12,20,279,242,11,692.998228279
48,6,11,6,13,314,230,21,700.998739496
49,6,18,15,21,250,230,17,656.996787659
55,6,12,5,12,257,204,17,613.006863905
60,6,20,12,9,248,208,11,613.9970078739999
64,7,33,11,20,267,280,13,730.9984615380001
71,7,20,12,11,246,283,30,708.992259136
72,7,41,9,16,180,350,28,731.0005128210001
73,7,39,7,11,157,410,16,746.9937500000001
74,7,21,11,16,178,382,20,734.9939490449999
76,7,26,4,12,192,286,19,646.003747681
77,7,45,5,11,232,305,21,725.999789984
78,7,23,4,16,253,281,30,713.999126853
79,7,18,10,19,283,282,29,747.988112324
80,7,18,6,7,284,155,27,604.001730382
81,7,47,7,25,160,433,29,808.0047075609999
88,6,32,4,22,163,306,7,639.992509363
92,6,32,5,17,162,299,6,626.992034549
93,6,27,7,17,195,280,14,646.0
94,6,30,7,16,142,270,9,580.009113924
96,6,18,3,14,230,248,13,632.0020532320001
99,6,11,13,17,240,216,12,615.001100196
102,6,30,12,12,227,299,13,698.989021922
107,6,37,8,16,189,394,17,766.997579425
109,6,39,4,21,178,363,17,728.000096463
110,6,34,13,17,156,332,20,677.9940559439999
115,6,35,4,11,147,328,10,641.012056075
122,6,29,7,8,231,349,16,745.99125
123,6,20,9,23,253,316,17,744.0047962379999
124,6,42,6,11,153,386,16,720.010390879
125,6,52,8,16,175,358,16,730.9999999999999
126,6,26,16,13,233,326,22,742.008050314
129,6,32,7,9,197,354,15,719.991726384
131,6,29,10,10,222,383,13,772.997826087
134,6,31,11,11,187,350,23,718.997096248
136,6,29,4,11,216,309,13,687.9928178690001
138,6,11,10,18,302,188,11,645.9970370369999
