SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO PSI,FORZA ITALIA,ITALIA DEI VALORI,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,NO EURO,P.D.C.I.,PARTITO PENSIONATI,RIFONDAZIONE COMUNISTA,UDC,UDEUR,ULIVO,VERDI,TOTALE
1,55,3,1,110,6,26,2,2,1,5,1,14,27,0,121,5,379
2,76,4,2,142,5,24,10,0,0,11,3,23,81,3,164,6,554
3,84,6,1,141,5,32,7,0,0,4,3,26,42,3,166,8,528
4,94,2,2,142,4,31,11,1,0,8,3,26,66,1,209,12,612
5,115,1,1,143,8,21,4,2,2,4,2,29,44,2,158,12,548
6,79,4,1,127,14,33,8,1,1,19,2,40,46,1,191,15,582
7,87,5,0,99,9,33,11,4,0,12,2,47,40,2,250,21,622
8,65,3,2,93,4,27,14,0,0,18,2,37,36,2,229,19,551
9,79,7,2,91,8,25,13,4,1,16,3,62,32,2,191,26,562
10,79,1,2,96,8,19,4,0,2,12,4,56,12,0,234,22,551
11,69,8,2,93,9,23,6,1,0,9,6,18,20,3,194,2,463
12,43,5,2,77,6,29,10,2,0,16,2,57,29,2,259,29,568
13,55,4,1,59,6,23,1,3,1,9,3,30,19,1,150,12,377
14,46,3,3,127,14,18,16,1,1,9,6,51,30,0,235,15,575
15,66,5,0,153,6,24,6,2,0,6,4,39,44,2,199,17,573
16,73,2,0,137,8,22,8,1,3,8,0,43,46,3,181,11,546
17,86,5,5,94,11,27,13,5,1,17,4,49,42,6,316,16,697
18,101,4,3,142,5,22,13,4,0,10,1,25,62,1,238,7,638
19,114,1,1,204,14,22,12,3,0,9,0,24,51,1,194,7,657
20,112,3,3,210,9,39,15,1,2,5,0,3,71,2,165,5,645
21,97,7,2,107,8,25,6,4,0,12,6,39,42,1,268,12,636
22,106,4,2,160,5,26,12,2,1,11,3,30,46,2,255,18,683
23,86,3,1,141,20,25,14,1,0,10,2,25,60,2,214,12,616
24,98,11,3,214,12,27,12,1,0,6,5,28,53,1,195,18,684
25,99,1,4,120,9,20,18,1,0,6,2,37,56,2,220,18,613
26,79,4,1,147,4,26,14,4,2,6,2,35,47,1,257,12,641
27,74,0,1,97,9,22,13,2,0,11,3,23,47,1,285,12,600
28,81,5,2,156,8,26,8,3,0,6,2,22,66,5,246,11,647
29,56,3,1,110,14,24,16,0,0,6,4,21,26,1,223,9,514
30,89,3,1,123,10,18,5,1,1,9,3,35,51,1,259,18,627
31,80,3,1,108,17,16,7,5,0,7,2,42,41,3,242,26,600
32,61,1,1,105,11,16,16,4,0,13,4,27,40,1,298,12,610
33,62,5,0,99,6,18,21,2,1,8,5,33,31,3,315,13,622
34,59,3,2,63,18,16,17,4,1,17,9,39,24,1,308,14,595
35,109,7,1,117,9,20,15,3,0,17,4,38,56,2,256,9,663
36,90,3,3,97,12,12,22,2,0,6,5,27,25,1,292,18,615
37,72,5,4,132,6,14,13,3,0,9,6,32,45,2,256,19,618
38,63,5,2,109,4,8,8,1,2,9,2,30,30,0,268,13,554
39,79,2,1,77,9,26,20,3,3,16,2,42,24,1,320,13,638
40,89,1,0,164,8,26,13,1,0,1,1,5,65,1,158,16,549
41,100,6,2,131,12,24,15,4,1,8,3,36,45,2,260,18,667
42,64,5,2,89,7,16,15,3,1,13,5,42,35,0,278,11,586
43,84,4,1,141,17,22,12,2,1,5,6,12,55,2,277,13,654
44,96,5,0,151,12,20,14,1,0,3,3,14,46,2,152,8,527
45,77,7,0,148,8,24,14,3,2,8,0,40,43,1,198,10,583
46,83,7,3,103,6,30,12,3,0,10,2,38,27,5,234,21,584
47,102,11,3,137,7,17,13,2,1,6,2,28,43,3,200,11,586
48,125,5,2,158,18,24,16,2,0,6,1,23,46,0,209,18,653
49,112,6,0,134,10,48,14,4,1,8,2,29,47,2,197,18,632
50,79,6,0,166,5,21,12,2,0,11,2,20,43,2,172,13,554
51,99,3,0,189,4,27,15,2,0,4,2,22,55,2,167,11,602
52,86,4,4,193,5,25,19,1,0,7,2,24,41,1,160,17,589
53,77,2,3,117,9,38,12,1,0,6,5,39,35,6,234,19,603
54,62,3,1,134,10,35,11,3,0,12,7,50,24,0,212,27,591
55,81,0,0,152,15,21,5,3,0,7,8,33,41,5,193,18,582
56,75,6,4,141,15,11,5,1,0,10,2,24,41,3,236,8,582
57,106,5,2,155,14,15,15,1,1,7,4,18,47,1,173,10,574
58,68,7,1,172,10,23,13,2,1,8,2,31,52,3,182,13,588
59,80,2,1,123,14,19,15,2,1,9,2,18,49,1,202,12,550
60,67,2,2,109,10,23,9,0,0,8,4,33,33,0,169,7,476
61,91,9,2,140,17,27,11,2,0,14,3,30,38,3,205,20,612
62,62,2,2,117,15,14,13,0,2,11,7,24,32,1,193,13,508
63,76,3,3,103,10,10,18,4,0,10,1,22,47,2,244,5,558
64,78,6,2,127,17,25,18,4,0,10,1,30,39,4,221,11,593
65,94,5,0,84,15,18,9,3,0,12,2,42,35,1,279,19,618
66,79,4,1,99,14,16,20,1,2,19,2,34,44,2,358,17,712
67,66,4,1,75,18,35,9,1,0,20,1,49,28,0,266,15,588
68,59,5,2,80,14,12,7,2,2,10,9,36,42,0,262,14,556
69,70,4,1,96,9,19,6,0,1,10,8,25,45,4,258,14,570
70,51,4,1,69,4,12,8,1,2,15,6,33,28,1,323,11,569
71,94,3,3,126,11,28,13,2,1,18,2,21,57,2,279,10,670
72,49,11,2,86,7,19,14,4,3,13,2,35,19,1,322,13,600
73,47,7,2,86,8,12,9,0,2,12,3,31,26,3,336,13,597
74,64,2,1,89,18,15,15,2,1,10,3,28,28,3,314,6,599
75,76,5,2,119,22,31,14,4,0,17,4,37,38,1,282,16,668
76,43,5,1,89,9,12,8,3,2,19,8,23,18,0,239,9,488
77,68,4,4,121,9,30,12,5,1,11,2,35,27,3,273,17,622
78,90,13,2,140,8,12,15,8,0,13,2,27,42,4,245,13,634
79,98,9,1,128,12,15,23,2,0,9,1,30,43,1,241,9,622
80,114,4,1,93,9,13,17,6,2,10,0,11,32,5,148,5,470
81,53,1,1,69,15,24,12,2,1,14,11,40,38,2,396,17,696
82,37,3,0,70,10,10,8,2,0,19,4,35,13,0,329,8,548
83,52,2,0,97,8,24,2,0,0,14,4,19,33,0,276,6,537
84,79,7,0,122,2,25,4,8,0,9,0,17,49,1,119,6,448
85,79,0,2,99,8,38,9,0,0,8,0,40,24,0,215,18,540
86,71,4,3,158,10,25,6,3,0,10,2,24,41,2,185,18,562
87,53,3,1,127,10,31,7,3,1,9,2,46,34,1,229,13,570
88,46,0,3,69,13,38,9,0,1,16,3,61,22,1,204,26,512
89,65,2,2,94,5,31,8,0,0,9,2,41,38,2,205,17,521
90,72,2,3,130,11,39,16,3,1,8,2,45,23,0,181,13,549
91,56,3,0,86,9,46,12,1,0,19,1,51,26,1,233,23,567
92,51,4,2,92,16,32,8,1,1,19,3,71,16,0,229,26,571
93,69,8,2,73,9,39,8,3,0,10,2,35,35,1,236,11,541
94,46,1,4,52,9,19,9,3,1,18,4,37,12,0,204,17,436
95,66,2,0,87,10,37,8,2,1,19,2,37,33,1,231,18,554
96,84,2,0,98,6,20,10,0,0,9,3,51,35,1,185,10,514
97,70,2,0,103,10,22,11,0,3,16,1,49,21,2,206,16,532
98,91,6,1,150,12,15,14,2,1,2,1,16,42,1,185,15,554
99,119,2,2,159,9,24,4,0,0,6,3,24,52,0,244,12,660
100,71,5,0,88,8,26,8,3,0,6,8,28,18,2,215,18,504
101,95,1,2,117,9,17,9,1,1,8,2,21,26,5,196,12,522
102,72,5,1,117,19,31,13,4,0,22,4,52,45,4,283,19,691
103,81,5,2,133,10,26,15,0,0,8,7,32,45,3,234,18,619
