SEZIONE,ALLEANZA NAZIONALE,ALTERNATIVA SOCIALE,D.C. E NUOVO P.S.I.,DEMOCRATICI DI SINISTRA,FORZA ITALIA,INSIEME CON L'UNIONE,ITALIA DEI VALORI,LA MARGHERITA,LA ROSA NEL PUGNO,LEGA NORD,M.S.FIAMMA TRICOLORE,P.R.I.,P.S.D.I.,PARTITO PENSIONATI,REPUBBLICANI EUROPEI,RIFONDAZIONE COMUNISTA,UDEUR,UNIONE DI CENTRO,TOTALE
1,48,2,4,62,102,28,9,11,29,7,2,2,0,0,5,14,1,21,347
2,71,5,3,117,142,30,7,30,21,8,0,0,0,3,0,24,3,63,527
3,80,4,0,106,133,22,7,33,29,7,1,2,2,5,1,23,3,45,503
4,86,1,6,136,133,26,7,35,27,7,1,1,1,4,6,31,0,62,570
5,93,1,1,89,139,27,12,26,24,3,3,1,0,2,2,26,2,45,496
6,76,4,3,120,119,37,15,29,34,9,0,2,1,3,4,51,0,44,551
7,84,4,2,159,97,39,23,48,28,9,3,2,0,3,5,51,3,36,596
8,64,3,3,151,84,41,10,43,29,11,2,3,1,2,3,40,1,33,524
9,81,5,0,130,86,47,9,29,25,14,4,0,2,4,0,59,1,34,530
10,67,4,3,149,85,37,14,39,22,4,0,0,1,6,2,57,1,15,506
11,67,5,3,123,86,20,14,28,20,6,2,2,0,4,2,29,3,21,435
12,43,1,2,158,73,55,21,32,31,12,1,1,0,1,3,71,2,27,534
13,57,5,0,99,53,33,12,18,20,2,6,1,1,5,0,35,1,20,368
14,45,3,4,139,125,32,19,36,19,12,1,5,1,10,6,56,2,26,541
15,70,5,1,110,142,35,12,44,12,7,2,0,0,6,1,46,3,41,537
16,83,4,2,113,128,36,13,25,29,9,1,1,2,2,0,40,1,37,526
17,75,2,4,213,99,48,17,51,28,12,7,0,2,6,3,56,7,35,665
18,90,4,4,140,131,32,12,53,19,13,5,1,0,5,0,24,2,61,596
19,106,2,0,108,197,29,17,43,16,10,2,3,0,1,1,26,2,45,608
20,111,2,1,86,205,13,8,56,31,11,1,8,0,1,7,5,1,60,607
21,87,7,0,161,106,39,25,57,22,5,2,1,1,4,0,42,1,39,599
22,98,3,1,154,155,45,12,46,28,13,2,2,0,6,1,35,3,47,651
23,84,3,4,138,127,23,18,55,27,11,1,0,3,3,3,18,2,58,578
24,107,6,0,116,196,26,17,50,25,12,3,1,1,6,0,30,1,52,649
25,91,3,5,136,124,35,14,43,20,15,0,1,0,4,2,38,2,50,583
26,74,2,1,158,141,32,12,54,27,14,4,1,2,2,1,42,3,42,612
27,75,0,3,193,103,30,16,50,21,9,2,2,0,2,1,31,1,41,580
28,83,7,2,118,150,33,10,81,24,4,2,1,0,2,3,27,3,63,613
29,55,3,2,141,104,33,23,29,19,14,0,2,0,4,3,27,1,23,483
30,88,4,1,172,116,41,15,44,17,8,1,1,0,5,0,35,0,43,591
31,79,2,1,149,104,43,23,41,19,6,5,0,0,4,6,46,3,43,574
32,67,0,0,192,102,43,16,59,18,15,3,1,0,4,1,38,1,33,593
33,55,6,1,228,94,37,18,33,21,19,3,3,2,3,1,32,1,32,589
34,47,6,1,205,69,39,18,46,18,17,3,0,2,11,1,48,3,22,556
35,100,8,2,175,101,40,11,44,19,13,4,1,0,5,1,38,0,58,620
36,81,3,2,192,96,45,15,44,12,21,3,1,1,6,5,26,2,25,580
37,70,5,6,150,130,46,17,41,20,10,1,0,0,9,1,34,2,45,587
38,58,5,0,189,108,31,8,36,8,9,1,2,0,4,0,38,2,28,527
39,81,2,5,215,77,44,17,45,18,19,5,0,1,4,0,50,0,21,604
40,87,1,1,80,152,26,13,39,25,13,1,2,2,2,0,6,3,64,517
41,95,6,3,185,129,38,19,30,25,14,3,2,1,6,0,33,3,47,639
