SEZIONE,italia_dei_valori,partito_democratico,la_destra_fiamma_tricolore,u_d_c_e_democratici_di_centro,partito_comunista_lavoratori,sinistra_critica,associazione_difesa_vita,lega_nord,il_popolo_della_liberta,partito_liberale_italiano,unione_democratica_consumatori,forza_nuova,partito_socialista,la_sinistra_l_arcobaleno,per_il_bene_comune,TOTALE
3,19,191,10,24,4,3,8,30,189,1,1,1,6,10,3,600.0000000000002
4,28,203,18,37,2,0,16,32,200,1,0,2,7,9,2,657.02
7,37,255,17,23,3,3,10,23,147,4,1,0,5,38,3,669.01
9,24,203,19,17,6,4,3,31,150,2,1,0,2,44,3,609.0
12,38,270,8,11,1,5,8,12,108,1,1,1,2,46,3,614.9800000000001
20,23,153,11,43,0,1,7,49,295,5,2,1,8,4,1,703.0
21,27,278,13,32,3,3,3,21,184,1,1,8,3,20,2,699.01
23,37,242,13,29,0,1,10,33,183,4,0,3,6,19,4,683.9999999999999
26,30,262,23,27,2,5,4,36,183,1,0,2,6,20,1,702.0
32,38,285,12,26,3,4,4,26,159,0,2,4,3,23,4,692.9799999999998
33,31,277,14,27,2,0,4,25,144,3,2,2,8,24,1,663.99
35,33,253,17,27,4,6,0,41,186,0,4,3,1,32,1,707.99
36,37,274,13,21,4,2,5,35,148,0,1,0,5,17,2,663.9899999999999
43,33,268,13,20,0,0,5,36,199,5,0,1,3,14,5,702.01
45,28,195,20,22,0,0,8,35,183,0,1,0,8,20,4,624.0
47,24,209,18,15,6,3,6,36,179,2,4,4,10,19,0,635.0
52,24,162,15,25,0,0,3,34,251,0,2,0,4,11,1,632.0
53,24,236,22,20,1,8,5,26,172,3,1,1,10,23,6,657.9899999999999
54,29,204,8,11,2,4,8,29,164,3,3,1,4,28,5,603.03
57,29,177,19,23,3,3,5,33,210,2,6,2,5,6,1,624.0000000000001
62,27,189,10,18,4,0,3,22,165,0,4,0,6,16,5,569.0
70,36,286,9,25,3,0,7,14,104,0,3,1,3,20,4,614.9800000000001
73,37,311,9,19,4,1,3,24,116,2,2,0,8,29,3,667.9999999999999
76,22,221,15,16,5,9,2,13,104,3,1,2,2,11,2,528.0100000000002
77,39,282,19,22,2,2,4,27,160,1,1,2,3,15,2,680.9899999999999
81,49,357,21,28,5,2,1,17,113,0,3,1,3,31,4,735.0099999999998
83,40,244,15,32,5,5,1,14,150,2,3,1,9,16,2,639.02
