SEZIONE,partito_comunista_lavoratori,u_d_c_e_democratici_centro,partito_liberale_italiano,forza_nuova,la_sinistra_l_arcobaleno,il_popolo_della_liberta,lega_nord,la_destra_fiamma_tricolore,unione_democratica_consumatori,italia_dei_valori,partito_democratico,sinistra_critica,per_il_bene_comune,partito_socialista,TOTALE
3,3,23,1,1,29,197,25,5,1,15,167,3,2,5,576.9999999999999
9,4,18,2,0,69,149,24,13,1,17,175,4,3,2,581.0
13,0,15,2,1,33,102,7,5,1,12,143,2,1,3,427.01
21,2,26,2,7,33,183,17,11,2,30,256,2,1,2,674.01
22,2,23,2,0,32,221,28,10,0,24,240,0,1,6,688.9899999999999
25,3,24,0,0,28,212,25,8,2,15,202,2,2,4,627.0000000000001
30,4,28,0,1,25,187,22,13,0,31,227,1,0,2,641.0
32,2,25,1,6,37,157,25,10,2,30,272,1,5,2,674.99
34,3,14,1,1,30,109,26,7,1,32,268,1,2,3,598.0000000000001
38,0,20,3,2,24,149,19,13,0,18,249,1,6,1,604.99
41,2,24,2,3,35,189,32,7,0,31,248,1,6,5,684.9899999999999
45,0,23,0,0,31,182,31,9,1,20,176,1,4,4,582.0
46,3,14,2,1,45,159,27,8,0,22,213,4,4,3,605.0
49,1,19,1,0,33,213,32,10,1,24,204,0,1,4,642.99
50,0,31,2,1,25,219,24,9,1,18,152,2,2,6,591.9999999999999
53,1,23,2,1,43,173,18,19,1,23,206,2,6,6,624.0199999999999
56,0,24,0,0,26,184,20,12,2,27,195,1,2,4,596.9799999999999
60,1,21,1,3,31,171,10,12,1,36,166,0,1,5,559.0
63,2,19,1,5,26,149,34,11,0,23,206,1,8,1,586.02
64,1,38,1,1,33,170,27,10,1,25,198,1,5,3,613.9600000000002
67,4,15,4,0,40,134,14,17,3,33,250,3,2,2,621.0
68,8,23,1,2,32,122,12,13,3,32,224,7,4,4,587.0000000000002
74,2,21,3,3,18,124,16,8,0,36,296,0,3,1,630.98
76,4,17,3,1,19,104,10,16,2,24,211,3,2,2,518.0200000000001
81,4,27,0,1,40,112,20,12,4,38,344,1,2,2,706.99
84,0,21,0,2,21,195,27,4,0,10,124,0,1,2,507.0
93,1,21,4,0,45,128,15,11,1,33,181,2,0,4,546.0000000000001
95,2,20,0,0,53,123,18,11,2,17,218,1,2,5,571.9899999999999
98,2,21,0,0,19,220,31,10,1,22,171,1,3,3,604.0200000000001
102,4,27,1,6,51,142,20,7,1,38,253,4,4,5,663.0100000000001
103,2,41,1,1,30,175,21,8,0,21,224,0,3,5,632.01
111,13,16,0,2,35,152,19,13,1,23,326,5,3,5,713.0100000000001
115,3,12,3,2,38,122,26,13,2,24,247,1,3,7,603.01
116,3,22,1,1,34,109,19,7,0,35,288,1,0,1,621.0000000000001
119,3,16,0,2,35,141,20,13,5,28,279,3,3,4,651.9799999999999
120,0,24,2,1,32,168,22,9,3,31,213,0,1,3,609.02
124,3,16,1,2,24,93,12,10,0,28,289,3,0,4,585.0000000000001
125,3,19,2,2,51,129,13,8,2,33,250,2,4,3,621.0
127,7,20,4,0,27,153,22,16,1,28,317,6,2,5,708.0000000000001
128,2,12,1,0,25,148,11,5,0,24,297,1,3,2,630.9999999999999
129,4,26,1,3,30,141,10,12,4,28,305,1,0,9,674.0
131,1,23,1,1,19,175,25,19,2,32,308,0,2,4,711.9800000000001
133,0,23,1,0,25,186,30,14,1,43,328,1,6,4,761.9999999999999
135,5,16,2,0,28,135,26,9,0,24,304,7,1,4,660.9899999999999
142,0,25,1,0,14,210,20,9,1,13,140,0,0,6,539.0100000000001
143,0,26,0,0,29,206,21,14,0,18,178,4,2,1,598.9999999999999
144,2,21,1,1,29,202,16,9,2,21,209,2,1,4,619.9900000000001
146,1,26,0,0,32,170,22,5,0,23,198,1,2,1,581.0
148,3,15,2,1,56,149,13,3,1,22,175,4,1,3,547.99
151,2,16,3,1,42,213,9,8,2,25,174,1,4,8,607.9900000000001
153,2,19,0,2,28,180,15,3,0,25,175,1,3,3,556.01
156,2,34,1,2,14,257,20,5,0,17,150,0,0,1,603.0000000000001
159,1,20,1,0,25,306,20,8,0,17,170,1,2,3,673.9799999999999
162,1,26,1,0,16,218,22,8,2,25,189,0,0,7,614.9900000000001
165,2,47,2,0,18,216,19,9,1,24,207,3,0,3,650.9899999999999
167,3,23,3,0,24,204,30,11,0,21,192,1,2,2,615.99
170,3,29,1,1,20,160,15,7,0,22,209,2,1,3,572.99
173,3,34,2,1,32,202,39,8,4,26,238,2,2,3,695.9900000000001
174,5,25,0,4,33,192,30,8,0,31,209,1,3,5,645.9999999999998
180,5,19,2,1,31,204,17,7,2,26,210,1,0,2,627.01
184,2,18,2,0,25,159,23,14,1,32,244,0,3,1,623.9900000000001
185,2,15,2,2,33,115,14,5,1,34,300,3,3,2,630.9999999999999
186,3,19,3,2,30,139,23,13,1,34,247,0,2,2,617.9999999999999
187,1,23,3,1,27,150,26,15,1,28,251,0,3,6,635.01
191,0,35,2,0,25,252,25,9,0,11,142,2,1,4,608.0000000000001
195,1,29,2,0,27,226,26,6,0,28,210,2,2,3,662.01
200,2,33,3,7,48,159,27,17,1,45,392,3,4,1,841.9799999999999
201,7,20,0,2,36,146,26,17,1,48,342,2,3,5,755.01
202,5,26,2,2,21,171,23,12,2,38,348,1,5,4,760.0
205,1,24,5,2,30,155,31,10,3,37,295,0,2,4,699.01
206,3,30,1,2,29,153,20,10,3,35,309,1,2,3,700.9999999999999
208,6,13,1,3,17,116,22,11,0,45,294,3,0,2,632.9999999999999
210,0,21,0,1,25,140,23,11,1,27,255,3,1,4,611.9999999999999
216,8,15,0,0,19,165,15,13,4,33,272,1,2,6,653.0000000000001
219,1,16,2,0,29,119,21,10,4,27,416,1,6,7,759.0099999999999
221,2,13,0,4,19,114,23,6,4,32,305,2,2,5,631.01
223,4,20,4,1,23,111,15,13,3,22,336,1,2,4,659.0300000000001
226,8,8,2,0,25,101,10,10,2,20,293,3,4,5,590.9999999999999
239,4,9,1,2,17,120,16,15,1,26,336,2,0,3,651.99
240,2,14,1,0,29,143,29,13,2,25,289,1,4,5,657.0099999999999
242,4,22,2,6,28,137,10,15,2,26,353,0,4,1,710.0099999999999
248,3,21,2,1,34,92,13,9,1,27,357,2,4,0,666.0000000000002
249,5,19,1,2,43,99,19,10,1,29,367,4,4,4,706.9899999999999
250,4,22,0,3,20,116,27,12,2,27,364,2,2,3,704.0000000000001
251,3,26,0,2,22,100,13,9,2,40,407,4,4,1,733.0099999999999
252,1,15,2,0,20,100,11,9,2,27,375,3,0,3,668.0
255,1,13,2,6,20,139,20,5,3,30,321,1,4,5,670.02
256,4,6,0,4,31,182,34,14,4,25,217,2,2,7,632.0099999999999
267,2,14,1,1,20,143,24,13,3,30,200,4,2,2,559.0100000000001
268,1,23,0,1,37,154,21,22,1,34,282,5,2,5,687.9900000000001
270,6,30,1,0,35,122,31,13,0,32,319,1,2,0,692.02
278,8,24,0,2,30,96,21,10,2,46,263,2,4,5,613.0
279,6,15,1,2,32,74,19,7,2,26,320,2,2,3,611.0
280,0,11,2,3,39,100,13,7,0,37,245,2,2,5,566.0
283,4,19,0,0,20,110,21,11,2,32,293,0,1,2,615.0
286,7,22,1,4,23,105,24,9,1,26,273,3,2,4,604.0099999999999
288,4,16,0,0,32,125,17,13,2,29,264,0,3,7,612.0
293,3,15,2,2,22,118,28,7,1,40,337,2,0,4,680.98
295,4,6,3,1,27,82,12,5,0,26,312,7,3,0,587.9699999999999
297,5,12,1,3,38,127,15,9,2,40,385,0,2,5,744.01
