SEZIONE,fiamma_tricolore,moderati_in_rivoluzione,grande_sud,lega_nord,p_d_l,la_destra,intesa_popolare,fratelli_d_italia,io_amo_l_italia,forza_nuova,rivoluzione_civile,lista_giannino,partito_comunista,centro_democratico,p_d,s_e_l,m5s,lista_amnistia,casapound,p_r_i,f_l,u_d_c,lista_monti,TOTALE
1,0,1,0,6,67,4,2,3,2,0,11,5,0,1,82,22,59,1,0,0,0,3,32,400.98
9,0,2,0,14,70,2,0,13,0,0,16,6,1,3,133,67,86,2,2,0,0,4,42,563.0000000000001
14,0,1,0,5,74,2,0,6,1,1,18,9,2,1,173,58,100,0,1,2,0,4,46,604.02
17,1,4,0,12,81,0,0,7,0,0,17,9,3,2,214,51,89,3,1,0,2,10,33,639.01
24,0,1,0,20,143,0,0,21,2,0,9,22,1,2,164,45,78,2,2,1,5,4,70,692.0200000000001
26,5,0,0,12,90,3,0,4,0,1,10,14,4,0,180,28,101,2,1,0,1,13,74,642.99
29,0,1,0,14,73,1,0,7,0,2,17,10,2,0,160,35,67,2,0,0,1,8,58,558.01
30,0,2,0,7,77,2,0,7,2,2,11,8,3,0,186,32,120,2,1,0,1,4,61,628.0200000000001
31,0,1,0,11,76,2,0,13,0,2,14,18,0,2,199,55,103,3,0,0,2,7,57,664.99
33,0,1,0,15,78,1,0,5,1,5,12,10,2,2,220,43,96,4,1,0,0,8,34,638.0100000000002
35,0,2,0,19,82,2,0,8,0,2,27,15,1,1,210,49,116,1,0,0,2,3,49,689.0000000000001
38,2,0,0,8,71,2,0,4,1,0,12,3,0,1,192,30,94,1,0,0,1,1,34,557.0200000000001
39,0,0,0,16,56,0,0,4,0,0,10,7,1,0,222,40,86,0,1,1,2,7,42,594.9700000000001
40,0,1,0,8,123,0,0,13,1,1,6,21,0,1,127,15,85,2,0,0,2,7,97,610.02
42,0,0,0,15,67,1,0,8,2,0,13,12,0,2,169,31,107,1,1,0,0,2,42,572.98
43,0,2,1,18,78,1,0,14,3,0,4,12,2,1,233,23,91,4,1,0,2,1,82,672.9599999999999
44,0,1,0,13,127,2,0,21,1,2,9,7,1,0,121,19,69,2,1,0,4,5,60,565.04
46,0,5,1,11,82,0,0,6,0,2,14,9,3,3,162,47,85,4,1,0,0,11,50,595.99
47,0,6,0,11,99,2,0,9,1,2,8,11,0,1,160,35,104,2,1,0,0,4,48,604.0
49,1,3,0,14,117,1,0,13,5,0,22,31,4,2,173,66,99,3,0,0,2,6,61,722.99
58,1,4,0,8,121,3,0,6,1,1,9,12,0,2,128,32,69,2,1,0,5,4,47,556.02
61,1,2,1,8,100,2,0,13,2,0,18,8,0,4,158,36,109,2,0,0,2,4,46,616.01
62,1,0,0,11,75,5,0,4,0,0,15,13,0,0,133,24,103,1,0,0,0,6,49,540.01
68,2,1,0,2,55,0,0,1,1,1,14,10,2,3,200,41,128,1,0,0,0,3,39,604.02
69,0,4,1,9,60,0,0,10,3,0,9,7,0,1,177,42,76,1,0,0,0,15,37,551.98
73,1,1,0,5,58,2,0,1,8,3,14,3,0,0,280,30,85,0,0,0,0,3,30,624.0000000000001
76,2,4,0,7,60,0,0,1,1,0,13,2,4,1,165,17,58,4,0,1,1,3,22,465.9699999999999
81,0,3,0,15,58,3,0,7,1,1,17,2,4,0,275,51,113,2,0,0,2,7,36,697.01
84,0,5,0,9,88,0,0,11,1,1,4,7,1,4,100,25,78,2,0,0,2,8,61,507.0
86,1,2,0,6,90,5,0,7,0,0,7,12,0,0,127,27,66,1,0,1,3,4,72,530.98
93,1,0,0,5,54,5,0,5,0,2,13,10,2,0,172,58,62,2,0,0,6,6,47,549.97
96,0,0,0,11,72,0,0,9,3,0,23,6,3,0,139,39,83,0,0,0,3,9,35,535.0099999999999
99,2,0,0,13,124,3,0,14,4,0,14,16,5,4,176,39,106,2,1,1,2,8,53,686.9899999999999
101,1,3,0,12,98,0,0,11,0,2,12,5,1,0,157,41,62,0,1,0,3,4,45,558.0200000000001
103,0,2,0,15,79,3,0,4,2,2,15,11,4,1,174,39,87,5,0,0,2,15,34,593.9799999999999
107,0,2,0,7,65,2,0,7,2,0,15,9,4,2,206,59,108,1,1,1,2,1,30,623.9900000000002
111,2,2,1,7,63,2,1,6,1,2,9,4,6,1,255,19,96,5,0,1,4,0,37,623.99
117,0,1,0,16,76,4,0,8,3,1,12,19,3,1,229,48,94,2,0,1,3,8,60,689.0200000000001
119,1,1,0,18,65,2,0,9,1,2,13,12,1,1,236,39,78,2,1,0,3,2,50,637.0099999999999
123,2,4,0,13,87,2,0,4,4,2,16,2,3,4,209,32,87,0,2,2,1,10,64,650.0
127,0,4,1,10,79,1,0,5,4,0,21,7,5,2,254,33,129,0,0,0,0,9,57,720.9899999999999
130,1,2,1,5,66,1,0,4,2,1,17,7,3,3,232,34,138,2,0,0,3,7,53,681.9900000000001
132,0,2,0,7,107,1,0,16,1,2,12,13,2,5,311,32,147,2,0,0,3,11,63,837.01
134,5,0,0,9,88,1,0,12,3,1,20,8,3,1,259,34,124,1,0,0,0,9,40,718.0
136,1,2,3,9,83,0,0,2,0,2,3,22,1,1,204,20,128,2,2,0,3,11,33,632.02
138,0,5,1,8,118,1,0,17,0,2,5,12,1,1,105,26,67,2,1,0,1,3,55,530.98
140,1,2,0,8,61,0,0,9,3,1,18,4,2,1,147,50,89,8,1,0,4,3,38,550.0
141,0,6,2,11,98,2,0,9,0,1,8,14,2,0,134,50,68,4,0,0,1,1,32,543.0
151,0,3,0,13,94,4,0,10,1,2,15,14,1,1,128,45,83,3,0,0,0,5,56,578.0200000000001
155,2,2,0,17,109,5,0,20,1,1,15,21,2,1,181,43,81,2,4,0,1,10,83,701.0099999999999
157,0,4,0,16,111,3,0,9,1,1,7,16,0,5,169,18,68,6,1,0,3,4,79,621.0000000000001
162,1,3,0,10,103,1,0,13,3,0,6,15,0,0,171,28,60,2,0,0,1,11,77,604.9999999999999
163,0,3,0,16,93,1,0,8,2,1,9,18,1,2,158,27,53,0,1,0,1,17,71,582.0
167,2,1,0,16,90,3,0,21,3,0,10,8,0,1,145,24,86,3,0,0,3,6,61,583.0000000000001
168,0,1,1,12,101,1,0,19,1,1,11,11,1,7,163,18,56,4,1,1,4,10,91,614.9799999999999
171,0,3,0,17,82,2,1,13,3,0,11,9,3,3,191,34,86,1,0,0,0,10,52,621.02
173,0,7,0,10,86,0,0,9,3,1,13,11,1,3,197,31,118,2,0,1,1,5,88,686.9699999999999
175,0,3,0,4,82,1,0,4,0,1,10,12,0,5,169,30,81,2,0,0,2,4,62,572.0100000000001
