SEZIONE,forza_nuova,lista_monti,lista_giannino,p_d,centro_democratico,s_e_l,la_destra,lega_nord,fratelli_d_italia,p_d_l,rosa_tricolore,p_r_i,io_amo_l_italia,m5s,fiamma_tricolore,partito_comunista,lista_amnistia,rivoluzione_civile,TOTALE
1,0,34,6,80,0,20,4,6,3,68,1,0,1,49,0,0,1,7,380.00000000000006
4,1,90,13,158,3,28,1,13,9,100,4,0,3,63,1,1,4,9,601.0000000000001
6,4,62,9,153,3,44,5,9,10,87,2,0,1,86,0,3,3,13,593.99
7,0,71,7,204,0,46,1,9,4,77,0,1,1,86,0,1,2,16,626.0
12,1,33,7,176,2,66,1,8,5,52,3,0,2,80,0,2,1,14,552.9900000000002
18,2,76,9,183,0,38,1,21,10,110,1,1,0,64,0,0,3,14,633.02
19,1,86,8,143,1,25,1,13,16,119,3,0,3,62,0,1,1,10,593.0000000000001
23,0,81,4,179,0,30,2,14,17,95,6,0,2,70,1,0,1,8,610.0100000000001
25,1,50,8,155,1,33,0,20,7,115,2,0,0,78,1,3,1,9,584.0100000000001
31,2,60,14,217,2,40,2,13,7,72,1,1,0,90,2,0,1,13,637.0
37,2,61,15,206,2,15,2,14,4,81,1,1,0,78,1,2,3,6,593.98
39,0,41,7,221,0,33,0,16,4,54,0,1,0,84,1,0,0,4,565.99
42,0,42,8,175,1,29,1,12,7,66,0,0,2,98,0,0,1,10,551.9900000000001
51,0,74,10,146,2,20,2,21,11,133,5,0,0,72,0,1,2,5,604.01
54,1,34,7,178,1,46,1,3,7,81,2,1,3,79,0,3,0,7,553.99
56,2,41,7,161,4,32,3,4,10,79,8,1,3,80,1,1,1,10,547.9800000000001
59,4,46,6,157,0,28,2,6,7,89,3,1,1,75,2,0,0,7,533.99
62,1,58,6,135,0,27,4,10,4,73,1,0,0,85,0,1,2,11,518.0099999999999
67,2,46,7,207,2,40,2,3,2,54,1,2,0,98,1,2,1,9,579.0200000000002
69,0,47,7,179,3,36,0,10,13,56,6,0,3,70,0,0,2,5,537.0000000000001
75,2,53,9,199,2,40,2,9,12,81,0,0,1,87,1,0,0,12,609.9799999999999
76,1,24,1,164,0,15,0,7,2,53,4,1,0,54,2,5,4,9,446.03
81,2,39,1,284,1,47,5,13,6,56,0,0,0,106,0,3,2,6,671.0199999999999
82,1,34,3,228,1,25,1,11,7,42,2,2,2,79,2,2,1,13,556.0100000000002
85,1,59,7,157,1,60,4,4,8,57,1,0,1,64,1,1,3,8,537.0200000000002
86,0,76,5,129,0,24,2,13,7,86,2,0,0,57,1,0,1,5,508.0300000000001
87,0,54,7,165,1,55,1,12,9,92,0,0,2,70,3,0,4,12,587.0000000000001
93,1,56,8,175,0,43,7,7,6,49,0,0,0,55,0,0,2,9,518.0000000000001
94,0,26,3,133,3,35,1,7,0,43,0,0,3,64,1,3,1,9,431.98
95,1,53,4,174,0,59,1,6,13,57,1,0,2,68,0,3,0,8,550.0
96,0,34,5,142,3,37,1,6,9,73,0,1,1,73,1,3,1,17,507.03
104,2,68,11,232,2,23,4,17,8,89,1,1,0,76,2,2,2,14,653.9899999999999
105,0,56,9,171,5,33,1,11,5,89,2,1,3,91,0,3,0,11,591.0
106,1,51,6,212,4,39,0,17,6,48,0,1,0,78,2,5,1,18,589.0
107,0,33,7,215,1,47,1,10,3,64,2,1,1,86,0,3,1,12,587.03
108,1,36,4,248,4,31,0,7,5,39,1,0,0,103,0,2,4,9,593.9899999999999
112,2,54,4,185,1,41,2,7,4,56,1,0,4,103,0,1,2,8,574.9799999999999
114,1,59,8,196,2,48,2,8,9,118,5,1,0,71,0,2,2,8,640.0200000000001
120,1,58,8,179,0,27,1,12,6,66,1,1,0,95,1,1,1,14,571.9800000000001
122,1,57,3,221,2,36,0,9,7,66,2,2,0,73,1,0,2,7,588.99
135,0,30,3,242,0,26,0,13,4,65,0,0,3,95,0,2,2,13,597.9800000000001
136,4,36,19,209,1,12,0,7,2,86,1,0,0,119,3,1,1,3,604.0100000000001
147,3,61,12,200,3,52,1,12,3,86,2,0,2,62,0,2,1,12,613.9699999999999
150,2,53,4,156,0,34,1,8,4,56,2,0,1,66,2,1,1,7,498.0
151,0,62,8,138,0,39,4,16,8,95,1,2,1,70,0,2,1,12,559.0200000000001
154,0,101,12,158,5,19,3,14,8,107,2,0,0,50,0,1,6,5,590.99
155,1,81,16,186,2,33,6,18,16,110,2,1,0,66,2,3,3,11,656.99
156,0,62,9,116,4,7,3,9,11,128,3,1,4,59,0,0,3,3,522.0
158,0,91,9,157,4,19,5,14,17,120,0,0,1,71,0,1,3,6,618.0100000000001
160,1,59,18,145,0,27,1,18,23,90,0,1,1,68,2,1,1,3,559.0000000000001
161,0,111,13,140,2,24,3,12,16,89,0,0,2,51,0,1,1,9,574.0000000000001
163,0,82,12,159,4,25,0,21,6,90,3,0,4,44,0,0,1,7,558.01
165,0,86,11,181,1,25,2,14,9,105,10,1,3,51,0,0,0,5,604.0
166,0,70,9,159,4,21,3,15,12,135,3,3,2,40,0,0,1,3,580.04
168,1,93,4,165,5,16,1,14,13,97,2,1,1,60,0,1,1,6,581.0100000000001
173,0,92,8,190,3,36,0,13,9,81,6,2,2,101,0,0,3,10,656.01
174,0,71,4,210,0,20,4,15,5,73,1,0,0,75,3,0,0,15,595.99
179,0,31,4,231,0,30,0,8,5,56,0,0,0,101,0,1,1,8,575.9900000000001
185,2,33,6,276,1,28,1,8,1,53,1,1,0,86,0,0,1,10,608.0099999999999
189,1,81,10,111,1,19,0,22,22,114,2,1,1,62,0,0,3,7,557.01
190,0,87,15,124,6,25,4,13,19,124,2,2,2,52,1,0,0,4,580.01
192,0,78,9,155,6,27,4,22,14,104,5,2,0,87,0,1,3,5,621.98
195,1,83,12,156,0,35,2,17,18,90,4,1,5,80,1,1,2,12,619.98
198,1,46,6,287,0,30,1,10,8,60,3,0,0,141,1,5,2,14,715.0199999999999
202,0,77,5,298,2,22,0,10,5,83,0,0,2,86,1,1,2,11,705.0200000000001
205,2,54,6,234,1,27,2,22,3,78,2,0,0,112,1,3,1,11,659.0199999999999
207,4,44,7,271,1,34,1,12,7,72,0,2,2,161,4,2,0,12,735.9999999999999
209,2,44,4,286,2,20,2,6,7,63,1,0,0,111,1,1,0,11,661.0199999999999
210,2,52,11,226,0,34,0,12,8,53,1,0,2,81,0,1,3,5,590.9900000000001
211,0,58,5,279,1,32,0,10,7,62,3,1,0,128,4,2,1,4,697.02
213,0,40,2,301,1,23,1,5,2,52,0,0,0,92,1,4,3,7,634.01
216,2,63,4,239,0,22,3,13,9,67,2,0,3,75,1,0,0,6,608.9899999999999
217,3,36,5,275,1,32,4,14,5,74,2,1,0,139,1,2,1,11,706.0400000000001
218,1,27,6,265,1,35,2,8,5,52,1,0,0,103,0,2,0,10,618.0
221,0,45,0,235,1,16,0,14,3,58,0,0,0,82,3,1,0,2,560.0000000000001
