SEZIONE,ricca_257,stampacchia_1038,ferri_381,fortuzzi_5322,casini_69691,terra_544,aiello_1447,palmieri_955,errani_21218,giannini_661,montevecchi_44408,brunelli_53597,TOTALE
1,0,0,0,5,102,0,0,0,42,1,39,113,302
4,0,5,0,18,161,0,2,3,47,1,84,150,471
6,0,1,0,19,151,4,1,1,76,0,70,135,458
7,1,1,1,24,204,1,3,1,65,1,91,120,513
11,1,1,2,16,115,2,3,1,54,1,44,98,338
15,0,8,2,19,169,2,4,3,58,3,75,138,481
23,1,4,1,11,217,0,0,4,57,1,71,142,509
26,0,2,1,22,166,5,0,3,59,1,72,153,484
27,0,2,2,21,170,4,2,1,61,1,77,106,447
28,0,3,2,27,152,1,2,1,67,1,71,167,494
29,0,2,0,11,121,3,3,3,55,0,97,101,396
30,1,4,1,21,160,0,3,2,70,3,122,106,493
32,0,3,0,16,181,0,5,4,43,4,130,116,502
35,0,2,2,20,171,1,3,1,57,1,109,132,499
38,1,2,0,21,125,0,2,2,52,1,86,129,421
39,2,2,0,17,173,1,2,2,54,2,101,105,461
47,0,1,2,23,166,1,3,3,52,2,78,158,489
54,1,5,1,25,116,3,2,4,55,1,90,98,401
59,1,2,2,23,126,1,2,3,61,1,75,126,423
66,0,2,0,15,188,3,4,2,83,0,142,140,579
69,2,1,0,13,158,0,1,4,48,2,90,109,428
70,1,4,0,12,126,4,3,2,53,0,119,91,415
75,0,1,1,8,170,0,2,4,69,2,117,107,481
81,0,1,0,16,168,2,4,6,59,2,149,102,509
83,0,0,1,10,137,2,3,3,36,2,81,104,379
84,0,2,1,9,117,0,1,0,33,0,45,121,329
97,0,1,0,19,128,2,3,3,47,1,100,92,396
98,0,2,0,6,146,2,2,4,55,1,72,132,422
100,1,0,0,12,123,0,0,1,54,2,78,94,365
101,0,0,1,14,159,1,1,0,61,4,73,126,440
104,0,0,1,16,197,0,3,6,56,1,76,147,503
109,0,1,1,35,177,4,4,3,91,0,98,109,523
112,0,0,0,18,170,1,2,1,60,0,113,92,457
113,0,2,0,16,169,2,1,1,58,1,101,127,478
117,0,4,0,4,201,2,3,2,31,1,112,144,504
118,0,1,0,10,75,0,3,1,30,1,47,88,256
119,1,2,1,11,178,2,4,4,52,1,112,129,497
120,1,0,1,9,148,1,2,4,52,2,91,105,416
122,0,1,1,11,159,1,6,4,40,0,85,118,426
123,0,4,2,8,208,0,1,1,60,3,92,157,536
126,1,0,1,13,163,0,0,1,51,1,92,120,443
139,2,5,1,8,151,0,1,0,37,2,37,187,431
143,3,3,0,12,165,0,1,3,33,1,70,149,440
144,2,5,4,10,157,1,2,2,51,0,61,159,454
151,0,1,0,12,153,2,3,2,40,0,67,156,436
152,2,1,2,6,153,0,1,3,35,1,58,163,425
156,0,9,1,3,162,1,1,1,30,1,47,153,409
161,0,4,1,13,169,1,3,1,43,1,62,137,435
163,0,6,0,11,172,0,2,0,58,1,56,131,437
166,0,2,0,6,180,0,0,0,52,1,70,177,488
174,0,6,1,6,166,1,5,5,51,0,82,153,476
175,1,1,0,12,172,1,3,0,51,2,94,125,462
179,0,2,3,16,125,0,9,1,47,2,141,86,432
181,0,4,0,8,142,2,4,1,49,1,85,130,426
184,1,2,1,5,162,1,3,0,33,2,122,118,450
186,0,2,0,10,144,0,2,2,40,2,102,91,395
187,2,0,2,11,152,1,0,3,47,2,110,112,442
194,0,1,5,6,176,1,1,5,34,0,47,232,508
195,0,1,6,7,175,0,0,0,60,0,66,191,506
196,1,1,3,5,141,1,1,2,29,0,62,169,415
198,0,1,1,11,194,0,3,3,53,3,184,138,591
199,0,4,1,17,207,2,5,4,75,0,192,157,664
200,1,4,0,20,229,2,4,5,71,3,188,157,684
204,0,5,0,16,181,0,3,7,61,1,150,155,579
209,2,1,0,10,196,1,7,1,59,5,124,113,519
216,2,2,1,13,170,2,6,4,39,0,85,131,455
221,1,2,0,6,151,0,2,1,30,1,96,101,391
222,0,4,1,9,214,2,9,3,43,2,137,129,553
223,1,2,1,9,188,3,3,1,43,0,95,103,449
225,0,2,0,5,180,1,4,3,48,2,104,117,466
229,0,3,1,6,196,2,5,2,55,0,73,112,455
234,0,5,1,4,188,0,3,2,47,2,133,158,543
237,0,0,1,14,280,1,6,4,80,4,216,145,751
249,0,2,1,4,193,2,9,1,29,1,120,112,474
250,3,5,0,1,173,2,0,2,41,0,111,118,456
252,0,2,0,4,203,1,4,2,44,0,86,108,454
253,0,3,0,3,197,0,5,2,46,1,88,92,437
259,1,2,0,5,188,0,6,1,44,1,133,150,531
260,0,1,0,12,115,0,2,1,42,0,96,75,344
265,1,2,1,8,95,2,0,1,27,3,101,125,366
269,0,3,0,22,145,0,4,5,63,1,119,128,490
270,2,4,1,15,173,5,7,3,47,3,150,119,529
273,0,4,1,34,152,1,3,1,52,1,131,114,494
274,0,3,0,23,176,2,3,6,70,1,116,101,501
275,3,1,1,20,171,0,3,2,40,0,99,117,457
282,0,3,0,16,113,3,1,4,39,1,104,85,369
285,1,0,0,15,128,2,6,3,53,1,148,121,478
287,1,4,0,16,142,1,4,2,48,2,93,87,400
290,1,0,1,8,169,2,6,0,52,1,91,124,455
296,2,5,0,14,235,6,6,5,83,2,153,135,646
305,0,2,0,8,138,0,6,1,36,1,140,96,428
309,0,1,1,7,209,1,5,2,48,0,93,90,457
316,2,1,0,10,168,0,5,2,59,1,160,131,539
329,1,3,0,9,176,1,3,3,50,3,147,135,531
330,1,2,0,11,170,0,3,4,43,3,155,122,514
331,1,2,0,24,120,1,3,1,32,1,107,94,386
336,1,12,1,10,180,1,4,3,67,1,83,123,486
338,0,5,0,21,153,0,3,7,48,3,140,128,508
342,0,6,2,8,114,2,4,5,35,2,91,101,370
344,1,0,0,15,132,2,5,2,54,1,123,100,435
346,0,5,1,11,196,0,4,2,56,2,149,179,605
352,1,0,0,17,146,0,8,3,51,1,115,103,445
356,0,2,0,3,119,2,2,0,30,2,82,100,342
357,2,1,5,10,147,1,2,3,53,1,119,122,466
359,4,0,1,7,109,1,5,3,19,3,79,101,332
362,0,0,0,14,136,0,5,2,45,0,121,86,409
366,2,0,1,11,174,0,5,1,30,1,131,194,550
367,0,3,0,1,183,0,4,1,45,2,76,119,434
368,0,3,0,8,207,1,8,1,60,0,150,124,562
373,1,2,1,9,136,2,3,2,43,2,98,112,411
379,1,2,1,5,183,1,5,2,47,1,102,98,448
380,0,4,1,6,135,2,6,1,37,1,110,92,395
383,0,3,0,6,138,1,6,2,42,2,97,86,383
385,1,3,3,5,200,0,0,0,44,0,76,105,437
388,0,1,1,20,159,1,1,2,41,4,105,100,435
390,0,3,1,4,151,2,3,2,45,1,132,99,443
393,0,3,1,3,128,0,10,1,35,2,115,113,411
395,0,0,0,8,175,3,6,4,48,1,110,97,452
396,1,4,1,9,182,1,1,0,51,0,106,117,473
406,0,3,0,6,181,0,3,3,48,2,93,96,435
414,1,1,1,13,147,1,4,2,41,1,125,111,448
417,1,6,1,8,179,0,2,0,59,1,99,159,515
419,0,3,3,9,124,2,1,4,48,0,105,117,416
421,0,2,0,4,161,0,2,3,44,2,127,122,467
422,0,3,1,10,181,0,1,0,47,0,81,139,463
424,0,1,0,1,152,1,1,1,47,0,100,89,393
437,0,2,0,11,123,4,5,1,35,2,164,78,425
438,1,0,0,0,20,0,2,1,6,1,14,19,64
439,1,0,1,3,49,0,3,2,13,1,18,47,138
442,1,2,0,0,30,0,2,0,2,0,7,12,56
444,1,1,0,3,36,0,2,0,8,0,18,30,99
3,0,6,1,14,121,2,4,2,42,1,71,159,423
8,0,2,0,8,141,0,3,4,47,1,86,89,381
13,0,1,2,17,80,0,3,1,42,0,36,55,237
16,1,0,1,26,142,1,3,3,56,3,96,104,436
17,0,3,0,26,200,1,8,4,59,1,99,87,488
20,0,4,2,5,159,0,0,4,37,3,46,230,490
24,0,2,3,13,178,2,2,2,50,0,78,206,536
25,0,3,1,18,144,2,1,0,51,4,77,164,465
34,1,2,0,12,152,0,2,1,52,1,95,109,427
37,0,2,0,9,174,0,5,6,45,1,93,145,480
40,1,1,3,6,162,1,0,2,33,0,72,170,451
41,2,1,2,19,158,0,4,1,55,0,122,146,510
43,0,4,1,15,214,1,1,0,44,4,76,170,530
44,0,1,3,4,138,0,2,2,31,0,63,181,425
45,0,5,2,19,168,3,0,5,69,3,96,183,553
48,1,1,1,9,155,0,2,7,45,2,81,154,458
49,0,2,1,17,187,2,0,3,61,1,84,172,530
53,1,3,0,17,175,0,4,1,77,1,110,127,516
56,0,0,1,17,169,1,2,0,61,3,101,127,482
57,0,0,0,8,144,0,4,2,56,5,78,162,459
58,1,3,0,17,125,0,3,1,41,0,69,149,409
60,0,0,1,12,141,0,2,1,50,1,85,106,399
61,1,2,0,17,144,1,2,2,53,1,124,119,466
63,1,2,0,19,134,1,3,5,50,0,122,118,455
64,2,1,1,15,139,2,2,4,51,1,91,120,429
65,0,6,0,19,161,2,4,2,76,1,104,93,468
67,1,0,0,20,145,1,0,2,68,6,127,91,461
79,0,2,2,10,131,0,2,3,49,1,83,137,420
80,1,0,0,4,88,1,0,12,33,2,109,137,387
86,0,3,3,13,138,0,3,0,48,1,54,129,392
87,0,0,0,8,135,0,1,1,81,3,58,145,432
92,0,1,0,25,143,0,4,2,102,1,86,75,439
94,1,2,1,14,91,2,6,1,40,0,58,64,280
95,0,2,2,35,172,3,1,3,82,1,63,91,455
96,0,0,0,18,107,3,0,1,65,0,62,111,367
105,0,3,3,9,161,4,5,2,58,2,91,102,440
110,0,3,0,17,163,2,1,1,49,1,84,108,429
124,0,0,2,15,131,1,4,2,38,0,131,77,401
127,0,4,0,11,200,1,8,1,49,3,143,146,566
132,1,0,4,17,203,1,3,3,54,3,154,204,647
133,1,6,3,5,196,2,1,0,54,0,146,166,580
134,0,4,0,6,152,3,6,2,48,0,138,132,491
135,0,0,1,8,145,2,3,1,38,2,100,141,441
136,0,4,0,5,173,0,1,2,22,4,129,144,484
137,0,4,2,9,132,0,2,6,32,4,136,141,468
142,1,2,0,4,117,0,1,11,21,2,48,164,371
145,0,2,0,8,172,2,1,3,53,0,54,153,448
148,0,0,1,19,133,2,3,3,74,0,57,109,401
149,0,3,1,31,121,3,1,1,63,0,66,94,384
150,1,2,0,13,130,0,1,1,66,2,65,107,388
153,0,2,0,19,155,1,2,1,49,2,57,130,418
154,0,0,1,7,209,0,1,2,46,2,58,155,481
155,1,4,0,13,200,3,0,4,38,1,75,195,534
158,0,1,2,10,186,2,1,1,43,0,61,194,501
160,0,0,0,11,140,3,5,2,43,5,83,147,439
162,1,6,2,13,183,0,1,0,54,0,59,152,471
164,0,3,2,4,180,0,1,2,38,3,59,174,466
165,0,6,4,12,209,0,3,3,45,0,66,137,485
168,0,5,1,7,181,1,2,4,41,2,67,157,468
169,0,0,2,12,148,2,6,2,43,1,82,106,404
171,0,2,0,11,177,3,0,0,65,0,87,141,486
176,0,0,2,10,145,1,2,2,53,1,63,134,413
178,1,3,1,12,179,1,1,3,54,1,83,133,472
182,0,5,1,7,107,2,1,0,50,3,89,96,361
189,1,4,3,6,161,0,0,0,33,0,69,179,456
190,0,0,2,10,157,0,2,3,32,1,68,205,480
191,1,4,3,9,197,1,0,0,28,0,43,210,496
193,0,4,1,12,181,0,0,2,37,3,46,232,518
202,2,2,3,9,214,3,5,3,58,0,107,152,558
203,1,1,0,7,153,0,2,2,46,3,130,135,480
205,1,0,2,13,186,0,9,1,55,1,129,137,534
206,0,0,2,4,162,2,5,2,50,1,126,109,463
207,0,3,0,12,189,2,5,2,54,1,194,148,610
208,0,2,2,8,139,2,9,2,30,4,119,123,440
211,1,1,0,5,210,1,0,4,51,3,136,142,554
212,0,6,1,6,251,0,5,5,61,3,175,186,699
214,1,3,0,18,193,0,5,3,73,0,98,118,512
218,2,2,1,8,151,5,6,1,60,3,136,108,483
219,0,4,1,6,241,4,6,2,86,1,107,114,572
220,0,8,0,11,258,1,3,3,58,1,95,126,564
227,0,1,0,10,143,0,2,1,35,6,73,99,370
230,2,3,0,4,180,0,6,3,36,3,150,142,529
233,1,1,1,4,154,1,3,0,47,3,150,135,500
236,1,2,1,3,184,2,8,2,48,1,94,109,455
