SEZIONE,destre_unite_forconi_235,il_popolo_della_famiglia_965,p_r_i_ala_347,potere_al_popolo_4905,civica_popolare_lorenzin_1433,italia_europa_insieme_2371,piu_europa_10296,partito_democratico_53312,sinistra_rivoluzionaria_491,partito_comunista_1366,casapound_896,liberi_e_uguali_18117,italia_agli_italiani_611,movimento_5_stelle_41598,forza_italia_18467,udc_831,lega_26492,fratelli_d_italia_6601,TOTALE
4,0,4,0,18,2,9,40,101,0,2,2,41,1,79,76,6,43,21,445
6,0,1,0,19,3,8,37,96,4,1,1,60,0,70,58,6,48,21,433
8,0,2,0,7,1,5,36,92,0,2,4,43,1,78,30,0,42,14,357
10,0,2,2,36,0,5,49,78,0,3,3,56,2,48,49,0,41,12,386
11,1,1,2,14,3,3,26,79,1,1,1,49,1,40,38,0,44,15,319
13,0,1,2,17,3,4,18,54,0,3,1,31,0,33,22,1,23,9,222
16,1,0,1,25,1,7,34,92,1,2,2,43,2,88,39,0,44,18,400
18,1,2,0,20,3,4,42,135,3,2,5,54,2,68,50,2,76,23,492
26,0,2,1,21,3,5,32,115,5,0,3,50,1,70,49,4,73,24,458
27,0,2,1,18,2,9,29,123,4,2,1,50,1,72,37,2,47,17,417
28,0,3,2,23,1,13,27,105,1,1,1,54,1,69,82,5,62,17,467
29,0,2,0,9,7,6,34,71,2,3,3,47,0,91,36,1,46,15,373
31,0,3,0,19,1,3,42,144,0,2,2,54,1,97,48,3,59,19,497
35,0,2,2,19,2,2,29,128,1,3,1,47,1,105,38,3,68,19,470
36,0,2,0,13,2,6,33,117,0,5,0,56,1,59,41,4,54,27,420
44,0,1,3,4,9,4,30,90,0,1,2,27,0,59,67,6,79,26,408
46,0,3,2,18,2,10,37,109,2,0,1,49,0,71,55,3,37,17,416
47,0,1,2,23,1,5,39,120,1,3,3,52,2,78,53,4,73,25,485
49,0,2,1,15,5,9,49,119,2,0,3,45,1,78,71,1,69,27,497
51,1,2,3,12,0,13,33,122,0,2,4,37,0,64,76,3,72,24,468
53,1,3,0,16,2,7,42,118,0,3,1,62,1,97,53,3,47,15,471
54,1,4,1,22,1,3,34,73,3,2,4,46,1,75,41,0,50,6,367
58,1,3,0,16,10,5,17,93,0,3,1,30,0,60,60,0,69,17,385
60,0,0,1,11,3,10,33,92,0,2,1,43,1,77,38,1,49,16,378
61,1,2,0,16,5,6,21,108,1,2,2,47,1,114,46,5,53,12,442
62,0,2,2,15,0,4,26,88,0,0,1,33,0,80,38,1,51,19,360
64,1,1,0,14,2,6,20,107,1,2,4,44,1,85,34,3,69,13,407
66,0,2,0,13,2,7,38,133,2,3,2,72,0,135,52,1,65,21,548
68,0,0,0,17,2,5,23,98,2,2,2,54,0,114,25,0,49,18,411
72,0,0,2,14,1,4,27,106,1,4,3,36,2,116,43,2,61,14,436
75,0,1,1,7,3,9,24,125,0,2,4,56,2,104,38,1,53,12,442
76,1,3,0,12,3,0,14,72,1,1,1,28,5,68,26,1,61,4,301
78,0,2,0,8,0,4,13,97,2,0,1,32,3,104,52,1,63,22,404
79,0,2,2,8,5,4,26,90,0,2,2,44,1,79,50,1,63,19,398
82,0,3,0,10,3,7,15,99,0,2,1,51,2,100,23,1,44,10,371
88,0,0,1,25,1,6,37,64,3,2,1,52,1,70,34,6,33,9,345
95,0,1,2,32,1,7,46,116,3,1,3,61,1,58,31,0,40,18,421
97,0,1,0,18,4,9,36,73,2,3,3,39,1,87,39,1,37,14,367
98,0,2,0,5,3,0,22,110,2,2,4,45,1,65,44,1,63,23,392
99,1,4,0,16,6,5,36,112,0,2,4,55,1,108,78,2,57,26,513
100,1,0,0,11,4,9,22,79,0,0,1,41,2,73,34,0,41,17,335
101,0,0,1,13,4,4,40,104,1,1,0,45,4,63,54,4,45,18,401
102,0,3,1,14,5,3,37,131,0,5,3,62,0,77,35,1,58,13,448
106,0,3,0,12,6,8,29,141,2,2,1,54,3,87,26,6,42,11,433
109,0,1,1,33,3,10,40,118,4,3,2,71,0,94,34,2,53,16,485
110,0,3,0,16,4,10,26,116,1,1,0,43,1,78,32,5,62,8,406
112,0,0,0,18,3,12,25,123,1,2,1,50,0,104,34,1,37,17,428
119,1,2,1,10,1,6,38,129,2,4,4,38,1,105,37,7,58,26,470
122,0,1,1,11,3,9,13,126,1,4,4,32,0,79,48,2,56,12,402
123,0,4,2,7,6,6,28,153,0,1,1,50,3,83,50,7,77,19,497
124,0,0,2,15,1,6,16,105,1,4,2,38,0,131,24,1,42,8,396
127,0,4,0,11,6,4,25,159,1,8,1,49,3,143,53,8,73,11,559
129,0,0,1,15,4,6,25,127,3,4,2,40,2,118,46,2,76,10,481
132,1,0,4,16,4,6,30,153,1,3,3,45,3,146,49,5,110,33,612
134,0,4,0,5,4,5,13,126,3,4,1,45,0,127,41,5,69,14,466
136,0,4,0,3,4,3,11,145,0,1,2,19,4,122,57,3,68,14,460
137,0,3,1,8,0,5,12,112,0,2,5,27,4,126,50,1,76,13,445
138,0,4,2,3,1,4,32,76,1,2,4,21,1,42,76,3,70,19,361
139,1,4,1,7,4,7,38,93,0,1,0,33,2,33,82,11,58,27,402
142,1,2,0,4,4,10,26,72,0,1,11,20,2,46,82,4,61,14,360
150,1,2,0,13,0,6,34,84,0,1,1,53,1,60,35,1,56,14,362
152,2,1,1,5,4,8,38,89,0,1,3,24,0,52,73,4,66,15,386
156,0,8,1,3,3,2,45,101,1,1,1,26,1,44,68,0,61,18,384
161,0,4,1,12,6,4,40,110,1,3,1,37,1,58,59,2,55,19,413
162,1,6,1,12,6,5,43,120,0,1,0,40,0,55,60,0,68,18,436
164,0,2,2,4,8,10,36,113,0,1,2,29,2,57,74,4,65,26,435
166,0,1,0,5,8,7,32,121,0,0,0,45,1,65,87,6,60,21,459
167,0,7,4,11,4,12,34,103,1,1,2,50,1,58,59,4,65,25,441
169,0,0,2,12,4,7,34,99,2,6,2,37,1,78,37,1,58,8,388
171,0,2,0,10,3,7,29,136,3,0,0,53,0,80,48,2,63,22,458
175,1,1,0,12,4,7,28,132,1,3,0,39,2,85,46,6,56,16,439
176,0,0,1,6,4,2,15,120,1,2,2,43,0,58,49,1,59,24,387
179,0,2,3,13,0,7,25,90,0,7,1,38,2,127,28,2,43,12,400
182,0,4,1,6,6,1,16,79,1,1,0,41,2,87,37,1,41,15,339
186,0,2,0,8,1,8,32,98,0,2,2,32,2,96,20,1,49,17,370
187,2,0,2,11,1,4,24,120,1,0,3,43,2,104,39,0,60,11,427
190,0,0,1,10,4,8,44,88,0,2,2,25,1,61,98,0,73,29,446
192,0,4,0,13,4,5,44,114,0,1,1,37,2,65,66,1,65,27,449
196,1,1,2,5,6,3,45,85,1,1,2,26,0,57,72,2,62,32,403
199,0,4,1,17,2,9,23,166,2,5,4,70,0,186,56,5,75,18,643
200,1,4,0,19,7,6,33,180,1,4,4,61,3,173,35,2,95,22,650
202,2,2,3,9,2,7,25,170,3,5,3,51,0,101,55,2,69,24,533
203,1,1,0,7,0,7,13,129,0,2,2,46,3,130,35,1,88,9,474
204,0,5,0,16,2,3,15,158,0,3,7,61,1,150,50,2,77,22,572
205,1,0,2,10,3,4,21,151,0,9,1,43,1,114,40,2,85,4,491
206,0,0,2,4,1,9,12,134,2,4,2,39,1,121,32,0,60,16,439
207,0,3,0,11,3,6,16,158,2,5,2,50,1,183,43,3,86,16,588
