SEZIONE,"Aborto? No, grazie",Casini Presidente - Unione di Centro,Forza Nuova,Il Popolo della Liberta',Italia dei Valori - Lista Di Pietro,La Destra - Fiamma Tricolore,La Sinistra L'Arcobaleno,Lega Nord,M.E.D.A. Movimento Europeo Diversamente Abili,Partito Comunista dei Lavoratori,Partito Democratico - Veltroni,Partito Liberale Italiano,Partito Socialista - Boselli,Per il Bene Comune,Sinistra Critica,Unione Democratica per i Consumatori,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
1,8,26,0,238,23,24,23,9,0,2,210,0,12,3,1,0,1,0,5,585,579,714.0,579,0.8109243697478992
2,2,13,3,265,18,12,14,7,1,1,175,3,3,1,2,2,3,0,6,531,522,651.0,522,0.8018433179723502
3,7,31,2,246,25,21,40,20,0,3,254,1,7,3,6,2,2,0,14,684,668,873.0,668,0.7651775486827033
4,6,19,2,224,28,11,28,14,0,3,233,1,11,2,4,2,4,1,6,599,588,754.0,588,0.7798408488063661
5,3,28,1,129,30,7,46,9,0,7,288,5,14,4,4,0,3,0,6,584,575,757.0,575,0.7595772787318362
6,5,39,1,174,23,16,41,9,1,6,276,2,4,1,4,4,4,0,12,622,606,753.0,606,0.8047808764940239
7,2,22,0,199,23,8,23,8,1,3,274,4,11,1,1,0,2,0,11,593,580,708.0,580,0.8192090395480226
8,5,12,2,141,28,8,35,10,1,2,262,3,10,2,1,1,1,0,11,535,523,664.0,523,0.7876506024096386
9,6,14,0,258,23,5,13,3,2,3,209,6,6,0,1,1,2,2,12,566,550,680.0,550,0.8088235294117647
10,1,12,2,205,30,13,33,8,0,2,244,1,13,4,3,0,3,0,12,586,571,735.0,571,0.7768707482993197
11,3,25,2,179,31,10,31,6,2,1,242,2,7,0,4,1,3,0,9,558,546,686.0,546,0.7959183673469388
12,2,11,1,149,28,8,21,4,0,5,191,2,9,1,5,0,1,0,10,448,437,558.0,437,0.7831541218637993
13,4,11,2,134,26,22,54,8,2,6,375,4,12,4,3,2,1,0,11,681,669,849.0,669,0.7879858657243817
14,1,15,1,100,36,8,58,4,2,10,308,2,9,3,7,2,1,0,15,582,566,726.0,566,0.7796143250688705
15,5,23,1,154,35,19,48,12,1,5,353,1,8,1,6,0,4,0,18,694,672,859.0,672,0.7823050058207218
16,7,19,0,154,34,7,57,8,1,4,348,3,3,5,4,0,7,0,18,679,654,835.0,654,0.7832335329341318
17,4,33,0,271,28,12,27,6,1,1,257,4,7,2,3,0,6,2,11,675,656,807.0,656,0.8128872366790583
18,2,18,1,200,34,9,24,5,0,2,271,4,6,1,4,2,1,0,15,599,583,734.0,583,0.7942779291553134
19,4,45,0,258,38,15,27,10,1,2,323,2,4,5,3,2,4,0,7,750,739,879.0,739,0.8407281001137656
20,6,25,1,193,29,13,19,6,0,4,294,2,8,0,1,2,6,0,6,615,603,760.0,603,0.7934210526315789
21,4,32,0,160,55,19,62,9,1,5,315,2,16,2,6,4,4,0,14,710,692,871.0,692,0.7944890929965557
22,1,20,0,124,16,9,28,7,1,3,314,1,16,0,4,3,2,0,9,558,547,687.0,547,0.7962154294032023
23,1,18,4,216,40,10,32,10,0,1,241,3,7,3,3,1,3,0,13,606,590,751.0,590,0.7856191744340879
24,1,47,3,166,32,8,16,6,1,1,176,0,1,0,4,2,0,0,4,468,464,601.0,464,0.7720465890183028
25,1,16,2,138,20,21,44,17,3,6,240,2,13,0,8,0,3,0,9,543,531,678.0,531,0.7831858407079646
26,4,13,1,159,24,16,34,7,0,3,197,0,10,8,0,1,2,0,12,491,477,637.0,477,0.7488226059654631
27,6,25,1,326,33,13,23,11,2,2,248,0,8,1,2,1,6,0,7,715,702,852.0,702,0.823943661971831
28,2,20,2,267,34,25,27,16,0,1,265,4,3,2,0,4,3,0,12,687,672,818.0,672,0.8215158924205379
29,2,28,2,196,29,13,22,3,0,3,254,1,2,2,5,0,2,0,12,576,562,715.0,562,0.786013986013986
30,5,28,1,191,41,15,26,6,0,2,283,0,7,3,2,2,1,0,15,628,612,722.0,612,0.8476454293628809
31,8,26,1,136,34,16,47,8,5,2,355,6,3,2,3,2,1,0,9,664,654,787.0,654,0.8310038119440915
32,3,27,0,190,37,24,32,11,1,4,248,2,11,0,6,1,3,0,12,612,597,742.0,597,0.8045822102425876
33,7,23,0,222,31,17,33,6,2,2,314,0,9,3,1,1,7,0,10,688,671,833.0,671,0.8055222088835534
34,3,28,1,229,27,25,29,7,1,1,264,3,10,3,2,1,5,0,7,646,634,750.0,634,0.8453333333333334
35,7,34,1,191,24,10,36,6,0,2,313,2,6,2,3,1,3,1,11,653,638,772.0,638,0.8264248704663213
36,1,28,2,202,30,13,20,10,2,6,279,4,7,1,3,2,4,0,6,620,610,749.0,610,0.8144192256341789
37,6,24,0,221,26,20,22,17,0,7,292,3,12,4,4,3,2,0,5,668,661,809.0,661,0.8170580964153276
38,2,27,1,167,36,15,44,8,3,2,338,3,11,5,2,4,1,0,19,688,668,820.0,668,0.8146341463414634
39,3,18,2,179,43,19,30,10,0,2,329,0,5,1,9,3,0,0,10,663,653,813.0,653,0.8031980319803198
40,0,24,3,189,26,20,26,13,2,3,287,0,4,1,3,0,2,1,10,614,601,769.0,601,0.7815344603381015
41,4,32,3,210,34,12,25,7,1,1,331,5,8,2,5,1,3,0,11,695,681,816.0,681,0.8345588235294118
42,3,31,1,217,267,16,20,9,1,3,23,2,17,3,1,0,2,0,7,623,614,726.0,614,0.8457300275482094
43,2,19,0,186,27,16,29,9,1,3,332,2,11,3,1,0,1,0,15,657,641,790.0,641,0.8113924050632911
44,1,26,2,148,51,18,42,5,1,6,302,0,13,1,5,1,6,0,19,647,622,780.0,622,0.7974358974358975
45,2,19,1,186,38,21,36,7,0,6,249,1,9,1,4,1,6,0,13,600,581,728.0,581,0.7980769230769231
46,5,19,0,208,34,23,36,10,1,2,277,5,4,1,1,0,2,0,12,640,626,791.0,626,0.7914032869785083
47,2,23,1,177,29,8,15,8,4,4,170,3,13,1,1,1,3,0,6,469,460,621.0,460,0.7407407407407407
48,3,18,2,188,25,19,58,13,2,6,311,4,6,3,8,0,1,0,8,675,666,842.0,666,0.7909738717339667
49,5,30,1,225,29,18,32,11,4,4,259,0,5,0,6,0,3,0,9,641,629,760.0,629,0.8276315789473684
50,3,23,0,195,42,23,37,8,3,3,268,3,18,5,4,1,6,0,11,653,636,805.0,636,0.7900621118012422
51,7,34,1,203,23,20,31,6,2,2,195,2,6,1,4,3,3,0,12,555,540,746.0,540,0.7238605898123325
52,3,16,1,213,34,16,27,12,1,2,219,10,11,0,4,1,4,0,7,581,570,735.0,570,0.7755102040816326
53,3,17,1,212,35,14,46,18,0,2,263,5,13,1,4,2,0,0,10,646,636,810.0,636,0.7851851851851852
54,2,18,1,236,50,9,49,11,2,6,390,1,8,1,6,1,4,0,11,806,791,967.0,791,0.8179937952430196
55,6,17,3,192,25,11,54,10,2,9,333,1,12,5,5,2,4,0,13,704,687,896.0,687,0.7667410714285714
56,2,15,1,139,29,13,76,5,0,9,286,1,3,2,4,3,2,0,19,609,588,801.0,588,0.7340823970037453
57,0,21,2,214,28,9,37,8,3,3,347,0,9,1,4,0,3,0,12,701,686,872.0,686,0.786697247706422
58,8,41,0,244,36,17,42,10,3,4,305,3,9,3,6,0,3,0,10,744,731,892.0,731,0.8195067264573991
59,3,22,1,178,37,21,26,11,3,2,307,2,5,2,3,2,3,1,6,635,625,786.0,625,0.7951653944020356
