SEZIONE,CASAPOUND ITALIA,CENTRO DEMOCRATICO,FARE PER FERMARE IL DECLINO,FORZA NUOVA,FRATELLI D'ITALIA,FUTURO E LIBERTA',IL POPOLO DELLA LIBERTA',IO AMO L'ITALIA,LA DESTRA,LEGA NORD,LISTA AMNISTIA GIUSTIZIA LIBERTA',MIR  - MODERATI IN RIVOLUZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,PARTITO COMUNISTA DEI LAVORATORI,PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE,SCELTA CIVICA CON MONTI PER L'ITALIA,SINISTRA ECOLOGIA LIBERTA',UNIONE DI CENTRO,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
1,1,2,10,1,16,1,109,3,2,3,4,0,78,0,165,9,60,40,5,2,0,6,517,509,694.0,509,0.7334293948126801
2,0,1,11,0,20,3,97,0,2,5,0,0,67,3,93,12,61,29,4,4,1,6,419,408,601.0,408,0.6788685524126455
3,2,2,11,1,25,3,108,1,2,7,8,0,125,3,151,17,53,35,6,2,0,8,570,560,770.0,560,0.7272727272727273
4,1,5,14,0,14,1,96,0,2,2,1,1,97,2,150,7,62,47,1,3,0,6,512,503,739.0,503,0.6806495263870095
5,1,1,8,2,5,1,68,3,2,1,3,1,87,0,214,21,35,60,5,0,0,9,527,518,716.0,518,0.723463687150838
6,0,3,8,0,13,2,83,1,0,5,3,0,90,2,213,23,60,56,23,1,0,5,591,585,781.0,585,0.7490396927016645
7,1,2,16,0,21,1,95,1,1,0,3,2,74,4,191,5,60,57,9,2,0,7,552,543,689.0,543,0.7880986937590712
8,2,2,7,0,19,2,73,0,1,1,7,0,71,6,188,14,41,36,2,1,0,4,477,472,620.0,472,0.7612903225806451
9,0,3,15,0,16,1,122,2,2,1,5,2,68,0,157,3,70,22,0,2,0,7,498,489,622.0,489,0.7861736334405145
10,1,3,13,0,19,1,97,0,2,2,3,0,94,0,162,11,48,42,2,0,0,7,507,500,688.0,500,0.7267441860465116
11,0,1,6,0,12,4,83,3,3,2,2,0,82,1,161,12,46,41,12,4,0,10,485,471,645.0,471,0.7302325581395349
12,0,5,6,0,11,1,55,3,5,1,2,1,66,6,130,14,40,42,4,0,0,5,397,392,542.0,392,0.7232472324723247
13,2,1,13,1,9,1,67,1,0,1,5,0,124,3,315,22,49,71,2,5,0,6,698,687,896.0,687,0.7667410714285714
14,0,4,8,0,5,2,43,0,1,2,1,0,99,3,210,33,38,72,6,2,0,8,537,527,713.0,527,0.7391304347826086
15,2,4,10,0,15,3,79,2,0,0,7,0,98,2,266,28,46,66,3,3,0,8,642,631,829.0,631,0.7611580217129071
16,1,3,4,1,9,1,62,1,1,2,4,0,122,6,260,27,53,55,11,1,0,6,630,623,827.0,623,0.7533252720677146
17,1,4,18,0,21,1,146,3,1,6,2,0,92,1,184,15,76,29,15,6,0,9,630,615,772.0,615,0.7966321243523317
18,4,1,14,2,19,3,106,2,2,5,0,0,111,2,223,14,52,38,4,1,0,17,620,602,760.0,602,0.7921052631578948
