SEZIONE,+EUROPA,CASAPOUND ITALIA,CIVICA POPOLARE LORENZIN,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IL POPOLO DELLA FAMIGLIA,ITALIA EUROPA INSIEME,LEGA,LIBERI E UGUALI,MOVIMENTO 5 STELLE,NOI CON L'ITALIA - UDC,PARTITO COMUNISTA,PARTITO DEMOCRATICO,PER UNA SINISTRA RIVOLUZIONARIA,POTERE AL POPOLO!,TOTALE ISCRITTI,TOTALE,AFFLUENZA,M5S_%
1,12.0,2.0,4.0,59.0,25.0,0.0,3.0,49.0,31.0,80.0,3.0,2.0,125.0,1.0,14.0,612.0,410.0,0.6699346405228758,19.51219512195122
2,28.0,5.0,0.0,54.0,32.0,0.0,5.0,29.0,23.0,61.0,4.0,1.0,105.0,2.0,8.0,551.0,357.0,0.647912885662432,17.086834733893557
3,36.0,5.0,3.0,59.0,31.0,1.0,6.0,43.0,22.0,84.0,2.0,1.0,117.0,0.0,14.0,666.0,424.0,0.6366366366366366,19.81132075471698
4,44.0,3.0,3.0,78.0,38.0,2.0,2.0,52.0,22.0,50.0,3.0,2.0,141.0,1.0,21.0,679.0,462.0,0.6804123711340206,10.822510822510822
5,51.0,3.0,3.0,35.0,15.0,2.0,6.0,34.0,30.0,100.0,3.0,2.0,147.0,0.0,42.0,646.0,473.0,0.7321981424148607,21.141649048625794
6,54.0,5.0,3.0,35.0,21.0,15.0,7.0,56.0,31.0,84.0,4.0,8.0,149.0,0.0,33.0,727.0,505.0,0.6946354883081155,16.633663366336634
7,35.0,3.0,1.0,48.0,25.0,2.0,11.0,36.0,44.0,71.0,1.0,3.0,194.0,0.0,24.0,656.0,498.0,0.7591463414634146,14.257028112449799
8,55.0,2.0,0.0,43.0,36.0,0.0,7.0,24.0,35.0,69.0,2.0,2.0,139.0,1.0,15.0,590.0,430.0,0.7288135593220338,16.046511627906977
9,30.0,3.0,3.0,59.0,28.0,2.0,3.0,52.0,22.0,46.0,2.0,2.0,120.0,0.0,6.0,544.0,378.0,0.6948529411764706,12.16931216931217
10,35.0,2.0,0.0,64.0,31.0,0.0,2.0,38.0,30.0,65.0,1.0,2.0,119.0,0.0,16.0,613.0,405.0,0.6606851549755302,16.049382716049383
11,39.0,1.0,1.0,41.0,19.0,1.0,7.0,54.0,39.0,70.0,10.0,1.0,129.0,1.0,15.0,614.0,428.0,0.6970684039087948,16.355140186915886
12,35.0,4.0,1.0,21.0,14.0,2.0,7.0,28.0,40.0,47.0,2.0,4.0,117.0,0.0,18.0,499.0,340.0,0.6813627254509018,13.823529411764707
13,68.0,7.0,1.0,37.0,17.0,0.0,5.0,74.0,49.0,107.0,3.0,7.0,225.0,1.0,46.0,1051.0,647.0,0.615604186489058,16.537867078825347
14,61.0,1.0,1.0,30.0,9.0,0.0,8.0,28.0,47.0,92.0,0.0,5.0,167.0,1.0,37.0,697.0,487.0,0.6987087517934003,18.8911704312115
15,54.0,3.0,3.0,50.0,15.0,0.0,7.0,49.0,41.0,98.0,3.0,10.0,180.0,0.0,32.0,801.0,545.0,0.6803995006242197,17.98165137614679
16,66.0,7.0,0.0,41.0,22.0,0.0,11.0,46.0,64.0,85.0,0.0,4.0,184.0,1.0,40.0,798.0,571.0,0.7155388471177945,14.886164623467602
17,48.0,3.0,2.0,92.0,32.0,1.0,6.0,43.0,32.0,84.0,3.0,3.0,177.0,0.0,14.0,737.0,540.0,0.7327001356852103,15.555555555555555
18,59.0,8.0,2.0,57.0,27.0,2.0,5.0,37.0,38.0,89.0,2.0,0.0,166.0,0.0,14.0,710.0,506.0,0.7126760563380282,17.588932806324113
19,44.0,1.0,4.0,58.0,23.0,3.0,7.0,50.0,41.0,68.0,6.0,3.0,219.0,1.0,22.0,797.0,550.0,0.6900878293601004,12.363636363636363
20,42.0,1.0,3.0,45.0,24.0,3.0,5.0,61.0,30.0,79.0,1.0,4.0,175.0,2.0,18.0,695.0,493.0,0.7093525179856115,16.024340770791078
21,45.0,4.0,1.0,33.0,32.0,2.0,4.0,41.0,44.0,114.0,3.0,3.0,178.0,1.0,42.0,782.0,547.0,0.6994884910485933,20.840950639853748
22,34.0,5.0,1.0,22.0,15.0,4.0,4.0,37.0,29.0,100.0,5.0,4.0,152.0,1.0,16.0,605.0,429.0,0.7090909090909091,23.310023310023308
23,50.0,2.0,0.0,61.0,23.0,1.0,6.0,39.0,23.0,74.0,1.0,5.0,120.0,1.0,13.0,606.0,419.0,0.6914191419141914,17.66109785202864
24,29.0,5.0,2.0,46.0,17.0,3.0,3.0,54.0,12.0,56.0,9.0,1.0,108.0,0.0,6.0,500.0,351.0,0.702,15.954415954415953
25,44.0,2.0,1.0,30.0,16.0,1.0,3.0,44.0,36.0,81.0,1.0,3.0,119.0,1.0,19.0,586.0,401.0,0.6843003412969283,20.199501246882793
26,42.0,1.0,4.0,43.0,21.0,0.0,3.0,52.0,18.0,64.0,0.0,1.0,88.0,1.0,11.0,555.0,349.0,0.6288288288288288,18.33810888252149
27,62.0,3.0,6.0,107.0,33.0,2.0,3.0,91.0,26.0,78.0,1.0,0.0,167.0,0.0,7.0,798.0,586.0,0.7343358395989975,13.310580204778159
28,46.0,4.0,3.0,94.0,39.0,1.0,10.0,42.0,37.0,84.0,4.0,5.0,156.0,0.0,12.0,738.0,537.0,0.7276422764227642,15.64245810055866
29,36.0,8.0,4.0,39.0,24.0,4.0,5.0,61.0,30.0,113.0,1.0,2.0,157.0,0.0,12.0,660.0,496.0,0.7515151515151515,22.782258064516128
