SEZIONE,+EUROPA,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,UNIONE POPOLARE CON DE MAGISTRIS,TOTALE
1,19,26,55,11,114,2,2,6,14,24,2,94,5,374
2,23,21,58,19,92,2,2,10,7,22,4,71,8,339
3,15,23,56,15,90,0,9,9,10,43,3,84,11,368
4,33,23,72,29,113,3,6,6,6,23,1,113,17,445
5,25,39,70,14,64,3,8,8,11,46,2,125,20,435
6,26,42,65,12,89,1,8,10,16,41,3,115,20,448
7,27,45,95,12,92,0,2,8,14,44,4,99,15,457
8,19,105,72,7,62,0,5,8,12,19,1,26,13,349
9,14,15,65,13,77,1,5,7,11,15,2,85,6,316
10,6,20,47,20,83,2,4,11,4,26,2,90,8,323
11,14,36,58,11,75,0,7,7,17,40,1,98,10,374
12,20,27,55,8,60,1,5,3,5,30,2,78,12,306
13,25,55,80,15,81,2,8,13,16,96,0,171,39,601
14,19,59,41,12,53,2,10,8,12,56,2,140,27,441
15,39,46,68,16,77,1,6,8,11,56,0,166,33,527
16,30,67,62,13,77,1,1,12,11,54,4,163,15,510
17,22,31,109,25,112,2,10,7,12,35,8,122,7,502
18,19,57,93,21,103,2,1,7,7,42,2,152,15,521
19,39,39,100,27,99,0,3,10,11,42,5,169,16,560
20,28,41,64,15,80,0,9,6,20,40,2,123,18,446
21,17,56,63,16,68,1,12,11,9,53,6,140,29,481
22,15,39,74,13,77,1,2,6,6,55,0,98,13,399
23,11,18,60,18,64,0,7,6,10,24,0,90,5,313
24,16,21,45,9,84,0,5,4,12,47,6,72,5,326
25,16,31,34,6,66,1,5,8,9,34,2,96,12,320
26,11,19,48,15,82,2,5,8,9,30,0,71,15,315
27,31,22,90,34,168,1,11,8,11,38,6,113,8,541
28,26,38,73,25,120,2,10,8,10,46,3,118,10,489
29,16,46,49,10,94,2,8,10,11,63,1,130,11,451
30,15,25,44,12,96,3,11,4,23,67,1,118,12,431
31,23,47,49,19,67,1,3,17,22,49,1,159,31,488
32,17,23,64,11,88,0,8,9,11,51,3,114,14,413
33,19,49,69,21,102,2,10,6,22,43,4,160,14,521
34,18,29,65,24,109,2,10,10,10,51,2,163,12,505
35,26,28,54,17,89,3,4,7,13,27,5,123,15,411
36,19,39,74,11,96,1,10,6,19,43,1,129,13,461
37,27,40,80,17,113,1,3,12,20,58,5,165,16,557
38,26,37,76,13,87,1,3,5,16,64,3,167,19,517
39,14,52,59,16,89,0,13,14,22,68,0,155,13,515
40,30,62,90,26,108,4,12,14,34,59,1,193,13,646
41,20,37,72,16,81,3,4,8,28,46,1,172,20,508
42,17,40,94,17,89,1,7,12,15,55,3,143,8,501
43,26,41,68,20,86,1,11,7,12,38,4,163,17,494
44,27,35,58,13,89,2,7,5,11,48,2,173,28,498
45,16,55,51,17,95,2,14,6,32,51,3,141,17,500
46,20,47,80,14,77,5,10,12,23,48,2,138,7,483
47,16,26,42,17,90,0,9,3,19,36,1,107,12,378
48,18,49,60,13,81,1,6,14,9,58,2,113,23,447
49,21,35,67,24,122,0,3,10,14,40,3,139,12,490
50,27,42,82,17,86,1,10,12,11,45,7,135,19,494
51,18,29,43,11,65,0,5,3,13,30,0,94,20,331
52,14,44,51,22,72,2,8,12,11,35,0,95,9,375
53,16,43,57,15,82,2,5,6,5,45,4,97,34,411
54,27,28,90,23,83,1,8,6,16,51,3,157,20,513
55,22,40,49,19,86,2,7,1,18,47,2,123,17,433
56,25,55,0,6,60,2,0,0,9,0,1,113,0,271
57,22,55,52,18,79,1,7,9,16,61,2,142,22,486
58,28,46,0,27,105,5,0,0,18,0,2,146,0,377
59,35,45,0,13,65,0,0,0,12,0,0,165,0,335
60,33,33,77,12,94,0,3,5,7,33,1,167,7,472
61,35,72,0,21,98,2,0,0,13,0,4,167,0,412
62,26,44,62,9,75,2,4,11,7,35,6,129,15,425
63,23,40,158,39,173,1,7,10,14,28,10,142,6,651
64,22,46,107,21,107,0,6,11,8,39,5,147,11,530
65,23,44,125,22,130,3,8,9,12,33,13,165,12,599
