SEZIONE,Casini Presidente - Unione di Centro,Il Popolo della Liberta',Italia dei Valori - Lista Di Pietro,La Destra - Fiamma Tricolore,La Sinistra L'Arcobaleno,Lega Nord,M.E.D.A. Movimento Europeo Diversamente Abili,Partito Comunista dei Lavoratori,Partito Democratico - Veltroni,Partito Liberale Italiano,Partito Socialista - Boselli,Per il Bene Comune,Sinistra Critica,Unione Democratica per i Consumatori,BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
1,23,241,21,15,24,9,0,2,200,0,8,5,1,0,1,0,6,556,549,685.0,549,0.8014598540145985
2,8,253,12,12,20,7,2,2,158,3,2,1,1,3,3,0,3,490,484,601.0,484,0.8053244592346089
3,28,249,25,17,50,14,2,6,218,2,6,2,6,3,3,0,12,643,628,824.0,628,0.7621359223300971
4,17,219,28,9,37,10,0,3,203,0,8,3,3,0,4,0,5,549,540,696.0,540,0.7758620689655172
5,26,130,26,7,60,5,0,5,256,1,11,4,1,1,2,0,9,544,533,710.0,533,0.7507042253521127
6,37,171,24,13,52,8,1,4,241,6,4,1,3,2,3,0,7,577,567,706.0,567,0.8031161473087819
7,26,194,21,7,36,6,1,4,244,2,3,1,1,2,1,0,11,560,548,672.0,548,0.8154761904761905
8,10,146,22,9,34,8,0,2,251,1,8,2,0,0,4,0,11,508,493,628.0,493,0.785031847133758
9,14,250,19,5,23,5,0,3,208,3,6,0,1,1,2,2,6,548,538,656.0,538,0.8201219512195121
10,11,212,25,11,31,5,0,1,229,0,9,4,2,0,3,0,12,555,540,693.0,540,0.7792207792207793
11,22,175,29,11,37,4,1,1,224,1,6,0,4,1,6,0,8,530,516,652.0,516,0.7914110429447853
12,13,140,25,7,32,3,0,3,175,2,7,0,3,0,1,0,11,422,410,527.0,410,0.777988614800759
13,16,128,28,15,73,10,3,3,338,3,14,4,6,2,1,0,7,651,643,813.0,643,0.7908979089790897
14,15,98,33,5,64,4,1,10,292,0,6,4,4,2,1,0,13,552,538,691.0,538,0.7785817655571635
15,25,145,34,15,54,8,0,8,322,2,5,1,2,1,5,0,16,643,622,801.0,622,0.7765293383270911
16,19,150,37,8,70,8,1,3,306,1,3,4,5,0,5,0,12,632,615,779.0,615,0.7894736842105263
17,2,261,27,8,33,7,1,1,214,33,7,1,2,1,6,0,12,616,598,742.0,598,0.8059299191374663
18,19,185,32,12,27,5,0,2,266,0,1,1,3,1,1,0,9,564,554,691.0,554,0.8017366136034733
19,43,261,29,8,40,9,1,2,296,1,3,2,2,1,4,0,5,707,698,819.0,698,0.8522588522588522
20,27,186,23,8,29,5,1,4,265,1,10,1,2,2,6,0,6,576,564,713.0,564,0.791023842917251
21,31,148,47,15,72,11,0,7,291,1,11,2,1,4,3,0,12,656,641,805.0,641,0.7962732919254658
22,18,117,14,6,32,7,1,3,298,0,9,1,2,1,3,0,9,521,509,637.0,509,0.7990580847723705
23,19,216,42,6,36,8,1,3,208,3,3,2,3,0,3,0,15,568,550,700.0,550,0.7857142857142857
24,42,155,29,10,21,7,0,1,165,0,1,0,1,1,1,0,5,439,433,566.0,433,0.765017667844523
25,17,137,19,21,46,13,2,6,223,1,11,2,4,1,3,0,12,518,503,648.0,503,0.7762345679012346
26,11,156,23,11,38,9,2,1,176,0,6,7,2,0,0,0,12,454,442,592.0,442,0.7466216216216216
27,24,318,32,12,25,10,4,1,226,0,9,2,1,1,6,0,3,674,665,804.0,665,0.8271144278606966
28,21,267,29,21,33,14,0,0,245,4,3,1,1,4,2,0,9,654,643,776.0,643,0.8286082474226805
29,28,192,33,14,26,3,0,2,238,0,1,1,3,1,2,0,10,554,542,688.0,542,0.7877906976744186
30,29,186,33,12,37,8,0,4,258,0,6,5,2,1,1,0,14,596,581,684.0,581,0.8494152046783626
31,28,127,36,11,61,8,6,2,330,1,2,3,2,1,1,0,8,627,618,749.0,618,0.8251001335113485
32,30,177,32,16,34,15,1,2,234,1,10,0,5,3,3,0,9,572,560,695.0,560,0.8057553956834532
33,22,207,29,17,42,6,3,3,287,0,8,1,1,0,4,0,12,642,626,780.0,626,0.8025641025641026
34,29,224,27,20,31,5,0,0,246,2,10,2,1,2,3,0,8,610,599,712.0,599,0.8412921348314607
35,26,200,23,3,40,8,1,2,287,0,3,1,2,0,2,1,11,610,596,724.0,596,0.8232044198895028
36,22,208,26,10,28,7,1,6,255,4,5,0,0,2,5,0,3,582,574,706.0,574,0.8130311614730878
37,27,222,28,14,33,14,1,5,261,4,8,3,3,2,2,0,5,632,625,765.0,625,0.8169934640522876
38,21,170,32,15,37,6,1,1,320,2,11,5,2,4,3,0,17,647,627,772.0,627,0.8121761658031088
39,21,170,40,13,47,13,1,2,292,1,5,1,6,3,2,0,11,628,615,770.0,615,0.7987012987012987
40,22,186,23,14,29,14,2,1,269,1,6,1,1,0,2,0,8,579,569,728.0,569,0.7815934065934066
41,37,217,33,4,36,7,1,1,296,2,5,2,3,2,2,0,11,659,646,774.0,646,0.834625322997416
42,27,213,21,11,27,7,1,3,247,3,9,2,1,1,4,0,8,585,573,685.0,573,0.8364963503649635
43,19,185,22,14,41,8,1,2,299,2,8,2,1,0,1,0,15,620,604,751.0,604,0.8042609853528628
44,26,148,46,12,47,5,1,6,264,1,9,1,5,3,4,0,19,597,574,718.0,574,0.7994428969359332
