SEZIONE,CASAPOUND ITALIA,CENTRO DEMOCRATICO,CON MONTI PER L'ITALIA,FARE PER FERMARE IL DECLINO,FORZA NUOVA,FRATELLI D'ITALIA,IL POPOLO DELLA LIBERTA',LA DESTRA,LEGA NORD,LISTA AMNISTIA GIUSTIZIA LIBERTA',MIR - MODERATI IN RIVOLUZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,PARTITO COMUNISTA DEI LAVORATORI,PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE,SINISTRA ECOLOGIA LIBERTA',BIANCHE,CONTESTATE,NULLE,TOTALE_COMPLESSIVO,TOTALE_VALIDI,TOTALE ISCRITTI,TOTALE,AFFLUENZA
1,0,2,68,6,1,16,106,1,5,4,1,77,0,160,3,34,3,0,5,492,484,664.0,484,0.7289156626506024
2,0,1,64,6,0,12,104,2,6,0,1,60,3,105,9,19,3,1,5,401,392,570.0,392,0.6877192982456141
3,3,2,65,6,0,22,108,2,6,9,0,110,2,148,13,36,2,0,6,540,532,729.0,532,0.7297668038408779
4,0,5,70,4,0,14,93,2,2,1,2,80,2,140,5,44,2,0,6,472,464,677.0,464,0.6853766617429837
5,1,1,30,4,2,4,64,4,2,4,2,76,0,227,17,47,1,0,6,492,485,664.0,485,0.7304216867469879
6,1,1,86,4,0,16,82,1,4,1,0,84,3,204,14,56,0,0,7,564,557,730.0,557,0.763013698630137
7,2,1,71,10,0,18,96,0,0,4,3,65,4,195,4,38,2,0,10,523,511,647.0,511,0.7897990726429676
8,2,2,45,3,0,14,73,1,2,5,0,59,4,188,13,32,2,0,5,450,443,583.0,443,0.7598627787307033
9,0,1,81,6,0,16,112,4,1,4,3,65,0,148,2,21,6,0,1,471,464,592.0,464,0.7837837837837838
10,0,0,54,10,0,15,99,1,2,1,0,83,1,169,7,39,0,0,6,487,481,654.0,481,0.735474006116208
11,0,1,60,5,0,10,81,3,3,2,2,68,2,170,7,36,3,0,10,463,450,612.0,450,0.7352941176470589
12,0,4,43,3,0,8,57,2,1,4,2,53,5,144,6,39,0,0,4,375,371,506.0,371,0.733201581027668
13,1,4,50,8,0,6,70,0,3,3,0,111,3,309,11,68,5,0,6,658,647,852.0,647,0.7593896713615024
14,0,2,44,5,0,3,42,1,1,1,0,77,5,214,30,67,1,0,6,499,492,666.0,492,0.7387387387387387
15,1,3,60,9,0,11,76,2,0,4,0,88,1,271,20,54,3,0,8,611,600,786.0,600,0.7633587786259542
16,1,3,63,1,1,10,54,2,4,5,0,109,5,260,19,54,0,0,7,598,591,778.0,591,0.7596401028277635
17,0,2,87,10,1,17,151,1,7,2,3,78,1,179,10,20,6,0,6,581,569,709.0,569,0.8025387870239774
18,1,2,60,10,3,16,106,2,5,0,1,91,1,221,14,31,0,0,12,576,564,706.0,564,0.7988668555240793
19,1,4,91,6,0,11,108,2,3,1,0,89,1,252,9,42,3,0,17,640,620,776.0,620,0.7989690721649485
20,1,0,52,7,0,10,89,2,4,3,2,83,3,202,1,31,3,0,8,501,490,640.0,490,0.765625
21,3,0,62,3,1,15,68,1,6,7,0,109,1,218,15,74,2,0,8,593,583,786.0,583,0.7417302798982188
22,1,1,50,3,0,5,48,0,4,2,0,94,2,230,4,35,0,0,8,487,479,622.0,479,0.770096463022508
23,0,3,51,13,1,11,95,4,3,2,1,83,1,155,17,28,0,0,8,476,468,618.0,468,0.7572815533980582
24,0,1,85,8,1,10,81,3,4,2,1,60,1,130,4,19,2,0,5,417,410,549.0,410,0.7468123861566485
25,1,1,43,3,1,1,56,6,3,1,0,77,2,193,11,39,2,0,9,449,438,610.0,438,0.7180327868852459
26,0,0,35,12,0,14,66,3,3,2,0,80,2,135,14,25,0,0,3,394,391,542.0,391,0.7214022140221402
27,2,0,77,8,0,30,145,5,9,1,0,79,1,194,7,8,2,0,10,578,566,762.0,566,0.7427821522309711
28,1,2,69,10,2,19,133,1,6,4,1,85,0,188,16,35,3,0,6,581,572,728.0,572,0.7857142857142857
29,1,1,33,2,1,12,90,1,4,0,0,101,2,223,11,23,4,0,7,516,505,636.0,505,0.7940251572327044
30,0,2,40,8,0,10,84,2,0,3,1,84,1,219,14,34,1,0,3,506,502,649.0,502,0.773497688751926
31,3,2,51,6,0,7,57,2,3,0,1,108,2,290,13,50,2,0,6,603,595,721.0,595,0.8252427184466019
32,0,0,74,4,2,11,81,2,5,0,0,95,1,223,6,22,3,0,12,541,526,652.0,526,0.8067484662576687
33,1,5,61,5,1,12,101,4,5,7,1,95,4,215,18,33,4,0,8,580,568,737.0,568,0.7706919945725916
34,1,0,62,4,1,10,97,1,6,2,4,95,0,217,11,22,6,0,12,551,533,682.0,533,0.781524926686217
35,2,2,44,6,0,13,81,0,2,4,0,77,0,226,14,36,2,0,5,514,507,645.0,507,0.786046511627907
36,0,2,48,6,1,17,97,0,4,5,1,79,2,226,12,26,4,0,5,535,526,648.0,526,0.8117283950617284
37,1,5,64,5,0,13,113,2,3,4,1,88,3,240,9,37,3,0,11,602,588,757.0,588,0.7767503302509907
38,0,0,59,5,0,14,78,1,8,2,0,103,0,277,18,46,2,0,5,618,611,751.0,611,0.8135818908122503
39,0,3,58,6,1,8,76,1,9,1,0,122,2,245,16,31,5,0,8,592,579,768.0,579,0.75390625
