SEZIONE,Centro Democratico,Fare per fermare il declino,Forza Nuova,Fratelli d'Italia,Futuro e Libertà,I Pirati,Intesa Popolare,Io amo l'Iitalia,La Destra,Lega Nord,MIR,Movimento 5 Stelle,PD,PDL,Part. Comunista dei Lavoratori,Riformisti Italiani,Rivoluzione Civile,SEL,Scelta Civica,UDC,TOTALE,AFFLUENZA
1,1,33,0,15,1,1,0,0,2,52,1,64,85,203,0,0,2,4,121,3,588,0.8922610015174507
2,1,2,1,3,1,0,1,1,2,25,1,89,97,125,4,0,9,4,13,2,381,0.6115569823434992
3,0,1,3,11,3,2,0,3,3,39,0,155,223,139,2,0,22,14,42,5,667,0.7737819025522041
4,3,10,2,10,0,4,1,1,0,39,5,195,159,86,1,0,11,26,49,7,609,0.9144144144144144
5,6,22,0,17,4,1,0,1,2,28,1,67,120,151,0,2,6,11,125,4,568,0.686819830713422
6,2,8,4,6,2,0,0,1,1,50,5,143,237,99,1,1,10,37,70,12,689,0.8173190984578885
7,1,29,0,14,1,1,0,0,2,31,4,60,102,185,0,1,4,11,201,6,653,0.8592105263157894
8,0,19,2,12,1,0,0,1,2,29,2,95,167,107,1,0,6,30,94,4,572,0.8461538461538461
9,1,15,1,11,2,0,0,1,0,29,0,37,94,109,1,0,1,7,101,4,414,0.7931034482758621
11,1,11,2,7,3,3,1,0,1,40,0,148,191,119,3,0,12,9,48,5,604,0.7233532934131737
12,0,3,2,4,3,2,0,0,6,28,0,95,165,134,4,0,8,9,33,8,504,0.8
13,5,28,0,13,1,0,0,0,2,38,7,56,136,123,0,0,2,21,159,2,593,0.8201936376210235
14,0,5,1,16,5,0,0,1,0,29,0,108,101,121,3,1,8,9,58,3,469,0.8142361111111112
15,0,8,1,5,0,0,0,0,0,21,0,20,36,62,0,0,4,6,35,0,198,0.7983870967741935
16,3,32,1,12,1,2,0,0,0,26,1,75,137,127,2,0,5,12,158,1,595,0.8475783475783476
18,1,6,0,6,2,2,0,0,0,44,0,84,229,133,2,0,18,19,42,2,590,0.7919463087248322
19,1,11,2,12,5,0,1,0,1,45,0,113,198,101,2,1,7,21,87,7,615,0.8028720626631853
20,0,3,6,10,3,1,1,3,1,37,0,132,219,104,4,1,3,16,44,2,590,0.7983761840324763
21,1,5,3,16,0,0,1,0,1,65,4,142,191,163,1,1,23,12,59,3,691,14.395833333333334
