SEZIONE,+EUROPA,IMPEGNO CIVICO LUIGI DI MAIO -,ALLEANZA VERDI E SINISTRA,PARTITO DEMOCRATICO - ITALIA D,MASTELLA NOI DI CENTRO EUROPEI,NOI MODERATI/LUPI - TOTI - BRU,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA,FORZA ITALIA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,ITALEXIT PER L'ITALIA,AZIONE - ITALIA VIVA - CALENDA,UNIONE POPOLARE CON DE MAGISTR,VITA,TOTALE,AFFLUENZA
2,2,0,5,27,1,0,21,53,23,1,20,5,5,3,3,184,0.40979955456570155
3,20,1,29,118,0,4,60,124,36,4,54,16,41,8,3,553,0.6385681293302541
6,15,3,45,167,0,4,39,113,30,5,65,9,49,11,0,587,0.6801853997682503
10,1,0,1,3,0,1,8,16,4,1,2,1,2,0,0,40,inf
11,23,5,28,75,2,2,45,115,25,4,52,8,61,3,2,470,0.5608591885441527
14,25,2,39,125,2,8,43,140,57,1,72,5,79,11,0,648,0.6473526473526473
18,10,1,28,166,1,4,40,107,21,5,46,6,27,2,1,499,0.7067988668555241
19,23,1,22,137,0,6,45,102,29,5,51,11,65,8,5,544,0.7064935064935065
20,21,1,25,129,1,3,36,94,30,7,55,5,42,5,3,489,0.6707818930041153
23,38,3,40,166,2,9,51,160,27,10,66,10,62,9,10,708,0.6742857142857143
25,12,16,4,96,0,2,108,55,26,4,55,6,28,6,2,446,0.4790547798066595
30,11,1,23,86,1,9,42,106,27,3,38,9,69,6,1,463,0.6710144927536232
31,13,1,34,142,0,4,28,90,8,8,43,9,37,5,4,464,0.6935724962630793
32,48,2,54,190,1,6,49,178,33,6,67,10,94,4,4,793,0.7538022813688213
50,1,0,0,15,1,0,7,10,3,0,5,0,1,1,1,48,inf
51,26,4,34,126,0,10,48,167,45,8,56,6,53,14,4,646,0.684322033898305
59,22,4,33,121,0,0,58,134,13,6,58,7,60,8,2,547,0.6863237139272271
66,14,0,13,82,2,2,38,82,12,5,40,10,23,6,3,356,0.5933333333333334
72,15,1,22,105,0,8,37,71,13,7,46,12,42,8,2,423,0.6487730061349694
74,17,2,22,75,1,0,22,82,13,7,30,14,25,8,3,349,0.6176991150442478
92,25,2,19,134,1,2,46,106,26,10,49,9,28,8,4,491,0.6617250673854448
97,19,2,24,125,0,5,47,148,27,2,48,13,38,11,0,539,0.6695652173913044
105,19,1,23,133,0,3,20,85,24,4,29,7,38,5,1,417,0.6577287066246057
117,17,2,31,161,1,5,41,156,32,9,54,13,50,13,2,625,0.7217090069284064
120,17,0,27,121,1,4,49,121,29,11,57,6,42,8,1,523,0.6757105943152455
125,25,0,41,158,0,2,52,127,36,4,46,5,56,6,3,611,0.6451953537486801
144,9,19,2,81,0,1,42,86,25,3,47,11,8,3,0,367,0.5611620795107034
172,10,0,15,62,2,4,35,90,32,1,35,5,15,4,0,335,0.5242566510172144
