SEZIONE,Azzaretto Natale ,Boatti Giuseppe Riccardo ,Brenna Sergio Luigi,Campiotti Aquilele Quilino ,Cantù Maria Cristina,Capotosti Roberta,Cerno Tommaso ,D'Alfonso Franco Maria,Dovis Giovanni Mario ,Escobar Roberto Luigi ,Ferrara Salvatore ,Framba Francesco ,Laforgia Francesco ,Leccisi Gabriele Giuseppe ,Ligi Isabella ,Musciolà Filomena Patrizia,Oddenino Ruben ,Pagliuca Luigi ,Palmieri Antonio ,Perduca Marco ,Pessina Angela ,Pongiluppi Eleuteri Emanuela ,Previato Sonia ,Re Fraschini Mario Antonio,Riva Nadia ,Ruffini Luigino ,Santaniello Tiziana ,Sciascia Salvatore ,Tacchini Valerio Giovanni Mich,Zerkaoui Mounira ,TOTALE,AFFLUENZA
1,0.0,0.0,2.0,0.0,0.0,0.0,164.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,268.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,493.0,0.5848161328588375
2,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,146.0,0.0,0.0,255.0,0.45698924731182794
3,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,147.0,28.0,0.0,0.0,0.0,7.0,2.0,0.0,208.0,0.0,0.0,554.0,0.6094609460946094
4,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,119.0,21.0,0.0,0.0,0.0,4.0,9.0,0.0,168.0,0.0,0.0,514.0,0.6268292682926829
5,0.0,0.0,4.0,0.0,0.0,0.0,188.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,220.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,495.0,0.4600371747211896
6,0.0,0.0,0.0,8.0,189.0,1.0,0.0,181.0,0.0,0.0,8.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,149.0,0.0,0.0,0.0,593.0,0.6438653637350705
7,0.0,0.0,2.0,0.0,0.0,0.0,272.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,572.0,0.5818921668362157
8,0.0,0.0,0.0,2.0,167.0,0.0,0.0,194.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,85.0,0.0,0.0,0.0,489.0,0.6546184738955824
9,0.0,0.0,2.0,0.0,0.0,0.0,146.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,167.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,359.0,0.45558375634517767
10,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,69.0,inf
11,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,118.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,209.0,0.0,0.0,501.0,0.5635545556805399
12,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,1.0,392.0,0.56
13,0.0,0.0,5.0,0.0,0.0,0.0,262.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,233.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,566.0,0.5970464135021097
14,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,212.0,0.0,0.0,447.0,0.505656108597285
15,0.0,0.0,0.0,0.0,88.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,191.0,0.5079787234042553
16,0.0,0.0,3.0,0.0,0.0,0.0,228.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,214.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,528.0,0.5808580858085809
17,0.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,46.0,inf
18,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,186.0,38.0,0.0,0.0,0.0,4.0,1.0,0.0,204.0,0.0,0.0,545.0,0.6987179487179487
19,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,190.0,30.0,0.0,0.0,0.0,9.0,3.0,0.0,196.0,0.0,0.0,553.0,0.6552132701421801
20,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,174.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,174.0,0.0,0.0,520.0,0.6770833333333334
21,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0,0.5
22,0.0,0.0,2.0,0.0,0.0,0.0,232.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,191.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,473.0,0.5455594002306805
