SEZIONE,AN,Altern. Sociale,Comunisti It.,DC - Nuovo PSI,Forza Italia,Italia Valori,L'Ulivo,Lega Nord,M.S.Fiamma Tr.,No Euro,Pensionati,Rif. Comunista,Rosa nel pugno,UDC,UDEUR,Verdi,TOTALE,AFFLUENZA
1,67,3,5,3,312,12,118,38,2,0,1,18,32,50,5,7,673,0.8961384820239681
2,47,6,22,2,146,4,116,22,5,2,9,31,13,3,3,10,441,0.7101449275362319
3,89,6,26,1,186,24,279,45,5,2,18,79,19,41,1,29,850,0.8629441624365483
4,109,6,11,4,179,22,233,35,1,2,6,67,21,40,4,33,773,0.96625
5,82,4,8,1,267,13,163,29,0,3,4,17,39,52,5,8,695,0.8119158878504673
6,83,0,18,3,159,20,278,32,2,2,8,73,21,47,4,16,766,0.8794489092996556
7,93,3,6,2,322,8,148,25,1,0,4,13,47,66,2,7,747,0.9222222222222223
8,1,0,1,0,4,0,1,0,0,0,1,0,3,0,0,3,14,0.56
9,92,7,9,1,212,12,140,23,3,0,1,18,29,45,2,8,602,0.9121212121212121
10,5,0,1,0,20,3,6,1,0,0,1,4,1,4,0,2,48,0.7868852459016393
11,51,6,25,7,164,25,223,30,4,1,21,68,16,22,3,21,687,0.7878440366972477
12,55,5,16,3,164,17,199,25,7,1,14,47,15,21,2,15,606,0.8156123822341858
13,103,5,9,1,220,10,192,17,4,1,1,27,51,51,3,13,708,0.9030612244897959
14,95,3,8,0,113,11,106,18,1,2,2,22,14,18,1,16,430,0.9534368070953437
15,42,4,4,0,94,4,58,9,1,0,4,5,5,11,1,4,246,0.7987012987012987
16,108,3,6,4,248,9,182,28,2,1,3,30,45,29,2,5,705,0.8901515151515151
17,5,0,0,0,16,0,7,2,0,0,0,3,1,7,0,2,43,1.0
18,46,5,16,4,192,16,290,34,2,1,9,43,14,19,1,13,705,0.8901515151515151
19,72,3,16,6,173,19,221,42,1,1,7,44,14,50,7,13,689,0.8732572877059569
20,87,6,16,3,167,17,240,30,3,0,16,50,14,28,2,17,696,0.8581997533908755
21,5,1,0,0,11,4,27,1,0,0,0,5,1,2,0,5,62,1.0508474576271187
22,91,4,8,1,260,13,148,24,2,0,3,21,53,48,0,7,683,0.9433701657458563
23,126,10,18,4,245,24,262,49,3,0,5,65,32,40,2,20,905,0.9206510681586979
24,68,5,7,1,212,11,214,13,5,0,1,18,44,61,10,5,675,0.9414225941422594
25,69,6,12,3,189,24,210,58,4,2,18,38,16,27,4,16,696,0.8603213844252163
26,70,3,5,5,226,1,152,19,2,0,0,18,44,40,5,13,603,0.963258785942492
27,94,3,8,2,201,18,236,33,2,0,3,35,57,37,2,13,744,0.9219330855018587
28,90,3,13,4,165,7,180,21,3,0,1,30,42,34,2,14,609,0.8903508771929824
29,110,5,18,6,171,18,183,44,6,1,4,65,24,46,3,27,731,0.9183417085427136
30,107,2,17,4,187,15,164,39,4,3,9,47,13,36,1,20,668,0.8754914809960681
31,48,2,10,3,156,23,268,38,3,0,10,37,14,27,2,18,659,0.8648293963254593
33,52,7,9,5,165,19,166,31,1,1,11,41,14,24,1,12,559,0.766803840877915
36,86,2,5,2,201,15,218,30,2,0,1,30,64,46,3,16,721,0.9499341238471674
38,76,4,22,5,201,39,249,52,2,1,11,42,35,47,1,28,815,0.9576968272620446
39,128,6,15,2,221,15,205,30,4,0,2,40,43,46,1,16,774,1.0038910505836576
41,84,5,12,1,202,8,212,29,0,1,7,40,55,53,1,23,733,0.8917274939172749
42,80,1,8,3,183,16,172,31,1,0,10,41,27,48,1,15,637,0.8934081346423562
43,70,5,6,0,212,6,146,13,0,0,2,17,30,58,3,3,571,0.9299674267100977
44,77,4,10,2,213,12,192,13,4,1,2,32,40,43,3,16,664,0.9665211062590975
45,15,1,9,1,49,2,38,8,1,1,2,11,6,7,0,4,155,2.421875
46,101,6,12,5,264,15,185,30,1,0,4,20,39,83,0,9,774,0.9347826086956522
47,74,4,6,2,225,8,128,23,2,1,1,17,46,45,2,17,601,0.9361370716510904
48,105,2,3,1,244,7,152,15,3,1,1,24,26,42,2,5,633,0.9322533136966127
49,13,1,3,1,27,1,35,7,0,1,0,7,1,3,0,2,102,inf
50,13,0,0,1,23,4,27,4,0,0,3,5,2,4,0,1,87,inf
54,5,0,2,1,15,2,18,0,0,0,1,4,3,6,0,0,57,inf
55,85,8,6,0,224,14,212,37,4,2,4,29,23,35,1,30,714,0.9049429657794676
56,71,4,7,4,229,8,194,17,1,1,0,32,42,54,0,17,681,0.9354395604395604
57,111,8,11,2,240,5,216,21,2,0,10,29,31,51,1,23,761,0.9124700239808153
58,90,3,5,1,237,6,168,32,3,0,4,18,37,43,1,7,655,0.9225352112676056
59,95,4,17,3,178,18,236,45,3,1,15,54,26,32,2,26,755,0.9196102314250914
61,103,3,5,1,283,15,185,31,3,3,1,20,33,83,5,4,778,0.9015063731170336
64,68,7,16,1,144,33,180,24,3,2,11,64,21,21,2,25,622,0.8603042876901799
65,93,4,14,4,206,16,214,25,4,1,4,27,40,28,3,10,693,0.9364864864864865
66,50,9,17,3,121,22,216,29,7,5,17,67,7,32,2,23,627,0.8744769874476988
69,85,2,4,0,255,10,151,14,1,0,1,18,64,36,1,10,652,0.9222065063649222
72,66,0,15,5,162,17,178,38,2,0,16,42,14,30,3,20,608,0.8294679399727148
73,73,2,6,0,286,7,145,15,3,1,2,12,36,56,3,12,659,0.9178272980501393
74,88,2,15,0,160,21,199,30,3,1,11,42,18,22,3,18,633,0.8828451882845189
78,89,3,2,0,297,9,150,26,5,0,3,18,26,45,3,0,676,0.9098250336473755
79,79,1,3,1,278,6,110,17,3,0,3,7,21,53,1,12,595,0.9414556962025317
80,117,7,9,5,260,12,168,34,8,0,15,49,30,34,1,20,769,0.9242788461538461
82,88,1,0,2,297,6,104,17,1,0,3,11,45,45,1,4,625,0.9615384615384616
83,99,3,3,2,279,9,155,12,4,0,3,4,38,59,2,8,680,0.9631728045325779
84,68,4,15,0,169,20,262,18,4,1,12,69,20,18,0,21,701,0.9537414965986395
