SEZIONE,Bene comune,Destra F.T.,Difesa Vita,Italia Valori,Lega Nord,Lista del Grillo,Part. Comunista Lav.,Part. Democratico,Part. Socialista,Popolo Libertà,Sin. Arcobaleno,Sin. Critica,UDC Casini,Un. Consumatori,TOTALE,AFFLUENZA
1,1,17,13,30,90,2,0,116,4,349,9,1,26,0,658,0.8785046728971962
2,0,21,1,17,50,0,1,107,1,202,6,5,12,2,425,0.7071547420965059
3,2,22,2,48,86,6,3,242,6,231,44,4,18,1,715,0.7891832229580574
4,2,22,8,53,82,13,2,237,9,263,36,4,26,1,758,0.8991696322657177
5,0,13,5,21,73,1,1,191,2,262,14,2,22,0,607,0.75875
6,4,11,5,42,88,3,4,281,5,209,32,6,28,1,719,0.850887573964497
7,2,10,7,14,79,0,0,183,4,372,7,0,21,4,703,0.8809523809523809
8,3,10,5,29,72,2,1,182,7,213,22,0,14,1,561,0.825
9,1,7,9,24,64,1,0,153,7,217,8,1,23,3,518,0.8131868131868132
11,3,24,2,40,69,5,6,217,9,210,38,1,16,4,644,0.763938315539739
12,0,7,2,21,47,2,3,206,3,215,26,3,18,2,555,0.7894736842105263
13,2,15,4,19,67,1,1,216,7,268,16,3,24,1,644,0.8609625668449198
14,5,13,1,24,58,4,0,111,2,158,5,4,10,0,395,0.9228971962616822
15,0,6,1,12,28,0,1,55,4,104,4,0,6,0,221,0.7342192691029901
16,2,12,8,18,72,3,0,208,5,263,17,4,20,0,632,0.8359788359788359
18,3,9,0,29,95,2,0,288,10,204,32,3,12,0,687,0.8598247809762203
19,2,12,8,37,82,3,0,222,5,196,32,5,30,0,634,0.8005050505050505
20,2,21,2,39,90,2,6,242,7,195,25,4,19,2,656,0.8356687898089172
21,0,3,0,4,2,0,0,30,0,12,2,0,0,0,53,0.9137931034482759
22,0,15,18,13,66,6,1,177,1,286,6,0,15,0,604,0.8843338213762811
23,0,18,5,58,90,2,0,264,7,269,29,6,26,3,777,0.9338942307692307
24,1,13,11,24,57,3,4,226,10,232,9,2,74,2,668,0.9226519337016574
25,2,19,3,29,81,4,1,208,3,212,25,1,24,1,613,0.7981770833333334
26,0,13,11,14,69,0,1,197,5,242,12,0,30,0,594,1.0
27,1,14,7,26,89,0,1,262,10,246,21,0,16,2,695,0.8709273182957393
28,0,9,6,22,64,1,3,223,2,214,22,2,15,0,583,0.8873668188736682
29,4,14,5,40,95,4,3,227,5,256,15,1,33,1,703,0.8646986469864698
30,1,15,2,39,88,2,4,182,7,250,17,1,19,4,631,0.8561736770691994
31,3,11,1,33,64,6,1,271,2,192,30,4,18,0,636,0.8423841059602649
32,4,19,0,55,99,2,3,286,4,289,21,1,19,3,805,0.8865638766519823
33,0,9,0,26,61,2,0,180,4,198,16,3,10,0,509,0.7387518142235123
36,1,6,8,26,78,1,0,268,3,241,15,2,24,1,674,0.8998664886515354
38,2,15,6,53,100,1,6,295,1,245,24,5,17,2,772,0.9256594724220624
39,2,9,7,31,81,3,0,219,3,228,23,1,12,1,620,0.842391304347826
41,3,12,4,29,78,0,2,248,4,253,24,0,23,0,680,0.9176788124156545
42,2,10,6,26,65,1,3,221,5,233,15,4,24,3,618,0.8790896159317212
43,0,10,13,9,60,0,0,173,0,223,8,1,26,0,523,0.8955479452054794
44,1,12,8,23,55,3,0,199,3,272,19,0,21,3,619,0.9225037257824144
45,2,2,0,6,14,1,1,45,4,46,10,1,6,1,139,2.0144927536231885
46,0,8,12,21,100,2,1,218,4,301,9,2,34,1,713,0.89125
47,2,8,3,13,72,2,1,154,3,267,10,1,21,2,559,0.9178981937602627
48,1,15,2,13,86,2,0,156,2,272,8,3,22,2,584,0.8755622188905547
49,1,2,0,6,4,0,2,33,1,37,4,0,3,0,93,inf
50,0,2,0,3,16,2,1,29,0,39,4,0,5,0,101,inf
54,0,2,0,1,7,1,0,13,1,29,0,0,2,0,56,inf
55,5,12,7,36,86,3,4,229,3,255,17,2,18,0,677,0.8769430051813472
