SEZIONE,All. di Centro Pionati,Casini Unione di Centro,Di Pietro Italia dei Valori,Forza Nuova FN,Giovani Per L'expo,Io Amo Milano,La Destra Storace,La tua Milano De Albertis,Lega Nord,Lega Padana Lombardia,Lista Bonino Pannella,Milano Al Centro,Milano Civica per Pisapia,Milly Moratti,Movimento Beppe Grillo,Nuovo PSI,Nuovo Polo Palmeri Sind.,Pagliarini Federalismo,Partito Com. dei Lavoratori,Partito Democratico,Pensionati,Pensioni & Lavoro,Popolari Italia Domani,Popolo delle Libertà,Progetto Milano Migliore,Sinistra Ecologia Libertà,Sinistra Per Pisapia,Unione Italiana Librandi,Verdi Ecologisti,TOTALE,AFFLUENZA
1,1,8,6,0,7,4,2,1,51,1,12,20,12,6,10,0,25,3,0,74,1,1,0,189,6,5,4,1,0,450,0.535077288941736
2,2,5,15,0,2,4,2,1,30,4,5,3,14,1,9,2,3,0,1,98,6,5,2,97,0,6,13,2,2,334,0.4435590969455511
3,0,6,17,2,2,0,1,2,54,9,8,20,21,11,22,1,3,3,0,182,1,2,0,118,4,24,28,1,9,551,0.584305408271474
4,0,7,20,1,3,1,1,4,41,2,3,9,13,4,24,2,12,1,1,134,0,0,0,133,1,32,15,0,13,477,0.6178756476683938
5,1,8,7,0,0,3,1,1,28,0,8,22,29,10,5,0,18,1,0,98,0,2,0,161,1,13,10,7,5,439,0.4705251875669882
6,0,12,22,1,13,1,0,0,58,2,2,13,20,2,35,0,6,0,0,199,1,4,1,125,0,37,19,2,5,580,0.661345496009122
7,0,7,3,1,1,4,1,4,51,0,11,31,22,7,4,0,34,0,0,107,0,0,0,207,7,9,7,4,1,523,0.5581643543223053
8,0,8,13,2,1,1,0,2,38,0,15,11,12,7,12,0,15,1,0,119,0,2,0,142,2,31,5,0,1,440,0.6010928961748634
9,0,12,5,0,1,3,1,0,36,1,15,25,15,8,8,1,10,1,0,77,0,0,0,122,15,15,8,4,2,385,0.4661016949152542
11,0,7,28,3,1,0,0,2,47,2,8,16,13,12,23,12,22,2,1,147,0,2,0,125,4,20,24,5,12,538,0.5645330535152151
12,1,11,7,3,0,0,1,15,24,0,5,8,10,5,13,5,11,0,0,138,0,0,24,143,1,13,10,0,2,450,0.6338028169014085
