SEZIONE,Alternativa Municipale,"Beppe Sala Sindaco Noi, Milano",Fuxia People Maria Teresa Bald,Giorgia Meloni per Parisi,Io corro per Milano Lista Civ.,Italia dei Valori per B. Sala,Lega Nord Lega Lomb. Salvini,Milano Popolare Parisi Sindaco,Milano in Comune Rizzo Sindaco,Movimento 5 Stelle,Noi x Milano Mardegan Sindaco,Partito Comunista dei Lavorato,Partito Democratico Beppe Sala,Pensionati,Per Parisi Forza Italia Berl.,Radicali con Cappato Sindaco,Sinistra x Milano,TOTALE,AFFLUENZA
1,0,27,0,21,24,1,46,22,2,21,4,0,80,1,110,9,8,376,0.44761904761904764
2,0,14,0,5,7,1,37,6,2,28,4,1,46,6,60,3,1,221,0.37018425460636517
3,3,21,1,8,8,5,84,11,21,60,3,5,160,3,85,3,8,489,0.5344262295081967
4,3,19,0,12,10,3,72,26,13,104,6,0,111,1,65,4,12,461,0.5784190715181933
5,1,41,3,7,25,2,26,16,5,24,7,0,87,0,88,15,6,353,0.3235563703024748
6,0,28,1,12,2,4,83,14,21,77,4,1,161,1,81,3,13,506,0.5597345132743363
7,1,56,1,11,44,2,37,15,4,15,4,1,125,0,126,10,7,459,0.4857142857142857
8,0,34,1,13,7,1,33,7,14,38,9,1,115,3,77,7,29,389,0.5152317880794702
9,0,22,0,9,24,2,23,16,5,8,5,0,78,0,67,8,6,273,0.34556962025316457
10,0,5,0,0,1,0,3,1,0,1,2,0,11,0,11,0,0,35,inf
11,2,18,1,7,13,5,75,9,18,67,8,1,113,1,77,4,4,423,0.47262569832402235
12,1,21,1,8,3,4,39,28,9,47,2,4,75,2,87,3,3,337,0.4941348973607038
13,0,48,1,8,40,2,41,10,7,30,3,0,135,2,95,14,16,452,0.4844587352625938
14,1,15,0,6,3,3,52,21,7,56,5,0,61,2,82,9,13,336,0.44919786096256686
15,0,17,0,7,3,2,10,3,5,6,3,0,25,0,30,0,1,112,0.32463768115942027
16,1,45,2,11,26,2,52,13,5,20,1,0,113,2,76,15,15,399,0.4596774193548387
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,inf
18,3,24,2,6,4,3,52,11,24,53,5,3,158,2,76,3,31,460,0.5859872611464968
19,3,26,1,6,6,1,64,21,10,53,13,1,145,3,82,3,38,476,0.5567251461988304
20,2,14,1,8,6,8,66,0,4,75,7,4,121,1,70,8,25,420,0.5398457583547558
21,0,0,0,0,0,0,1,1,0,1,0,0,8,0,5,1,1,18,0.28125
22,0,36,1,7,41,1,18,26,10,18,6,0,116,1,93,17,9,400,0.4728132387706856
23,1,31,1,15,23,3,110,27,19,109,10,3,172,4,96,11,17,652,0.5669565217391305
24,0,48,0,10,26,14,21,15,6,16,9,1,165,1,93,12,9,446,0.5114678899082569
25,2,41,0,5,7,4,59,25,25,61,1,3,89,2,69,6,9,408,0.5513513513513514
26,0,38,1,10,25,5,20,11,16,12,4,1,128,0,86,5,15,377,0.494750656167979
27,2,49,0,14,27,0,34,11,8,20,19,1,120,1,90,12,25,433,0.47530186608122943
28,0,29,0,16,20,2,27,12,16,12,4,0,127,1,82,7,10,365,0.4715762273901809
29,2,9,3,13,23,2,90,12,11,100,19,1,119,3,105,13,9,534,0.5868131868131868
30,0,21,0,12,17,2,44,16,9,49,22,0,89,2,83,3,22,391,0.5305291723202171
31,0,20,0,4,4,1,40,9,6,4,10,0,131,2,46,2,29,308,0.40903054448871184
32,0,34,0,20,15,2,89,18,11,84,6,3,187,1,94,8,17,589,0.560952380952381
33,1,31,0,8,7,2,39,8,15,33,3,1,89,0,63,3,7,310,0.4217687074829932
34,0,1,0,0,1,0,2,0,0,2,0,0,3,2,9,0,0,20,inf
35,0,24,0,8,7,0,25,9,8,24,4,0,116,0,38,3,11,277,0.5236294896030246
36,0,81,1,13,42,4,30,8,16,11,3,3,124,1,69,12,24,442,0.48253275109170307
37,2,41,0,11,10,3,103,22,12,95,2,6,110,1,94,4,9,525,0.5885650224215246
38,0,37,0,4,11,6,72,20,20,49,3,1,173,6,98,11,17,528,0.59392575928009
39,2,53,0,14,19,3,25,16,12,35,4,2,132,0,88,8,14,427,0.46564885496183206
40,1,62,1,5,7,2,30,10,4,39,4,1,124,1,55,2,8,356,0.5297619047619048
41,1,57,1,7,22,2,24,13,13,19,0,0,103,0,77,14,8,361,0.4700520833333333
42,0,50,0,7,28,4,33,12,13,25,6,1,138,2,72,7,16,414,0.553475935828877
43,0,34,0,10,40,1,12,11,3,17,0,0,103,1,75,8,5,320,0.487062404870624
44,0,54,2,11,27,4,25,17,8,13,1,2,105,0,94,7,23,393,0.49558638083228246
45,1,3,0,1,1,0,7,1,3,4,0,0,11,0,11,1,0,44,0.9166666666666666
46,0,80,2,16,45,1,31,18,5,10,2,0,112,1,97,11,15,446,0.4816414686825054
47,0,57,1,5,38,2,18,11,8,10,1,1,98,0,68,11,15,344,0.4605087014725569
48,2,57,0,9,39,4,23,10,3,11,3,0,94,1,77,10,4,347,0.43429286608260326
49,0,0,0,2,1,0,5,0,0,3,0,0,8,0,6,0,0,25,inf
50,0,2,0,0,0,0,0,1,1,1,0,0,3,0,3,0,0,11,inf
54,0,2,0,0,0,0,2,0,0,1,0,0,8,0,2,0,1,16,inf
55,2,49,0,13,20,2,65,22,11,35,1,1,158,2,97,12,19,509,0.5526601520086862
56,3,46,1,11,28,0,31,8,7,15,4,1,111,3,88,17,12,386,0.3621013133208255
57,1,51,0,5,41,3,40,14,13,33,4,0,141,0,107,13,18,484,0.5238095238095238
58,0,36,0,18,47,3,25,9,8,9,1,0,101,0,77,9,7,350,0.4122497055359246
59,1,23,1,8,13,4,74,13,14,59,9,2,123,0,73,10,27,454,0.5437125748502994
61,3,55,1,20,28,4,58,12,5,21,4,1,149,2,159,12,16,550,0.538160469667319
64,6,18,1,12,4,3,34,9,13,42,0,1,83,2,64,4,5,301,0.4375
65,2,43,0,11,31,2,23,13,16,15,4,1,112,2,75,9,8,367,0.41990846681922195
66,0,16,2,12,8,4,45,2,18,70,4,1,117,3,65,2,4,373,0.5246132208157525
69,0,53,0,8,32,1,18,19,7,9,5,1,88,1,100,12,13,367,0.4213547646383467
72,4,17,2,3,7,1,55,7,8,55,17,2,121,4,49,4,17,373,0.5231416549789621
73,0,45,0,4,16,5,21,16,5,12,5,1,81,0,68,9,7,295,0.40355677154582764
74,1,8,0,6,7,3,38,4,6,39,2,1,98,3,78,4,46,344,0.5096296296296297
78,0,26,0,15,21,1,42,6,3,6,5,0,80,0,87,12,15,319,0.37485311398354876
79,0,28,1,12,20,3,29,12,5,8,3,0,56,1,98,9,3,288,0.4186046511627907
80,6,28,1,9,21,3,38,13,12,53,0,0,89,0,96,8,8,385,0.45081967213114754
82,4,60,0,15,28,1,21,7,1,10,3,0,86,0,102,8,7,353,0.42839805825242716
