SEZIONE,3V VERITA' LIBERTA',BEPPE SALA SINDACO,CIVICA AMBIENTA LISTA,EUROPA VERDE,FORZA ITALIA BERLUSCONI PER BE,FRATELLI D'ITALIA,GRANDE NORD,I RIFORMISTI LAVORIAMO PER MIL,LA MILANO RADICALE CON SALA,LA SINISTRA PER SALA MILANO UN,LEGA SALVINI PREMIER,LUCA BERNARDO SINDACO,MAURIZIO LUPI MILANO POPOLARE,MILANO IN COMUNE MARIANI SINDA,MILANO IN SALUTE BEPPE SALA SI,MILANO INIZIA QUI,MILANO LIBERALE,MILANO PARAGONE SINDACO,MOVIMENTO 5 STELLE 2050,PARTITO COMUNISTA,PARTITO COMUNISTA DEI LAVORATO,PARTITO DEMOCRATICO BEPPE SALA,PARTITO GAY,PARTITO LIBERALE EUROPEO PER M,PCI,POTERE AL POPOLO,SOCIALISTI DI MILANO,VOLT SALA SINDACO,TOTALE,AFFLUENZA
1,0,32,2,3,38,54,0,17,6,0,36,16,11,1,6,0,2,15,6,0,0,84,2,1,0,0,1,2,335,0.39504716981132076
2,0,0,0,1,8,16,1,5,1,0,32,5,0,1,0,0,1,7,1,0,0,40,1,0,1,0,0,0,121,0.24055666003976142
3,2,15,2,15,19,36,1,15,3,4,62,10,4,4,4,0,1,15,17,0,0,129,3,0,2,1,0,1,365,0.395021645021645
4,7,29,3,14,30,45,0,5,1,4,40,14,10,4,3,1,0,14,23,0,2,100,3,1,2,7,4,3,369,0.4451145958986731
5,0,30,1,5,30,34,1,8,4,3,22,11,7,0,6,0,0,4,4,0,0,82,0,3,0,0,1,2,258,0.3253467843631778
6,2,19,0,22,22,43,0,9,4,9,54,16,3,1,4,0,0,8,13,1,1,174,0,0,3,3,1,2,414,0.4574585635359116
7,0,53,0,18,48,39,1,30,10,2,29,23,12,0,5,0,2,4,4,0,0,131,3,1,0,1,8,2,426,0.40264650283553877
8,1,40,1,28,17,40,0,20,4,10,37,9,5,3,8,0,0,12,6,0,0,117,2,0,0,2,0,5,367,0.44004796163069543
9,3,38,1,14,31,25,1,7,5,2,26,8,13,1,7,0,1,5,5,0,0,76,0,1,0,1,0,1,272,0.34430379746835443
10,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,inf
11,1,13,0,18,22,47,1,9,4,9,56,10,4,1,2,0,1,12,20,0,1,110,6,1,2,0,3,1,354,0.4004524886877828
12,0,12,3,8,22,30,1,12,0,0,35,6,16,1,0,0,0,13,14,1,2,65,1,0,4,2,0,0,248,0.3578643578643579
13,0,47,0,24,50,36,1,28,2,3,21,13,11,0,7,0,2,4,9,0,0,144,0,0,0,2,5,1,410,0.4343220338983051
14,3,46,1,32,21,59,0,18,1,4,53,12,15,2,4,0,0,10,19,1,1,101,3,4,1,3,1,1,416,0.3920829406220547
15,0,24,0,9,13,13,0,2,0,0,9,5,5,0,1,0,0,2,1,0,0,32,0,0,0,0,2,1,119,0.31989247311827956
16,2,44,1,16,27,40,0,24,8,2,30,14,10,1,6,0,4,7,8,1,0,140,2,4,1,1,4,3,400,0.41109969167523125
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,inf
18,0,23,1,12,15,42,2,8,2,7,61,9,6,2,3,0,1,8,17,0,1,142,0,0,1,1,2,1,367,0.47724317295188556
19,0,51,4,18,18,46,0,21,1,3,57,9,15,7,5,0,2,14,16,0,1,112,0,0,0,3,2,0,405,0.49511002444987773
20,3,45,5,16,24,37,0,21,1,3,27,9,4,4,2,0,0,12,22,0,1,85,3,0,1,0,2,0,327,0.4308300395256917
21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,7,0.12962962962962962
22,0,50,0,13,27,29,0,26,4,8,27,16,3,2,8,0,1,1,2,0,0,121,2,1,1,0,1,1,344,0.38264738598442716
23,5,53,12,15,35,58,1,11,4,9,68,6,5,2,3,1,1,19,21,0,0,155,3,0,2,4,1,1,495,0.4604651162790698
24,0,34,1,11,34,31,0,26,13,2,37,17,4,1,8,0,1,6,4,0,0,183,0,1,0,1,5,9,429,0.47039473684210525
25,0,27,1,15,15,42,1,12,2,1,48,11,4,2,6,0,0,5,21,0,0,83,5,2,1,0,1,2,307,0.33225108225108224
26,3,23,4,15,29,33,0,26,1,1,19,11,5,0,5,0,1,4,2,1,0,126,3,0,0,3,0,2,317,0.3987421383647799
27,0,34,4,19,25,49,0,25,11,3,27,12,6,0,15,2,1,4,3,0,0,168,0,1,1,2,6,2,420,0.43795620437956206
28,0,32,2,14,20,36,0,20,7,1,22,15,2,1,10,0,2,2,3,2,0,121,2,3,1,3,1,0,322,0.4117647058823529
29,3,28,1,26,51,53,4,20,1,2,61,11,6,3,12,4,0,18,16,2,0,115,4,1,4,1,4,6,457,0.48981779206859594
30,0,26,2,17,21,32,0,7,6,5,47,14,5,3,5,1,0,11,11,2,0,98,2,1,1,1,0,2,320,0.4444444444444444
31,4,37,1,20,12,37,0,10,2,5,34,5,6,7,2,0,0,16,11,0,1,140,1,0,2,1,0,2,356,0.4930747922437673
32,8,74,12,28,36,53,0,13,3,10,65,12,15,7,5,0,1,12,22,0,1,177,3,0,1,2,2,5,567,0.5245143385753932
33,0,16,0,16,11,25,0,8,1,7,29,11,7,6,2,1,3,8,16,2,1,99,3,1,2,1,0,1,277,0.35927367055771725
34,0,1,0,1,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,18,inf
35,1,36,0,14,20,40,2,13,5,10,30,8,12,1,2,0,0,11,9,0,0,170,2,0,2,1,1,1,391,0.4936868686868687
36,0,59,2,27,27,26,0,29,8,4,31,19,6,4,0,0,0,1,2,0,0,152,1,1,0,2,5,1,407,0.42528735632183906
37,3,32,4,13,63,79,0,12,1,1,43,14,5,5,4,1,0,24,16,0,3,120,2,0,2,2,0,5,454,0.470954356846473
38,1,60,2,27,50,37,1,15,3,6,51,21,25,5,6,1,0,17,13,2,1,162,1,0,0,1,2,0,510,0.5351521511017838
39,2,45,2,25,23,47,0,27,6,6,26,19,9,7,8,1,0,3,4,0,0,132,3,1,1,0,0,3,400,0.40816326530612246
40,1,60,3,22,34,49,0,14,1,3,30,6,13,1,3,0,1,9,11,0,2,150,4,0,1,1,0,1,420,0.46511627906976744
41,2,42,3,17,19,32,0,26,10,10,9,6,6,4,12,0,2,7,3,0,0,127,1,1,1,2,2,2,346,0.4250614250614251
42,4,40,0,19,22,42,0,20,3,5,19,10,8,4,21,0,1,15,9,0,3,114,1,0,2,1,2,2,367,0.4766233766233766
43,1,31,1,13,33,20,0,21,2,1,20,15,4,0,9,0,4,5,4,0,0,82,1,6,0,0,0,2,275,0.40620384047267355
44,1,43,1,24,42,32,0,37,5,3,29,16,5,3,12,0,1,4,2,0,0,120,1,0,1,0,4,1,387,0.4479166666666667
45,1,1,0,2,2,4,0,1,0,0,4,0,1,0,0,0,0,1,0,1,0,9,0,0,0,0,1,0,28,0.6363636363636364
46,3,52,0,19,41,37,0,30,6,2,28,14,7,1,10,0,3,9,1,2,0,139,3,0,0,1,5,3,416,0.4306418219461698
47,1,45,0,11,26,23,0,25,7,1,24,19,4,4,4,0,1,5,3,1,0,114,0,0,0,1,2,0,321,0.3987577639751553
