SEZIONE,UDC,SCCM,FLI,RIVCIV,FN,CENDEM,PD,SEL,PLI,AGL,FRIT,PDL,GSUD,LEGAN,LDES,MIR,FPFD,M5ST,TOTALE_ISCRITTI,TOTALE,AFFLUENZA
1,10,28,1,51,0,0,166,36,5,3,9,112,12,0,2,3,5,150,967,593,0.6132368148914168
2,10,34,1,23,2,3,86,11,0,2,5,89,1,1,1,0,1,148,662,418,0.6314199395770392
3,5,21,2,19,1,2,50,3,0,5,7,137,15,0,0,2,2,191,917,462,0.5038167938931297
4,8,32,4,31,0,2,124,12,1,5,4,186,15,0,6,2,1,259,1066,692,0.649155722326454
5,10,31,3,20,2,0,87,23,0,7,8,71,1,0,1,3,1,116,697,384,0.5509325681492109
6,15,22,3,24,0,1,89,13,1,7,8,176,10,0,2,4,3,183,1044,561,0.5373563218390804
7,10,19,2,26,0,1,68,5,2,3,1,136,15,0,0,1,2,181,889,472,0.530933633295838
8,7,27,0,30,0,0,79,14,1,3,6,159,9,0,3,2,1,154,949,495,0.5216016859852476
9,20,53,1,40,0,0,84,12,3,2,10,179,9,2,0,3,3,266,1091,687,0.6296975252062328
10,6,14,0,6,0,0,19,0,0,4,1,165,9,0,1,0,1,101,937,327,0.3489861259338314
11,15,18,3,22,1,1,77,8,2,2,10,239,13,1,6,3,1,283,1203,705,0.5860349127182045
12,7,35,1,22,0,1,57,8,4,2,2,127,19,0,1,1,1,88,1083,376,0.3471837488457987
13,4,34,3,34,0,2,127,35,4,4,24,118,13,0,1,5,0,183,1165,591,0.5072961373390558
14,12,27,2,27,1,2,94,10,6,2,8,192,4,1,1,1,6,227,1103,623,0.5648232094288305
15,13,10,11,28,0,0,69,6,2,6,1,139,16,0,1,2,0,165,904,469,0.5188053097345132
16,7,14,4,16,1,0,60,2,1,11,1,148,14,0,0,2,1,118,895,400,0.44692737430167595
17,8,30,1,30,1,1,146,12,1,5,1,89,9,0,8,1,0,155,789,498,0.6311787072243346
18,13,42,3,37,1,4,153,19,0,3,4,85,7,0,3,1,0,193,851,568,0.6674500587544065
19,11,38,4,22,0,2,128,10,0,0,2,106,10,0,2,0,0,167,703,502,0.7140825035561877
20,2,45,2,39,0,0,185,30,1,2,7,104,2,0,5,0,3,189,834,616,0.7386091127098321
21,2,61,6,54,0,2,202,26,1,2,11,117,10,0,5,0,2,191,972,692,0.7119341563786008
22,15,81,3,33,2,4,183,21,1,3,9,145,6,1,3,1,2,169,937,682,0.727854855923159
23,11,24,1,33,0,6,95,7,1,3,17,160,7,1,3,3,2,185,926,559,0.603671706263499
24,12,37,2,26,3,5,112,6,2,1,2,143,9,3,0,1,2,251,905,617,0.6817679558011049
25,8,39,3,28,5,1,127,10,5,2,12,176,11,1,7,2,6,232,968,675,0.6973140495867769
26,14,44,1,28,0,2,138,12,0,2,6,80,1,1,2,2,2,167,709,502,0.7080394922425952
27,7,66,5,27,0,3,131,18,1,4,7,137,5,0,3,2,2,202,935,620,0.6631016042780749
28,4,19,0,13,1,6,92,11,0,2,3,168,6,0,1,1,0,183,886,510,0.5756207674943566
29,5,21,2,37,0,0,102,17,0,13,22,129,12,0,2,0,4,144,1101,510,0.46321525885558584
30,8,24,4,42,2,4,136,11,2,2,3,146,10,0,3,1,2,214,960,614,0.6395833333333333
31,7,20,6,24,0,1,94,5,2,3,3,144,4,1,2,1,0,140,943,457,0.48462354188759277
32,10,43,4,19,1,2,169,21,0,0,2,136,6,0,5,8,4,270,1024,700,0.68359375
