SEZIONE,+EUROPA,CASAPOUND ITALIA,CIVICA POPOLARE LORENZIN,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IL POPOLO DELLA FAMIGLIA,ITALIA AGLI ITALIANI,ITALIA EUROPA INSIEME,LEGA,LIBERI E UGUALI,LISTA DEL POPOLO PER LA COSTITUZIONE,MOVIMENTO 5 STELLE,NOI CON L'ITALIA - UDC,PARTITO COMUNISTA,PARTITO DEMOCRATICO,POTERE AL POPOLO!,TOTALE,AFFLUENZA
1,42,0,2,70,14,0,3,5,18,45,3,181,4,4,82,23,496,0.5204616998950682
2,10,0,0,74,9,2,1,3,15,15,1,212,5,1,54,7,409,0.6178247734138973
3,2,0,1,128,10,2,3,1,21,9,0,252,2,1,29,0,461,0.522083805209513
4,6,0,1,167,17,6,3,1,35,15,0,361,6,0,56,1,675,0.598404255319149
5,18,0,0,63,19,4,0,0,12,23,0,139,8,4,50,21,361,0.5098870056497176
6,10,0,2,166,4,8,1,5,25,20,0,267,10,3,34,2,557,0.554228855721393
7,2,0,0,111,8,8,0,0,19,16,0,308,5,0,29,0,506,0.5802752293577982
8,9,0,0,143,19,4,2,0,17,14,1,218,5,0,54,2,488,0.5197018104366348
9,16,3,1,134,21,15,3,2,22,14,1,347,9,0,60,6,654,0.6424361493123772
10,3,1,0,159,2,2,3,0,15,1,0,119,6,0,12,0,323,0.3533916849015317
11,3,7,0,187,10,6,4,1,38,16,0,289,16,0,23,1,601,0.6326315789473684
12,4,1,2,119,7,7,1,5,25,15,0,138,7,1,58,11,401,0.38409961685823757
13,32,0,0,116,17,4,0,2,30,28,2,231,5,3,98,16,584,0.510936132983377
14,4,0,1,97,11,4,1,1,32,4,0,174,7,0,31,2,369,0.467680608365019
15,1,0,1,117,5,4,2,3,22,13,2,258,6,1,27,2,464,0.540162980209546
16,4,1,0,170,12,5,1,1,27,8,1,172,13,1,34,1,451,0.4956043956043956
17,7,2,0,56,9,6,1,0,19,43,2,217,9,2,67,2,442,0.5637755102040817
18,22,3,1,67,20,8,2,2,22,36,1,201,16,2,111,5,519,0.6208133971291866
19,6,1,0,80,13,4,2,0,31,20,2,216,10,0,60,1,446,0.6143250688705234
20,24,0,7,77,26,2,3,3,22,48,2,224,3,0,118,5,564,0.7094339622641509
21,24,2,6,67,30,1,2,2,31,41,0,284,7,3,113,11,624,0.6406570841889117
22,18,4,4,116,22,4,2,4,35,38,2,188,23,1,117,7,585,0.6521739130434783
23,7,2,0,106,23,6,2,1,27,17,0,341,12,3,44,2,593,0.6516483516483517
24,3,1,1,89,9,8,2,1,30,21,0,289,7,2,50,2,515,0.6109134045077106
25,12,5,0,127,20,8,4,0,59,24,0,369,20,3,111,9,771,0.6314496314496314
26,14,2,0,67,21,3,3,3,19,31,0,223,6,0,86,10,488,0.6412614980289093
27,10,3,0,117,22,4,1,7,25,29,0,231,11,3,95,1,559,0.6190476190476191
28,4,0,3,117,7,10,3,1,14,10,4,236,3,0,41,1,454,0.5430622009569378
29,16,3,0,162,18,8,4,1,31,23,0,187,2,2,63,14,534,0.4725663716814159
30,9,3,0,111,16,6,2,3,19,36,1,263,5,1,59,3,537,0.5894621295279913
31,1,1,1,130,7,10,1,0,14,7,0,219,6,0,26,1,424,0.4603691639522258
32,17,1,2,101,18,6,3,0,37,42,0,342,10,0,92,6,677,0.6743027888446215
33,16,1,1,78,21,16,1,4,24,39,4,258,7,1,87,19,577,0.6041884816753926
34,8,4,2,64,16,5,0,2,31,42,0,279,26,5,96,8,588,0.6349892008639308
35,11,3,0,193,18,5,3,0,34,31,0,321,8,1,71,4,703,0.617208077260755
36,29,2,0,83,7,4,1,3,19,46,1,194,9,1,74,17,490,0.49796747967479676
37,22,2,1,97,10,1,1,2,16,31,0,185,14,2,62,22,468,0.5171270718232044
38,20,1,1,95,12,4,0,1,29,19,0,246,5,3,58,3,497,0.6479791395045632
39,13,1,1,120,16,11,2,2,21,29,2,257,6,1,82,9,573,0.6154672395273899
40,4,7,2,160,16,2,0,1,33,14,0,345,8,4,62,5,663,0.6138888888888889
41,19,1,0,93,11,2,3,0,24,23,0,145,6,4,56,20,407,0.5138888888888888
42,7,0,0,95,25,5,2,1,30,14,2,209,21,2,75,3,491,0.6486129458388376
43,26,2,1,66,8,3,2,2,17,22,2,150,6,2,72,22,403,0.514030612244898
44,19,1,2,59,22,6,1,4,20,42,8,193,16,4,99,7,503,0.5924617196702002
45,3,1,2,101,11,9,2,3,16,9,0,183,3,0,33,0,376,0.5115646258503401
46,12,3,2,148,12,8,2,2,33,23,0,243,10,0,66,10,574,0.6093418259023354
47,1,3,0,161,8,2,3,0,28,5,0,219,4,2,41,0,477,0.5389830508474577
48,7,2,0,116,13,18,1,2,27,12,1,376,5,1,54,4,639,0.6351888667992047
49,4,0,2,137,12,1,0,0,25,14,3,243,14,0,27,1,483,0.5904645476772616
50,13,4,1,90,13,4,0,2,31,18,1,270,4,0,52,3,506,0.557883131201764
51,6,1,0,149,6,4,0,1,21,7,0,292,3,0,35,1,526,0.5502092050209205
52,12,4,2,80,23,7,3,1,23,17,0,233,18,0,98,4,525,0.6620428751576293
53,2,1,1,99,11,6,2,0,18,11,0,151,10,0,32,2,346,0.41686746987951806
54,2,1,1,93,10,3,1,2,27,12,1,253,10,0,43,0,459,0.530635838150289
55,3,0,0,144,4,3,0,1,21,6,0,206,2,0,25,1,416,0.5252525252525253
56,8,2,1,94,12,4,1,0,26,18,0,290,10,3,86,7,562,0.6504629629629629
57,24,2,0,124,12,7,2,3,18,47,0,154,3,1,75,16,488,0.4380610412926391
58,5,0,1,116,18,5,3,0,22,23,3,262,4,0,60,6,528,0.5349544072948328
59,3,4,0,131,13,6,4,0,42,20,0,240,10,1,63,4,541,0.5560123329907503
60,30,1,0,91,39,5,1,1,18,44,1,138,13,2,131,14,529,0.66125
61,11,2,1,129,27,3,0,0,16,30,1,290,8,4,100,2,624,0.5914691943127962
62,26,4,3,60,14,3,3,1,30,46,1,195,21,2,131,11,551,0.6156424581005586
63,11,0,0,31,4,0,0,1,2,3,1,52,1,1,21,3,131,0.4440677966101695
64,8,1,0,115,13,2,2,2,25,24,0,269,14,1,78,8,562,0.6619552414605419
65,22,3,2,102,20,11,3,3,33,39,1,208,10,3,100,10,570,0.6492027334851936
66,18,4,1,129,22,6,5,3,42,31,2,347,10,0,104,6,730,0.6353350739773717
67,7,0,0,40,6,2,0,0,3,5,0,40,4,0,15,6,128,0.43986254295532645
68,32,2,7,89,42,7,2,5,33,56,0,229,21,3,122,17,667,0.6710261569416499
69,4,1,1,135,10,6,0,1,46,19,2,264,16,0,31,3,539,0.5310344827586206
70,7,0,2,71,11,4,2,4,18,22,1,262,10,7,72,5,498,0.6360153256704981
71,1,2,0,180,5,13,3,0,26,8,0,250,5,1,21,2,517,0.5232793522267206
72,14,1,0,107,5,4,4,0,8,10,0,101,5,1,29,8,297,0.4153846153846154
73,0,3,0,133,5,4,0,0,15,6,1,191,2,0,23,0,383,0.474009900990099
74,0,1,3,133,12,10,1,0,24,4,0,312,17,2,21,0,540,0.531496062992126
75,0,0,0,156,5,5,0,3,22,5,0,136,7,0,16,1,356,0.42839951865222625
76,20,0,0,101,5,2,4,0,17,21,0,149,3,1,49,17,389,0.47555012224938875
77,7,2,2,87,14,5,1,2,17,19,1,187,5,1,57,7,414,0.6581875993640699
78,5,1,0,136,9,10,0,0,13,15,0,241,4,0,47,5,486,0.5612009237875288
79,8,0,1,126,17,5,1,0,36,18,0,292,7,1,73,5,590,0.5689488910318226
