SEZIONE,+EUROPA,ALLEANZA VERDI E SINISTRA,AZIONE - ITALIA VIVA - CALENDA,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,SUD CHIAMA NORD,UNIONE POPOLARE CON DE MAGISTRIS,TOTALE,AFFLUENZA
1,35,44,25,25,41,2,10,8,11,168,3,151,19,12,554,0.5316698656429942
2,11,11,24,33,48,4,5,8,20,121,1,26,22,8,342,0.534375
3,4,4,8,48,46,3,5,1,15,159,0,24,33,3,353,0.4152941176470588
4,8,2,23,51,89,0,8,7,15,171,1,52,39,1,467,0.452081316553727
5,13,29,29,22,65,2,1,6,13,113,3,80,11,8,395,0.535230352303523
6,10,8,11,34,67,3,4,8,17,156,0,24,26,3,371,0.4631710362047441
7,3,9,6,32,46,4,0,2,11,208,0,27,33,1,382,0.4405997693194925
8,7,6,31,45,67,2,4,2,14,129,0,39,31,5,382,0.4174863387978142
9,17,8,24,81,30,2,9,7,47,178,4,61,17,2,487,0.48265609514370666
10,1,2,1,45,20,4,0,2,11,214,0,8,11,1,320,0.37037037037037035
11,13,3,9,37,104,3,15,5,21,190,3,24,24,3,454,0.4989010989010989
12,6,14,12,53,33,10,3,4,7,205,0,47,12,7,413,0.4159113796576032
13,20,37,35,37,60,2,9,7,23,178,2,103,22,9,544,0.49454545454545457
14,6,3,16,32,47,1,5,4,9,130,0,32,25,0,310,0.3959131545338442
15,6,7,6,48,69,0,7,8,28,211,4,33,27,4,458,0.4810924369747899
16,4,3,5,39,49,0,9,5,14,193,0,21,13,1,356,0.4188235294117647
17,14,11,28,23,72,3,4,0,9,165,3,83,18,1,434,0.5431789737171464
18,28,20,39,38,63,3,6,2,10,133,11,117,22,8,500,0.6265664160401002
19,3,7,16,36,77,4,2,3,17,117,1,48,43,1,375,0.5630630630630631
