SEZIONE,Movimento democratico siciliano - Noi Siciliani,Allenza siciliana,Italia dei Valori - Lista Di Pietro,I Socialisti,Popolari UDEUR,Democratici di Sinistra,La Rosa nel pugno,Codacons,Rifondazione Comunista,Democrazia e Libertà - La Margherita,Psdi,Repubblicani europei,Insieme con l'Unione,Pensionati,Patto cristiano esteso,PLI,Movimento sociale - Fiamma Tricolore,UDC,Lega Nord,Alternativa Soc. - Alessandra Mussolini,Patto per la Sicilia,Partito Repubblicano italiano,Nuova Sicilia,Riformatori Liberali,Allenza Nazionale,Pensionati uniti,Forza Italia,ambient-lista,TOTALE
1,5,2,70,0,4,80,11,0,52,49,0,0,40,1,1,1,1,45,5,3,3,1,5,1,51,4,163,0,598
2,3,0,65,2,10,48,15,0,32,59,0,0,18,10,7,1,1,39,4,6,4,2,4,0,52,2,156,1,541
3,2,2,59,2,2,15,10,3,22,28,2,0,8,3,9,1,3,53,11,4,2,0,4,0,54,1,215,2,517
4,8,0,49,2,5,63,7,1,49,78,1,1,33,2,12,0,5,70,10,1,8,0,10,0,72,3,202,1,693
5,6,0,35,2,3,56,2,1,33,34,0,0,17,2,1,1,1,40,3,2,5,3,1,0,37,1,121,1,408
6,4,0,56,8,14,28,4,3,37,51,1,0,21,5,9,0,0,45,7,3,19,4,5,2,61,2,195,2,586
7,1,1,79,2,13,34,11,0,26,38,0,1,23,1,5,1,4,41,10,5,8,0,11,0,39,4,163,0,521
8,1,1,54,0,4,21,6,2,22,33,0,0,13,5,4,1,1,47,11,2,5,4,2,1,38,1,170,0,449
9,3,2,41,1,7,46,7,3,40,52,2,0,19,6,7,0,1,71,32,2,6,3,12,2,66,1,216,2,650
10,1,1,61,1,18,7,1,0,4,18,0,0,5,1,9,1,1,17,12,0,6,1,4,0,23,3,190,1,386
11,0,1,69,3,1,36,5,2,35,58,4,0,14,4,8,3,2,64,4,4,12,1,5,0,55,3,236,1,630
12,7,2,70,0,7,25,2,0,21,29,0,2,17,9,2,2,1,38,10,2,6,2,9,0,20,2,212,2,499
13,0,0,63,1,4,61,13,1,42,45,0,0,31,4,5,1,1,34,8,4,14,5,5,1,48,2,152,0,545
14,3,0,79,6,4,60,9,2,32,37,3,3,21,6,3,0,2,56,8,8,17,0,12,1,57,4,205,2,640
15,0,1,37,2,9,26,3,4,23,36,0,0,25,4,13,0,3,40,9,1,8,0,6,1,52,4,187,1,495
16,3,1,43,4,2,27,4,1,12,24,2,0,11,8,9,0,1,51,13,2,5,5,7,0,32,2,157,3,429
17,0,0,58,5,7,76,8,0,47,78,0,0,39,7,6,0,0,72,10,4,2,3,5,0,81,2,129,2,641
18,8,1,70,4,17,87,20,3,39,70,1,2,36,6,2,0,1,61,8,6,8,0,5,1,75,1,145,2,679
19,4,1,62,1,6,60,6,2,41,61,2,1,20,3,6,1,2,59,7,2,12,1,4,0,70,2,124,0,560
20,7,0,62,3,9,102,11,5,52,78,2,0,37,5,5,0,4,44,4,10,16,3,6,3,87,0,125,0,680
21,4,0,50,2,7,75,23,2,54,91,0,0,28,4,2,1,3,59,8,3,11,0,8,4,101,1,142,2,685
22,8,0,48,2,17,69,24,1,25,68,0,0,25,2,0,0,2,90,8,1,12,2,7,3,88,0,166,0,668
23,2,3,52,12,3,33,12,0,29,75,1,0,20,5,2,3,1,58,16,3,10,0,3,0,63,1,192,2,601
24,1,2,66,5,4,50,12,3,43,66,1,2,13,3,6,0,5,53,3,6,15,2,12,0,49,9,141,2,574
25,0,0,46,1,15,57,15,1,40,58,1,0,32,5,3,1,1,98,16,2,14,0,2,0,134,3,178,3,726
27,3,2,46,3,12,58,12,1,41,71,0,0,12,4,4,0,1,49,14,2,6,1,3,1,85,1,157,1,590
28,1,0,61,2,4,44,16,0,33,38,0,2,19,6,7,0,1,40,7,2,5,2,2,0,39,2,167,2,502
29,1,0,92,6,2,64,15,4,42,40,0,0,16,1,3,1,4,71,14,1,2,0,5,2,25,2,163,0,576
30,4,2,51,4,9,40,5,2,31,42,0,0,22,9,3,2,3,39,13,6,12,0,2,1,45,5,124,3,479
31,1,1,47,6,10,28,6,4,19,48,1,0,12,6,8,0,2,33,13,3,3,1,4,3,26,2,150,1,438
32,9,0,62,2,7,54,17,3,19,27,0,0,23,3,3,1,0,39,15,4,7,0,5,0,58,3,160,0,521
33,5,0,65,7,9,69,9,4,60,77,1,0,38,6,2,1,1,60,6,5,11,0,5,0,96,6,169,0,712
34,4,2,53,3,17,88,16,1,40,75,1,1,25,4,1,0,1,68,9,3,3,1,4,2,94,2,149,2,669
35,4,0,35,1,4,53,12,1,24,52,0,0,30,3,4,1,4,78,8,4,2,1,9,0,88,2,223,3,646
36,5,2,53,0,7,57,9,0,46,40,1,0,34,6,5,0,3,33,6,4,11,0,8,0,33,1,133,2,499
37,2,2,52,3,0,48,15,2,32,33,0,0,15,6,1,0,1,39,10,2,6,0,2,1,40,2,158,0,472
38,2,0,34,0,7,34,13,3,35,57,0,0,25,7,5,4,4,55,19,4,8,1,15,1,65,2,147,2,549
39,2,0,59,1,13,103,18,3,47,77,1,0,21,10,3,0,0,47,10,2,4,0,3,2,50,2,171,1,650
40,3,1,42,2,5,45,7,4,51,57,1,2,20,6,7,0,1,53,22,8,3,4,20,1,68,4,233,0,670
41,3,0,43,3,1,51,10,5,55,20,0,0,18,2,0,2,1,47,4,3,6,0,1,0,44,2,119,0,440
42,8,2,51,4,12,62,7,1,33,55,1,0,23,10,4,0,1,56,14,7,6,2,5,0,92,2,180,2,640
43,2,0,45,1,0,54,13,1,50,26,0,1,33,1,0,2,1,27,7,3,1,1,4,1,35,2,102,0,413
44,1,0,48,1,14,88,19,2,48,90,0,0,30,4,5,2,3,69,7,4,9,0,5,3,75,2,138,3,670
45,1,0,35,0,6,34,3,1,18,43,1,2,11,4,8,0,1,59,4,3,1,0,5,0,41,2,162,2,447
46,5,1,40,2,4,60,22,3,39,48,0,0,27,4,11,2,1,75,11,6,6,0,4,4,93,2,207,2,679
47,8,0,86,0,1,38,8,0,17,50,1,1,11,5,7,0,1,29,15,1,3,1,12,0,53,3,216,2,569
48,6,4,77,1,9,55,10,3,61,61,0,0,21,5,12,0,2,62,5,1,5,1,4,0,70,0,192,3,670
49,6,1,38,2,3,28,8,2,19,26,0,0,9,7,9,0,1,37,11,5,4,0,3,1,28,1,182,2,433
50,11,0,44,1,10,47,8,2,25,54,1,3,22,6,10,2,1,52,7,2,10,2,9,0,52,3,211,0,595
51,5,0,44,1,4,29,4,2,11,53,3,0,13,3,11,0,0,47,10,5,10,0,1,2,39,1,187,0,485
52,3,0,36,0,17,68,6,4,44,79,0,0,24,2,7,0,1,77,4,5,6,0,4,0,87,1,155,1,631
53,2,1,74,1,2,19,13,3,22,26,1,1,13,6,15,2,0,45,6,8,5,0,6,0,41,3,182,0,497
54,4,0,83,2,3,58,7,2,33,54,0,0,20,5,1,0,5,52,17,5,19,2,4,0,43,0,250,4,673
55,5,0,37,2,15,25,8,2,16,42,1,2,10,2,14,1,0,34,6,3,8,1,13,2,41,1,170,1,462
56,2,0,3,4,16,68,4,3,47,55,1,1,30,8,2,0,2,64,4,0,9,1,7,0,44,1,208,2,586
57,2,0,58,0,4,38,4,0,43,20,2,0,18,2,0,4,2,49,6,2,2,2,1,1,64,6,128,0,458
58,3,0,54,2,4,57,8,2,37,34,2,2,28,6,6,0,0,36,6,3,5,1,6,0,57,2,178,3,542
59,3,2,83,6,1,42,8,2,27,77,0,0,15,4,3,2,2,45,12,5,11,0,7,0,51,3,205,1,617
60,3,0,43,0,7,82,18,3,43,58,2,1,48,2,3,1,4,49,11,1,5,0,1,1,101,2,151,1,641
61,7,0,45,1,11,47,7,3,28,78,0,0,16,8,1,0,1,50,2,0,2,0,5,1,71,1,156,1,542
62,3,0,49,1,19,98,16,4,51,72,1,2,45,4,6,1,3,73,9,1,6,0,3,3,80,4,143,0,697
63,1,0,10,0,1,23,2,0,12,5,0,1,2,0,0,0,1,9,4,0,4,0,0,0,17,1,36,1,130
64,6,1,53,0,6,44,17,3,34,49,1,0,25,7,5,0,2,78,8,0,9,5,12,1,65,2,180,2,615
65,2,1,55,1,14,92,5,3,41,66,1,0,22,1,4,2,1,64,4,1,7,0,2,2,72,0,148,1,612
66,2,2,48,4,6,65,15,0,52,53,0,0,23,4,14,0,2,73,6,5,11,1,7,1,90,3,222,4,713
67,0,0,14,0,1,12,3,0,17,10,0,1,11,3,5,1,0,17,2,1,4,0,0,1,4,0,66,0,173
68,3,0,51,5,4,124,7,1,52,82,1,0,38,2,5,5,2,61,10,2,16,0,2,2,97,1,137,3,713
69,1,1,78,4,11,38,9,1,31,68,0,1,10,7,24,1,2,33,9,8,11,1,6,1,62,6,221,4,649
70,2,1,43,5,8,80,11,1,62,72,1,1,35,10,7,0,3,58,3,1,6,0,1,2,51,3,143,1,611
71,0,1,35,0,7,20,8,1,18,27,2,2,11,10,15,4,1,32,16,4,4,0,2,1,57,2,209,3,492
72,2,0,25,1,1,13,3,0,18,14,1,1,4,3,3,1,1,24,5,1,4,0,3,0,29,0,102,1,260
73,1,0,62,1,4,35,4,0,28,29,2,0,7,3,11,0,1,41,3,3,5,2,7,0,27,2,183,3,464
74,2,0,45,1,3,38,1,3,15,40,0,1,17,7,15,1,2,80,31,3,27,1,13,1,41,1,216,1,606
75,1,0,46,0,2,19,4,3,11,21,1,0,19,6,11,1,0,27,10,2,10,0,7,0,24,2,188,0,415
76,2,1,51,1,2,41,8,0,34,18,0,0,19,3,2,1,1,27,7,1,1,0,3,1,32,1,139,0,396
77,4,0,47,2,16,74,8,6,35,56,1,1,26,3,6,1,4,53,6,2,10,0,5,0,95,6,187,1,655
78,1,0,63,2,4,50,8,1,50,45,1,2,19,8,17,0,2,49,6,1,12,0,17,1,54,2,163,0,578
79,4,2,65,0,9,47,13,3,51,37,0,1,20,4,8,0,2,44,12,1,8,1,3,1,80,0,161,1,578
80,6,1,57,4,12,54,14,4,49,57,0,0,17,8,9,1,3,75,6,0,16,0,8,1,50,7,151,1,611
81,3,0,56,5,2,74,14,1,49,71,3,2,33,3,8,0,4,66,6,3,5,1,2,4,94,0,187,0,696
82,3,1,36,6,7,18,4,1,18,39,0,0,8,5,4,0,1,67,6,2,13,3,5,0,24,1,201,3,476
83,1,0,46,3,4,36,17,0,29,46,2,1,26,3,13,1,2,84,20,2,7,3,8,1,82,4,228,1,670
84,3,1,57,4,8,38,3,4,28,28,0,1,23,3,6,0,4,52,5,0,2,0,6,5,78,2,157,1,519
85,0,0,62,2,4,26,11,0,43,24,1,1,18,3,2,1,3,31,5,1,3,2,1,2,23,0,129,0,398
86,9,1,74,0,5,54,4,2,29,64,2,1,16,5,4,1,0,66,13,4,9,1,7,1,71,4,201,2,650
87,3,0,54,4,6,78,20,4,40,60,0,1,40,2,6,3,1,59,6,1,14,0,6,0,74,2,141,0,625
88,4,2,69,1,10,4,9,1,32,48,0,0,21,7,3,0,1,85,10,0,0,2,5,1,82,0,141,0,538
89,0,0,48,1,9,44,11,2,17,22,0,2,10,7,7,2,2,41,4,1,6,1,3,0,22,3,124,1,390
90,1,2,56,1,2,55,8,4,41,54,1,6,23,4,0,0,2,61,11,2,5,0,17,1,74,4,181,2,618
91,3,1,45,1,10,36,19,4,28,35,1,0,34,4,9,0,1,85,5,3,7,0,6,1,73,1,256,1,669
92,1,4,44,0,11,74,15,1,42,65,0,0,41,2,3,0,3,50,1,4,9,0,5,1,85,3,149,1,614
93,0,0,72,2,2,60,12,1,27,59,1,2,18,10,7,0,2,55,6,5,6,0,4,0,61,3,105,0,520
