SEZIONE,IL LOTO,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO,ASSOCIAZIONE PER LA DIFESA DELLA VITA,UNIONE DEMOCRATICA PER I CONSUMATORI,PARTITO LIBERALE ITALIANO,PARTITO COMUNISTA DEI LAVORATORI,PER IL BENE COMUNE,FORZA NUOVA,IL POPOLO DELLA LIBERTA',MOVIMENTO PER L'AUTONOMIA - ALLEATI PER IL SUD,PARTITO DEMOCRATICO,ITALIA DEI VALORI - LISTA DI PIETRO,LA DESTRA - FIAMMA TRICOLORE,SINISTRA CRITICA,PARTITO SOCIALISTA - BOSELLI,LA SINISTRA L'ARCOBALENO,TOTALE,AFFLUENZA
1,1,18,0,0,0,0,0,4,252,0,208,39,23,0,1,18,564,0.8392857142857143
2,0,11,4,1,2,5,0,4,256,0,219,31,43,3,2,37,618,0.7046750285062714
3,0,27,3,1,0,8,0,5,246,1,224,41,34,7,8,44,649,0.6867724867724868
4,1,22,6,0,1,0,0,2,231,0,153,13,18,2,5,17,471,0.7417322834645669
5,0,19,7,1,0,1,4,2,234,1,193,23,30,0,6,28,549,0.7290836653386454
6,1,19,4,1,2,2,0,2,186,0,231,30,18,4,6,41,547,0.7235449735449735
7,0,19,4,2,0,1,3,1,185,0,266,43,22,11,3,39,599,0.7669654289372599
8,0,12,2,6,1,2,1,5,233,1,171,21,28,3,2,34,522,0.48467966573816157
9,0,18,3,3,0,3,4,4,275,3,256,32,17,6,4,35,663,0.7399553571428571
10,0,20,6,1,1,0,3,2,240,3,225,44,30,2,7,21,605,0.7142857142857143
11,0,36,7,2,1,3,1,4,237,0,308,26,15,7,9,32,688,0.7397849462365591
12,0,38,8,1,1,0,0,4,186,1,250,32,12,6,8,23,570,0.7242693773824651
13,0,37,5,3,0,3,0,3,241,6,297,41,30,3,5,68,742,0.7434869739478958
14,0,51,3,2,2,1,3,1,305,3,368,38,23,6,9,37,852,0.7925581395348837
15,0,23,3,1,3,2,1,3,284,5,344,38,15,2,3,28,755,0.7497517378351539
16,0,47,6,1,0,3,1,1,294,0,252,31,10,7,5,36,694,0.7289915966386554
17,0,44,9,2,0,1,2,7,273,0,315,53,20,2,7,41,776,0.7526673132880698
18,0,34,4,0,0,0,0,3,289,6,144,19,14,1,6,6,526,0.748221906116643
19,0,24,8,1,0,2,0,2,270,3,146,32,12,0,4,6,510,0.6891891891891891
20,0,23,5,1,1,2,2,4,328,2,252,25,23,1,8,14,691,0.7273684210526316
21,2,25,12,2,2,0,3,1,275,0,333,38,16,7,2,15,733,0.7487231869254342
22,1,25,8,1,5,1,2,4,326,1,342,40,24,4,7,27,818,0.7137870855148342
23,0,22,1,1,2,4,1,4,315,1,230,27,13,2,6,26,655,0.488441461595824
24,1,37,3,0,1,5,2,8,368,1,227,36,23,5,7,30,754,0.5597624350408315
25,1,32,2,3,0,3,4,5,237,1,306,59,34,3,4,20,714,0.5238444607483492
26,1,27,3,1,2,0,0,5,206,0,152,28,16,5,5,10,461,0.6739766081871345
27,0,19,7,1,1,1,0,1,207,1,200,18,15,3,2,10,486,0.6992805755395683
