SEZIONE,LIBERALI PER L'ITALIA - PLI,FARE PER FERMARE IL DECLINO,STAMINALI D'ITALIA,MODERATI ITALIANI IN RIVOLUZIONE - ROSA TRICOLORE,INTESA POPOLARE,LA DESTRA,IL POPOLO DELLA LIBERTA',LEGA NORD,GRANDE SUD - MPA,FRATELLI D'ITALIA CENTRODESTRA NAZIONALE,MOVIMENTO PROGETTO ITALIA - MID,MOVIMENTO 5 STELLE,SCELTA CIVICA CON MONTI PER L'ITALIA,FUTURO E LIBERTA' PER L'ITALIA,UNIONE DEI DEMOCRATICI CRISTIANI E DEMOCRATICI DI CENTRO (UDC),SINISTRA ECOLOGIA LIBERTA',PARTITO DEMOCRATICO,CENTRO DEMOCRATICO,PARTITO COMUNISTA DEI LAVORATORI,FORZA NUOVA,AMNISTIA GIUSTIZIA E LIBERTA',CASAPOUND ITALIA,RIVOLUZIONE CIVILE INGROIA,MOVIMENTO SOCIALE FIAMMA TRICOLORE,UNIONE POPOLARE,TOTALE,TOTALE_ISCRITTI,AFFLUENZA
1,1,9,0,2,0,6,129,0,0,15,2,234,56,2,3,28,172,2,2,0,1,6,13,3,1,687,853,0.8053927315357562
2,1,1,0,1,0,12,102,0,1,16,2,103,39,2,8,31,158,2,1,0,1,21,23,3,0,528,756,0.6984126984126984
3,2,6,0,0,0,19,116,1,0,13,0,127,26,3,8,55,168,2,1,0,2,7,26,2,0,584,838,0.6968973747016707
4,0,5,0,0,1,5,119,1,0,19,0,73,42,2,6,19,116,0,0,1,2,1,6,2,0,420,576,0.7291666666666666
5,1,9,0,0,0,12,91,1,0,18,1,100,42,3,4,51,129,1,0,4,8,3,16,2,0,496,683,0.726207906295754
6,1,7,0,0,0,5,95,1,0,17,0,95,62,2,8,60,174,0,2,1,3,1,24,0,0,558,742,0.7520215633423181
7,0,3,0,0,0,10,70,1,0,17,0,107,47,2,5,76,199,3,1,2,2,1,20,0,0,566,733,0.772169167803547
8,2,3,0,0,0,5,85,4,0,10,0,93,15,2,6,27,107,1,1,1,4,4,16,0,0,386,918,0.420479302832244
9,1,5,0,0,0,10,124,0,0,19,0,119,36,2,8,63,143,1,1,4,2,6,16,1,0,561,780,0.7192307692307692
10,0,8,0,0,0,13,124,0,0,11,1,116,45,1,5,51,149,0,0,2,2,2,17,1,0,548,751,0.729693741677763
11,0,13,0,0,1,10,97,0,1,21,0,123,68,2,10,48,212,2,0,0,7,2,13,1,1,632,865,0.730635838150289
12,1,8,0,0,0,8,85,0,0,15,1,114,53,3,12,43,144,2,0,0,6,4,24,0,0,523,720,0.7263888888888889
13,1,5,0,2,1,8,102,1,0,21,0,170,51,6,12,63,204,2,3,2,5,4,38,4,0,705,917,0.7688113413304253
14,1,13,0,0,1,7,141,1,1,22,0,128,112,3,18,65,228,0,1,0,4,2,29,0,0,777,982,0.7912423625254582
15,2,8,0,1,0,12,112,0,0,23,0,151,58,1,8,67,238,3,2,1,1,3,21,2,0,714,922,0.7744034707158352
