VITA,MOVIMENTO 5 STELLE,UNIONE POPOLARE DE MAGISTRIS,ALTERNATIVA PER L'ITALIA NO GREEN PASS,ITALIA SOVRANA E POPOLARE,PARTITO DELLA FOLLIA CREATIVA,PARTITO DEMOCRATICO,IMPEGNO CIVICO DI MAIO,ALLEANZA VERDI E SINISTRA,+ EUROPA CON EMMA BONINO,LISTA PARAGONE ITALEXIT,AZIONE ITALIA VIVA,NOI MODERATI,LEGA SALVINI PREMIER,FRATELLI D'ITALIA,FORZA ITALIA,TOTALE,SEZIONE,AFFLUENZA
2,52,12,3.0,6,0.0,86,0,11,18,10,28,2,11,98,14,353,2,0.6149825783972126
0,61,21,0.0,11,1.0,93,1,34,15,6,38,0,20,97,13,411,3,0.5684647302904564
4,23,11,0.0,6,0.0,64,0,19,21,4,30,0,11,86,16,295,4,0.6120331950207469
0,43,16,2.0,1,1.0,99,2,44,28,12,56,1,16,120,16,457,5,0.6575539568345323
1,38,13,0.0,9,0.0,117,3,30,26,9,51,1,7,103,13,421,6,0.618208516886931
0,59,14,1.0,7,0.0,161,1,64,28,6,45,2,6,92,14,500,7,0.6934812760055479
0,30,7,0.0,5,0.0,52,1,23,7,4,8,1,12,54,5,209,8,0.4613686534216336
2,55,13,0.0,5,1.0,128,0,51,22,11,36,1,9,101,16,451,9,0.6229281767955801
1,39,22,1.0,8,0.0,118,2,41,26,11,34,0,15,95,9,422,10,0.5952045133991537
0,51,21,0.0,13,1.0,171,0,48,35,6,56,9,13,104,19,547,11,0.6820448877805486
0,38,14,0.0,3,0.0,109,5,32,26,4,44,6,12,86,10,389,12,0.6078125
3,54,38,1.0,17,0.0,135,3,72,34,10,48,6,16,87,14,538,13,0.6336866902237926
0,0,0,0.0,0,0.0,192,0,64,37,0,0,1,15,150,15,474,14,0.49375
2,60,16,1.0,3,0.0,181,0,39,36,8,72,4,9,105,28,564,15,0.6852976913730255
3,38,10,0.0,2,0.0,151,1,27,23,8,44,2,17,98,21,445,16,0.6197771587743732
1,62,14,3.0,10,0.0,168,2,33,36,6,71,5,19,125,22,577,17,0.6869047619047619
1,21,3,1.0,2,0.0,80,2,14,18,2,82,5,12,83,30,356,18,0.6544117647058824
2,11,7,0.0,2,0.0,66,0,10,12,2,49,2,12,91,19,285,19,0.5876288659793815
