SEZIONE,TOTALE_ISCRITTI,ITALIA VAL,FED.VERDI,UDEUR,P.PENSION.,SOCIALISTI,ROSA NEL PUGNO,COMUN.ITAL,L'ULIVO,P.RIF.COM.,D.C. N.PSI,A.S. MUSS.,AN FINI,ECOL.DEMOC,LEGA NORD,NO EURO,FORZA ITALIA,M.S. FIAMMA,U.D.C.,TOTALE,AFFLUENZA
1,966,15,28,4,4,1,64,23,277,73,2,4,74,2,30,0,142,1,41,785,0.8126293995859213
2,631,8,15,3,2,0,42,14,151,51,3,4,63,2,15,2,101,2,18,496,0.786053882725832
3,890,25,19,5,9,1,48,35,251,47,2,2,136,1,15,1,171,10,39,817,0.9179775280898876
4,970,15,19,2,5,3,47,23,228,37,3,1,144,2,24,1,224,4,61,843,0.8690721649484536
5,844,15,20,2,8,1,27,32,254,62,3,2,93,3,19,4,123,2,20,690,0.8175355450236966
6,624,19,8,4,8,0,33,14,139,36,5,9,87,0,10,2,120,4,36,534,0.8557692307692307
7,822,18,13,1,3,1,35,14,245,57,4,0,80,1,17,1,148,1,67,706,0.8588807785888077
8,206,0,2,1,0,0,8,5,34,19,0,1,34,0,2,0,27,0,18,151,0.7330097087378641
9,995,18,12,2,3,2,56,20,246,54,7,13,169,1,25,0,241,5,86,960,0.964824120603015
10,912,11,16,2,3,1,44,16,263,61,1,4,92,1,27,0,166,4,56,768,0.8421052631578947
11,684,8,14,3,4,2,45,24,175,31,2,5,76,1,17,0,113,5,31,556,0.8128654970760234
12,893,10,15,3,5,1,35,16,182,41,3,2,87,3,16,3,197,3,59,681,0.7625979843225084
13,760,12,7,8,3,1,32,8,171,20,3,3,124,0,20,0,174,0,46,632,0.8315789473684211
14,868,11,16,2,2,2,49,6,199,24,3,4,100,3,17,0,218,3,70,729,0.8398617511520737
15,751,18,22,2,3,0,39,14,169,43,5,7,86,2,18,2,140,4,42,616,0.8202396804260985
16,870,19,17,3,3,0,38,22,174,40,2,3,105,2,20,0,211,3,51,713,0.8195402298850575
17,757,16,17,6,5,1,23,27,206,37,1,2,69,1,19,1,132,2,31,596,0.7873183619550859
18,847,12,11,6,3,0,40,23,256,40,3,3,96,1,10,2,152,1,58,717,0.846517119244392
19,650,12,9,8,4,0,22,7,122,39,0,5,63,0,13,0,136,4,48,492,0.7569230769230769
20,836,26,24,3,3,0,45,33,216,61,0,6,96,3,16,1,138,11,42,724,0.8660287081339713
21,688,16,11,2,5,0,30,8,170,36,4,6,113,2,9,2,81,2,25,522,0.7587209302325582
22,820,20,20,4,3,1,39,14,224,47,5,3,115,2,30,4,170,5,47,753,0.9182926829268293
23,776,20,19,3,7,0,27,15,207,57,4,3,107,4,23,2,147,2,28,675,0.8698453608247423
