SEZIONE,TOTALE_ISCRITTI,ROSA NEL PUGNO,MARGHERITA,SOCIALISTI,INSIEME PER L'UNIONE,UDEUR,D.S.,P.R.C.,ITALIA VALORI,PENSIONATI,A.N.,U.D.C.,NO EURO,M.S.FIAMMA,FORZA ITALIA,A.S.MUSSOLINI,ECOLOGISTI DEMOCR.,LEGA NORD,TOTALE,AFFLUENZA
1,908,63,89,1,52,5,153,77,21,6,70,31,0,1,141,2,2,32,746,0.8215859030837004
2,587,38,40,3,30,3,82,60,6,2,44,20,1,2,111,5,2,10,459,0.7819420783645656
3,840,46,71,1,46,3,123,67,30,10,103,33,1,9,156,2,2,9,712,0.8476190476190476
4,925,47,49,4,35,6,133,55,17,4,126,52,1,2,219,1,4,22,777,0.84
5,797,23,72,1,36,2,148,80,18,7,64,20,4,1,120,5,1,16,618,0.7754077791718946
6,576,27,45,1,16,2,77,37,21,9,75,27,2,4,113,2,0,9,467,0.8107638888888888
7,780,35,91,2,30,4,113,63,24,5,77,67,3,1,138,2,0,17,672,0.8615384615384616
8,189,7,16,0,6,0,15,16,0,0,37,16,0,0,26,0,1,2,142,0.7513227513227513
9,948,47,74,1,19,2,159,55,20,5,136,74,0,2,220,5,0,23,842,0.8881856540084389
10,857,37,60,1,28,3,171,60,19,4,77,52,0,3,172,8,2,26,723,0.8436406067677946
11,634,45,48,4,21,1,112,39,12,4,73,26,2,3,104,4,3,20,521,0.8217665615141956
12,822,30,41,0,30,2,106,54,16,6,74,56,3,3,194,2,3,15,635,0.7725060827250608
13,722,28,44,0,20,4,108,20,12,2,116,50,0,1,170,4,0,21,600,0.8310249307479224
14,826,40,73,0,24,1,109,28,14,4,104,57,1,0,206,4,7,18,690,0.8353510895883777
15,713,40,54,0,26,3,99,49,19,6,85,38,3,3,140,4,3,11,583,0.8176718092566619
16,829,32,55,0,33,2,103,48,20,6,107,46,0,4,202,2,1,17,678,0.8178528347406514
17,721,31,60,1,31,7,98,59,26,8,62,31,1,2,131,2,2,15,567,0.7864077669902912
18,796,44,71,0,22,4,163,41,13,4,96,53,3,2,141,2,1,11,671,0.842964824120603
19,593,21,40,0,13,6,67,48,14,4,56,48,1,4,125,7,0,11,465,0.7841483979763912
20,790,46,52,0,46,1,140,74,18,6,95,42,1,9,132,3,2,15,682,0.8632911392405064
21,637,28,59,0,15,2,90,35,22,6,104,13,0,5,77,4,2,10,472,0.7409733124018838
22,780,33,58,0,38,5,141,48,24,3,96,50,2,5,159,3,1,30,696,0.8923076923076924
23,746,24,49,1,37,3,128,71,21,7,96,27,2,4,144,1,4,18,637,0.853887399463807
24,708,29,52,1,21,2,125,61,14,2,90,61,2,5,119,0,3,16,603,0.8516949152542372
25,906,40,72,0,43,1,192,77,27,10,82,22,1,3,150,4,3,16,743,0.8200883002207505
26,655,31,51,1,35,5,131,50,14,4,63,20,0,2,102,0,1,9,519,0.7923664122137405
27,723,31,47,3,38,1,132,59,14,0,73,38,1,2,136,10,3,15,603,0.8340248962655602
28,812,26,66,0,45,2,149,81,30,7,78,31,3,1,124,1,0,17,661,0.8140394088669951
29,738,25,77,1,24,3,127,40,21,4,82,47,2,2,157,4,3,13,632,0.8563685636856369
30,682,33,50,2,33,0,140,42,22,3,70,47,3,1,144,4,2,10,606,0.8885630498533724
31,717,34,60,1,19,4,157,46,13,6,63,33,6,4,127,2,0,11,586,0.8172942817294282
32,716,35,73,0,33,5,131,52,15,2,67,38,2,5,117,0,2,16,593,0.8282122905027933
33,720,51,55,0,46,0,127,50,22,7,63,27,2,2,91,4,4,14,565,0.7847222222222222
34,778,33,51,0,31,2,136,57,25,4,67,36,0,2,163,3,1,18,629,0.8084832904884319
35,284,11,13,0,7,3,20,16,3,0,77,22,2,1,73,3,4,10,265,0.9330985915492958
36,811,28,66,1,19,1,139,40,21,5,108,60,0,2,186,4,1,21,702,0.8655980271270037
37,703,32,63,0,14,2,85,31,17,8,90,62,0,6,185,3,4,18,620,0.8819345661450925
38,742,27,56,0,15,4,113,28,24,1,113,55,1,2,180,6,1,16,642,0.8652291105121294
39,692,39,73,1,16,4,117,26,11,4,107,44,3,1,169,4,2,21,642,0.9277456647398844
40,592,28,53,0,17,3,91,20,12,4,76,50,1,0,145,1,1,5,507,0.856418918918919
41,677,41,44,1,30,2,103,47,17,9,63,26,0,4,123,4,1,19,534,0.7887740029542097
42,639,25,42,0,20,3,108,38,13,10,80,44,1,0,148,4,1,12,549,0.8591549295774648
43,723,22,70,0,25,3,133,49,16,4,73,34,0,2,140,4,0,14,589,0.8146611341632088
44,804,31,69,1,17,3,147,61,21,3,108,58,0,4,151,2,1,18,695,0.8644278606965174
45,662,30,67,1,24,3,110,38,25,7,74,37,0,1,108,2,2,13,542,0.8187311178247734
46,660,16,61,1,22,1,100,40,23,6,91,32,0,4,123,3,3,8,534,0.8090909090909091
47,724,32,65,4,32,5,141,52,22,8,83,24,0,2,137,2,1,11,621,0.8577348066298343
48,679,33,62,0,27,0,95,33,18,10,72,44,2,0,145,3,1,20,565,0.8321060382916053
49,803,29,73,0,24,7,116,27,11,0,134,76,0,6,192,3,2,14,714,0.8891656288916563
50,725,29,65,1,12,4,69,10,3,4,100,66,2,4,240,2,0,15,626,0.863448275862069
51,801,17,63,1,6,5,72,10,7,4,109,75,1,6,299,3,0,19,697,0.8701622971285893
52,818,36,52,0,18,4,92,14,17,2,123,80,0,1,262,2,6,14,723,0.8838630806845966
53,724,29,58,0,14,5,111,15,12,5,98,63,0,2,165,1,0,33,611,0.8439226519337016
54,799,23,72,0,26,2,127,44,20,8,91,55,3,2,154,2,1,27,657,0.8222778473091364
55,851,28,72,2,25,4,164,52,22,7,100,42,3,4,140,3,0,23,691,0.8119858989424207
56,657,31,53,0,20,3,79,33,12,5,97,51,0,0,130,5,5,14,538,0.8188736681887366
57,782,26,70,0,32,0,92,26,13,3,80,49,0,2,167,7,5,20,592,0.7570332480818415
58,765,33,85,0,30,3,112,38,26,6,78,60,3,3,154,4,1,18,654,0.8549019607843137
59,781,23,81,0,37,1,129,56,16,3,104,51,0,4,135,10,1,11,662,0.8476312419974392
60,870,29,86,5,32,2,144,50,24,5,113,60,0,2,154,2,2,42,752,0.864367816091954
61,751,25,66,0,31,4,129,61,25,4,85,36,1,4,128,1,0,22,622,0.8282290279627164
62,748,15,85,1,18,6,119,47,26,6,97,32,0,5,134,3,3,13,610,0.8155080213903744
63,736,25,95,0,16,3,99,33,16,4,107,58,0,1,165,9,2,18,651,0.8845108695652174
64,752,20,61,2,37,2,136,33,22,8,79,66,2,6,138,4,0,23,639,0.8497340425531915
65,827,23,75,3,16,1,87,28,17,6,138,94,0,1,209,0,2,24,724,0.875453446191052
66,774,18,89,1,27,2,124,49,16,5,96,39,0,6,146,2,4,18,642,0.8294573643410853
67,762,29,67,2,31,4,116,33,29,12,86,46,2,1,136,3,3,16,616,0.8083989501312336
68,674,34,63,1,20,1,80,19,9,2,102,54,0,2,195,2,2,12,598,0.887240356083086
69,715,21,68,2,18,6,80,18,8,0,95,79,0,3,214,0,2,8,622,0.8699300699300699
70,742,39,56,1,13,3,82,39,21,2,119,59,2,3,178,2,1,22,642,0.8652291105121294
71,717,29,69,1,23,2,115,32,17,5,112,58,0,0,136,1,0,16,616,0.8591352859135286
72,718,25,55,3,31,3,124,47,20,3,77,45,1,3,118,1,3,22,581,0.8091922005571031
73,609,27,55,0,23,5,106,33,16,2,73,38,4,6,131,3,1,15,538,0.8834154351395731
74,698,23,53,0,26,1,79,20,7,2,122,50,0,3,193,6,4,14,603,0.8638968481375359
75,422,9,26,0,8,5,63,16,14,3,50,29,1,4,108,2,1,14,353,0.8364928909952607
76,697,22,58,1,20,5,89,38,19,10,86,40,2,1,125,2,1,26,545,0.7819225251076041
77,672,11,46,3,24,4,116,47,11,7,60,33,4,4,121,2,3,16,512,0.7619047619047619
78,656,10,75,3,21,3,86,56,16,13,40,30,3,1,87,4,2,18,468,0.7134146341463414
79,679,32,69,1,23,0,115,31,12,7,87,47,2,3,120,3,2,19,573,0.8438880706921944
80,595,13,42,0,22,5,85,20,15,0,90,56,0,0,143,2,1,14,508,0.853781512605042
81,653,20,56,2,27,3,101,32,19,8,87,45,0,0,130,2,1,14,547,0.8376722817764165
82,1441,23,29,0,14,0,48,49,14,5,47,10,3,2,117,5,0,17,383,0.26578764746703676
83,666,27,82,1,21,3,145,29,20,7,107,34,0,3,93,3,0,28,603,0.9054054054054054
84,592,17,51,0,18,7,100,36,13,8,77,24,1,3,111,3,2,20,491,0.8293918918918919
85,683,17,67,1,31,5,102,45,22,10,77,32,1,3,124,8,4,15,564,0.8257686676427526
86,685,18,80,1,28,5,117,36,21,4,80,34,0,2,140,0,4,30,600,0.8759124087591241
87,943,18,101,2,45,3,140,75,33,12,126,47,4,1,149,2,0,31,789,0.8366914103923648
88,881,17,83,1,39,5,128,50,16,16,107,40,0,6,150,2,5,23,688,0.7809307604994324
89,808,29,81,1,46,7,132,53,21,10,81,39,3,2,105,5,3,23,641,0.7933168316831684
90,681,9,72,2,35,7,108,47,29,7,72,32,2,3,88,5,2,16,536,0.7870778267254038
91,615,18,79,0,33,2,107,41,14,5,56,50,2,1,87,3,1,8,507,0.824390243902439
92,708,17,64,0,22,4,111,48,25,11,73,40,1,4,135,4,3,32,594,0.8389830508474576
93,662,17,74,0,21,6,98,51,22,14,40,14,4,4,115,3,3,16,502,0.7583081570996979
94,821,26,97,1,33,5,112,65,23,5,119,34,2,2,128,0,1,23,676,0.8233861144945189
95,783,8,82,0,32,8,137,30,33,13,94,46,0,5,156,5,2,21,672,0.8582375478927203
96,854,36,103,1,27,9,121,42,37,12,97,32,1,2,173,3,3,27,726,0.8501170960187353
97,780,25,67,1,25,1,126,57,19,7,118,48,1,2,149,5,1,16,668,0.8564102564102564
98,716,12,99,2,29,4,132,46,30,9,69,38,1,1,125,2,2,22,623,0.8701117318435754
99,778,17,79,2,31,5,116,46,21,5,104,26,0,2,151,4,3,17,629,0.8084832904884319
100,816,18,90,0,37,2,131,70,28,7,85,26,2,4,150,1,0,17,668,0.8186274509803921
101,812,15,101,3,42,3,124,63,24,11,75,41,2,5,120,2,3,16,650,0.8004926108374384
102,755,19,87,4,38,3,97,61,36,10,63,30,1,4,134,1,2,22,612,0.8105960264900662
103,749,15,78,3,30,6,106,62,30,8,78,24,6,2,122,3,2,20,595,0.794392523364486
