SEZIONE,TOTALE_ISCRITTI,"1 - PARTITO DEMOCRATICO,VELTRON","2 - ITALIA DEI VALORI,DI PIETRO","3 - PARTITO SOCIALISTA,BOSELLI","4 - UNIONE DI CENTRO,CASINI PRE","5 - LEGA NORD,BOSSI","6 - IL POPOLO DELLE LIBERTÁ,BER","7 - SINISTRA CRITICA,ECOLOGISTA",8 - PARTITO COMUNISTA DEI LAVORAT,9 - PARTITO LIBERALE ITALIANO,10 - LA DESTRA FIAMMA TRICOLORE -,11 - PER IL BENE COMUNE,12 - LA SINISTRA L'ARCOBALENO,13 - UNIONE DEMOCRATICA PER I CONS,"14 - P.P.A.,LIBERTÁ E PARTECIPAZ",TOTALE,AFFLUENZA
1,916,331,33,2,28,43,200,4,4,8,16,3,41,2,0,715,0.7805676855895196
2,554,158,23,1,12,27,137,3,3,2,12,1,23,0,0,402,0.7256317689530686
3,808,248,34,1,16,21,234,9,4,4,27,0,43,4,0,645,0.7982673267326733
4,939,247,37,3,37,42,315,2,2,7,11,4,31,0,0,738,0.7859424920127795
5,801,226,27,5,24,28,157,5,3,1,12,5,46,0,1,540,0.6741573033707865
6,575,154,21,2,22,32,193,4,1,1,14,1,23,1,0,469,0.8156521739130435
7,776,231,32,7,68,33,171,7,4,6,14,1,32,2,1,609,0.7847938144329897
8,174,32,3,1,11,8,48,0,0,0,3,0,9,0,0,115,0.6609195402298851
9,900,231,28,3,35,49,309,3,2,1,10,2,25,3,0,701,0.7788888888888889
10,849,296,38,3,25,47,235,2,5,2,14,1,21,0,0,689,0.8115429917550059
11,624,182,25,5,17,30,158,3,1,3,15,0,18,2,0,459,0.7355769230769231
12,830,187,25,5,32,31,271,2,3,3,11,3,24,1,0,598,0.7204819277108434
13,701,163,23,8,23,49,255,0,0,4,12,1,13,0,0,551,0.7860199714693296
14,807,210,29,6,28,50,277,2,2,7,14,1,11,1,1,639,0.79182156133829
15,703,204,34,3,18,44,189,2,0,2,17,2,18,3,0,536,0.7624466571834992
16,824,205,29,2,22,48,286,2,3,1,10,1,21,1,0,631,0.7657766990291263
17,748,203,33,2,22,29,176,3,2,2,10,0,22,2,0,506,0.6764705882352942
18,758,254,32,3,28,27,227,3,2,2,7,0,19,0,0,604,0.7968337730870713
