SEZIONE,TOTALE_ISCRITTI,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,RIVOLUZIONE CIVILE INGROIA,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,PENSIONATI,IL POPOLO DELLA LIBERTA',LEGA NORD,LA DESTRA STORACE,FARE PER FERMARE IL DECLINO,CASAPOUND ITALIA,FIAMMA TRICOLORE,MOVIMENTO 5 STELLE BEPPEGRILLO,FINI - FUTURO E LIBERTA',SCELTA CIVICA CON MONTI,CASINI - LIBERTAS - UDC,FN - FORZA NUOVA,TOTALE,AFFLUENZA
1,918,62,0,228,28,0,12,3,72,23,2,20,1,1,172,5,86,4,1,720,0.7843137254901961
2,610,42,2,107,14,2,10,5,75,8,1,15,1,0,110,2,43,1,2,440,0.7213114754098361
3,811,52,5,185,29,0,21,6,95,12,3,24,3,2,143,3,68,5,0,656,0.8088779284833539
4,988,58,1,163,21,0,23,2,146,22,2,35,2,1,146,3,131,5,0,761,0.770242914979757
5,806,50,5,167,26,1,10,7,89,10,4,18,0,0,104,0,53,2,1,547,0.6786600496277916
6,629,20,4,123,13,1,20,2,105,9,1,29,4,0,128,5,95,6,0,565,0.8982511923688394
7,863,50,4,155,12,4,18,3,88,14,2,27,2,0,114,4,147,26,1,671,0.7775202780996524
8,99,3,0,16,1,0,3,1,15,3,0,1,0,1,8,2,15,1,0,70,0.7070707070707071
9,922,40,1,159,21,4,37,5,161,12,4,25,0,0,130,1,175,5,2,782,0.8481561822125814
10,853,48,1,189,18,2,22,2,108,13,4,17,1,1,117,1,102,6,0,652,0.7643610785463072
11,711,45,2,150,15,2,15,0,93,11,3,29,1,0,92,0,94,1,0,553,0.7777777777777778
12,907,29,1,146,21,0,21,11,157,10,1,28,0,1,96,1,108,3,0,634,0.6990077177508269
13,635,9,1,118,7,0,20,2,110,10,3,16,0,0,113,3,94,2,1,509,0.8015748031496063
14,848,31,3,152,14,0,14,1,132,16,7,34,1,0,98,1,150,4,0,658,0.7759433962264151
15,741,48,3,160,10,0,25,3,111,8,5,23,0,0,106,3,72,6,0,583,0.786774628879892
16,870,30,1,129,22,1,41,1,174,19,2,22,1,0,118,1,105,4,0,671,0.771264367816092
17,686,31,1,156,19,0,8,7,84,12,1,10,1,0,103,2,55,4,0,494,0.7201166180758017
18,802,46,2,192,20,3,12,3,99,14,3,13,6,0,112,2,89,9,0,625,0.7793017456359103
19,616,20,3,95,10,0,5,7,103,13,1,9,1,1,102,1,46,4,0,421,0.6834415584415584
20,821,78,2,163,32,2,5,2,88,13,4,33,1,1,134,1,85,4,1,649,0.7904993909866017
21,654,43,1,139,22,0,2,3,71,5,2,3,0,0,89,3,52,2,0,437,0.6681957186544343
22,798,57,1,163,10,0,22,6,107,32,2,28,3,0,129,1,110,4,2,677,0.8483709273182958
23,768,57,0,163,12,0,27,5,106,15,2,13,0,2,130,6,103,6,1,648,0.84375
24,746,49,1,159,19,0,27,2,101,16,2,15,0,1,88,1,103,3,0,587,0.7868632707774799
25,918,47,2,260,11,1,21,7,89,13,3,12,0,0,130,1,87,8,0,692,0.7538126361655774
26,659,53,2,146,27,0,14,3,54,6,1,19,1,0,95,0,81,3,1,506,0.7678300455235205
27,671,50,0,147,18,1,11,3,93,8,2,13,0,0,96,3,75,4,2,526,0.7839046199701938
28,781,53,2,189,28,0,18,6,80,12,0,15,1,1,125,1,75,4,0,610,0.7810499359795134
29,750,34,2,152,6,1,25,1,94,9,1,26,4,0,93,1,122,7,2,580,0.7733333333333333
