SEZIONE,TOTALE_ISCRITTI,RIVOLUZIONE CIVILE INGROIA,SINISTRA ECOLOGIA LIBERTA',CENTRO DEMOCRATICO,PD - PARTITO DEMOCRATICO,CON MONTI PER L'ITALIA,PARTITO COMUNISTA DEI LAVOR.,CASAPOUND ITALIA,MOVIMENTO 5 STELLE BEPPEGRILLO,FN - FORZA NUOVA,PENSIONATI,LA DESTRA STORACE,MIR - MODERATI IN RIVOLUZIONE,FRATELLI D'ITALIA-CENTRODESTRA,IL POPOLO DELLA LIBERTA',LEGA NORD,FARE PER FERMARE IL DECLINO,TOTALE,AFFLUENZA
1,866,18,55,0,240,88,2,1,150,0,3,2,0,13,77,20,11,680,0.7852193995381063
2,563,6,36,1,118,34,2,2,95,1,4,0,0,5,76,9,14,403,0.7158081705150977
3,773,21,46,4,190,78,4,3,125,0,7,3,0,18,83,12,13,607,0.7852522639068564
4,943,16,52,1,180,120,0,1,131,1,3,1,0,19,143,26,37,731,0.7751855779427359
5,767,21,46,4,165,55,6,1,97,1,6,4,1,8,85,10,12,522,0.6805736636245111
6,587,6,18,4,123,87,0,3,101,0,3,2,1,15,101,8,18,490,0.8347529812606473
7,815,5,39,3,176,168,1,1,91,0,3,2,3,16,94,16,15,633,0.7766871165644171
8,94,1,2,0,20,13,0,0,8,1,1,0,0,2,16,2,1,67,0.7127659574468085
9,874,10,33,2,173,164,1,0,109,2,3,3,1,30,159,13,20,723,0.8272311212814645
10,798,3,40,0,206,91,4,2,101,0,3,4,1,21,109,11,10,606,0.7593984962406015
11,657,8,33,3,161,82,1,1,88,0,0,2,1,13,91,13,19,516,0.7853881278538812
12,847,11,33,2,137,107,2,0,80,2,6,1,0,22,156,12,21,592,0.6989374262101535
13,601,5,12,2,117,97,0,0,95,2,2,3,0,14,112,8,16,485,0.8069883527454242
14,777,7,22,4,160,140,0,1,81,0,1,7,0,13,127,18,23,604,0.7773487773487774
15,701,6,38,2,175,83,2,0,88,0,3,5,0,23,107,8,11,551,0.7860199714693296
16,814,12,30,2,136,104,0,1,103,0,2,1,2,35,167,21,14,630,0.773955773955774
17,647,12,35,2,146,64,5,2,88,0,6,1,0,10,86,10,7,474,0.732612055641422
