SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO VALORE UMANO - VOTI ALLA LISTA,+EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(+EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
1,882,49,92,3,0,109,3,4,192,17,2,27,52,0,58,10,25,643,0.7290249433106576
2,640,35,59,1,1,62,4,6,112,7,2,11,63,2,36,2,11,414,0.646875
3,809,47,91,7,0,80,2,3,190,4,1,36,70,3,79,5,20,638,0.788627935723115
4,986,36,105,12,1,90,6,7,194,14,2,30,108,5,111,12,16,749,0.7596348884381339
5,785,37,80,4,1,65,0,1,158,8,2,7,42,3,67,5,15,495,0.6305732484076433
6,686,16,86,12,0,75,4,1,146,10,4,47,70,2,103,6,6,588,0.8571428571428571
7,835,27,84,4,1,77,3,4,187,9,28,24,53,5,50,9,19,584,0.6994011976047905
8,97,5,7,0,0,4,1,1,17,0,2,4,13,1,8,1,1,65,0.6701030927835051
9,976,41,74,11,0,118,4,3,204,17,6,44,83,4,154,17,7,787,0.8063524590163934
10,798,51,62,9,0,84,2,6,164,9,4,39,81,2,69,7,11,600,0.7518796992481203
11,697,25,64,5,0,73,4,3,173,12,6,23,37,6,70,3,10,514,0.7374461979913917
12,877,32,52,3,2,72,1,2,159,10,2,31,108,2,94,6,6,582,0.6636259977194983
13,769,22,53,4,0,49,2,0,156,6,2,31,110,7,116,9,4,571,0.7425227568270482
14,827,28,55,7,1,92,3,3,198,8,2,29,80,3,114,6,6,635,0.7678355501813785
15,750,37,69,7,0,61,1,4,150,13,0,31,62,5,84,6,13,543,0.724
16,859,18,66,4,1,73,1,4,150,14,3,34,95,4,137,8,5,617,0.7182770663562281
17,706,30,64,8,0,46,1,1,129,5,0,22,69,2,46,5,9,437,0.6189801699716714
18,851,44,84,2,0,84,1,4,166,8,4,35,64,8,60,12,24,600,0.7050528789659224
19,610,24,71,4,1,40,4,2,110,5,1,20,80,2,58,3,7,432,0.7081967213114754
20,836,38,68,4,0,120,4,8,153,10,0,21,73,1,71,8,31,610,0.7296650717703349
21,643,24,91,9,1,44,1,5,104,5,0,23,67,1,39,5,4,423,0.6578538102643857
22,753,37,71,8,2,88,1,4,142,9,3,34,68,8,75,4,17,571,0.7583001328021248
23,757,47,64,10,1,80,6,5,159,17,2,28,57,0,77,11,22,586,0.774108322324967
24,780,39,49,4,0,72,6,6,159,26,2,33,66,7,70,12,20,571,0.732051282051282
25,902,55,92,2,2,86,5,5,203,9,4,34,74,1,55,5,9,641,0.7106430155210643
26,599,41,53,1,0,70,3,3,122,9,6,17,41,2,41,4,23,436,0.7278797996661102
27,622,43,46,3,2,66,2,8,124,16,3,20,50,1,67,2,12,465,0.747588424437299
28,745,43,72,5,0,79,4,2,159,8,4,26,57,2,64,8,18,551,0.7395973154362416
29,780,24,48,3,0,92,7,1,202,14,2,28,52,9,86,4,15,587,0.7525641025641026
30,739,36,51,5,0,92,3,4,161,18,1,27,44,4,107,11,18,582,0.7875507442489851
31,748,33,70,3,2,104,4,3,148,16,6,28,47,3,65,14,8,554,0.7406417112299465
32,791,33,75,4,2,101,1,4,178,34,3,17,50,2,55,15,6,580,0.7332490518331226
33,735,51,81,2,0,90,2,6,147,13,4,14,56,0,39,3,17,525,0.7142857142857143
34,808,34,81,8,1,78,1,8,158,16,8,34,52,1,71,7,9,567,0.7017326732673267
35,538,9,72,6,0,50,2,1,100,7,8,54,43,6,98,7,3,466,0.8661710037174721
36,891,34,53,1,1,82,4,4,212,20,9,44,96,6,118,10,9,703,0.7890011223344556
37,718,23,77,21,0,81,2,9,164,8,4,41,64,4,92,10,5,605,0.8426183844011143
38,626,22,51,5,0,54,6,2,168,7,3,32,76,2,73,14,5,520,0.8306709265175719
39,693,21,35,5,2,75,7,5,174,12,7,25,66,3,106,15,6,564,0.8138528138528138
40,614,25,48,1,0,63,5,10,146,12,2,23,60,4,66,7,6,478,0.7785016286644951
41,678,27,78,3,0,77,1,5,112,10,3,23,31,5,51,2,17,445,0.6563421828908554
42,686,37,54,3,0,58,0,0,158,12,6,34,55,2,67,6,7,499,0.7274052478134111
43,701,33,101,0,2,62,5,4,172,9,1,19,62,3,69,5,5,552,0.7874465049928673
44,899,38,69,2,1,85,3,3,200,12,6,16,73,4,82,8,9,611,0.6796440489432704
45,614,22,67,6,3,46,3,2,121,6,1,18,50,2,56,4,3,410,0.6677524429967426
46,723,30,61,2,0,63,2,1,160,16,4,29,62,4,72,3,14,523,0.7233748271092669
47,709,42,86,5,1,75,1,2,149,11,0,22,67,3,73,7,13,557,0.7856135401974612
48,674,20,75,5,1,74,1,3,116,4,1,23,62,1,96,9,5,496,0.7359050445103857
49,781,30,40,3,0,77,7,4,208,17,3,33,58,3,120,10,3,616,0.7887323943661971
50,744,10,41,2,1,60,3,4,167,8,6,50,76,2,129,8,5,572,0.7688172043010753
51,788,8,23,12,0,65,3,7,200,11,2,43,85,2,166,14,2,643,0.815989847715736
52,804,25,35,2,0,82,6,7,188,11,1,43,54,6,165,10,4,639,0.7947761194029851
53,727,24,38,7,1,80,4,3,147,16,9,42,73,3,110,5,3,565,0.7771664374140302
54,684,21,67,6,1,55,3,3,169,7,4,38,60,7,72,6,5,524,0.7660818713450293
55,768,0,0,0,0,59,4,4,180,13,0,41,58,0,67,7,0,433,0.5638020833333334
56,572,15,40,7,0,50,4,1,127,21,1,29,59,2,54,15,3,428,0.7482517482517482
57,763,17,61,5,0,69,5,7,160,5,7,26,67,2,60,14,4,509,0.6671035386631717
58,733,23,58,5,0,60,1,4,179,12,2,27,71,4,71,6,13,536,0.7312414733969986
59,817,27,65,4,0,62,5,4,178,6,7,29,78,4,84,6,9,568,0.6952264381884945
60,779,39,63,5,0,53,3,4,204,11,3,24,85,8,84,6,11,603,0.7740693196405648
61,594,30,83,1,0,35,1,4,128,6,0,15,47,1,50,2,6,409,0.6885521885521886
62,646,19,91,6,0,49,2,4,150,8,1,21,62,2,65,5,5,490,0.7585139318885449
63,685,17,61,3,0,54,3,4,171,7,14,32,62,7,66,5,6,512,0.7474452554744525
64,733,42,73,3,2,63,3,7,157,9,4,36,66,2,63,9,9,548,0.747612551159618
