SEZIONE,TOTALE_ISCRITTI,LIBERI E UGUALI - VOTI ALLA LISTA,GRANDE NORD - VOTI ALLA LISTA,ITALIA AGLI ITALIANI - VOTI ALLA LISTA,MOVIMENTO 5 STELLE - VOTI ALLA LISTA,PARTITO DEMOCRATICO - VOTI ALLA LISTA,PIÃ¹ EUROPA CON EMMA BONINO - VOTI ALLA LISTA,CIVICA POPOLARE LORENZIN - VOTI ALLA LISTA,ITALIA EUROPA INSIEME - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(PIÃ¹ EUROPA CON EMMA BONINO - CIVICA POPOLARE LORENZIN - ITALIA EUROPA INSIEME - PARTITO DEMOCRATICO)",IL POPOLO DELLA FAMIGLIA - VOTI ALLA LISTA,NOI CON L'ITALIA UDC - VOTI ALLA LISTA,LEGA - VOTI ALLA LISTA,FORZA ITALIA BERLUSCONI PRESIDENTE - VOTI ALLA LISTA,GIORGIA MELONI FRATELLI D'ITALIA - VOTI ALLA LISTA,"VOTI SOLO CANDIDATO UNINOMINALE
(GIORGIA MELONI FRATELLI D'ITALIA - LEGA - NOI CON L'ITALIA UDC - FORZA ITALIA BERLUSCONI PRESIDENTE)",PARTITO VALORE UMANO - VOTI ALLA LISTA,CASAPOUND ITALIA - VOTI ALLA LISTA,PARTITO REPUBBLICANO ITALIANO ALA  - VOTI ALLA LISTA,POTERE AL POPOLO! - VOTI ALLA LISTA,TOTALE,AFFLUENZA
1,838,48,1,0,91,191,92,4,6,14,1,0,53,57,22,7,1,4,2,18,612,0.7303102625298329
2,611,39,0,0,54,113,56,1,8,4,1,6,56,34,11,4,0,1,0,12,400,0.6546644844517185
3,760,49,0,2,82,153,76,2,3,5,0,4,66,66,32,1,0,5,1,24,571,0.7513157894736842
4,932,47,0,0,100,187,84,4,4,7,3,5,103,119,23,4,0,8,0,13,711,0.7628755364806867
5,733,39,1,2,78,150,56,0,1,10,1,4,41,62,9,5,0,4,1,14,478,0.6521145975443383
6,633,18,0,0,70,120,62,3,1,7,4,7,65,94,23,7,0,8,1,7,497,0.7851500789889415
7,789,38,0,1,75,181,66,2,3,8,30,6,52,48,25,7,1,4,1,16,564,0.714828897338403
8,95,6,0,0,7,15,5,1,0,0,2,2,11,7,5,2,0,0,0,0,63,0.6631578947368421
9,902,38,0,0,71,184,104,2,4,12,6,7,80,149,30,12,0,6,1,6,712,0.7893569844789357
10,752,41,1,0,57,159,72,3,5,9,5,4,76,75,29,3,1,4,0,13,557,0.7406914893617021
11,657,23,0,3,63,158,76,2,3,9,5,9,39,61,18,1,0,3,0,9,482,0.7336377473363774
12,812,30,1,3,48,144,66,0,0,4,2,2,107,90,30,3,0,1,0,6,537,0.6613300492610837
13,720,20,0,1,56,139,37,3,2,9,2,11,104,109,30,8,1,3,2,4,541,0.7513888888888889
14,779,26,0,0,50,180,92,4,3,5,2,8,78,108,28,2,1,4,0,7,598,0.7676508344030809
15,704,34,0,0,69,131,59,0,4,14,1,5,61,84,27,5,0,5,1,9,509,0.7230113636363636
16,808,15,0,3,62,134,65,1,4,9,2,5,83,146,32,6,0,5,0,6,578,0.7153465346534653
17,674,34,0,2,60,127,37,1,0,8,0,4,61,48,17,4,0,7,0,7,417,0.6186943620178041
18,788,43,0,0,73,157,76,1,4,10,4,6,60,56,28,8,1,3,1,18,549,0.6967005076142132
19,559,23,0,0,70,99,41,3,2,4,1,0,77,57,22,2,0,4,0,4,409,0.7316636851520573
20,785,41,0,1,71,138,117,3,5,9,1,1,72,64,19,6,0,4,0,24,576,0.7337579617834394
21,606,25,0,0,77,94,47,1,3,3,1,4,65,37,17,6,1,10,0,5,396,0.6534653465346535
22,703,35,0,2,68,136,75,1,3,11,4,9,61,72,27,5,3,6,1,14,533,0.7581792318634424
23,703,39,0,1,67,149,62,3,4,23,3,2,59,72,19,12,2,6,0,15,538,0.7652916073968705
24,735,36,0,1,46,152,71,5,5,23,2,8,65,65,28,12,0,2,0,19,540,0.7346938775510204
25,857,56,1,4,88,184,86,3,5,11,4,0,77,55,24,4,2,1,0,10,615,0.7176196032672112
26,555,40,0,1,51,121,55,3,5,6,5,2,43,41,10,4,0,2,0,17,406,0.7315315315315315
27,580,44,0,2,47,110,58,2,7,8,1,4,52,67,17,2,3,1,0,9,434,0.7482758620689656
28,703,46,1,1,71,144,77,3,4,5,4,2,53,64,21,8,0,4,0,16,524,0.7453769559032717
29,726,25,2,2,44,191,80,4,4,3,2,7,55,88,24,4,0,2,1,9,547,0.7534435261707989
30,687,32,0,2,51,148,87,3,3,10,1,9,45,100,29,9,0,5,1,10,545,0.7933042212518195
31,700,29,0,1,70,142,93,3,2,4,3,7,46,65,26,11,2,1,0,4,509,0.7271428571428571
