MOVIMENTO 5 STELLE,AZIONE - ITALIA VIVA - CALENDA,FRATELLI D'ITALIA CON GIORGIA,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRU,LEGA PER SALVINI PREMIER,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,+EUROPA,PARTITO DEMOCRATICO - ITALIA D,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO -,VITA,UNIONE POPOLARE CON DE MAGISTR,TOTALE,SEZIONE,AFFLUENZA
58,85,76,30,1,13,7,8,51,197,70,1,7,21,625,1,0.7126567844925884
36,42,44,20,1,20,6,6,38,115,53,0,6,15,402,2,0.5946745562130178
39,77,79,31,1,21,10,9,39,135,51,2,3,18,515,3,0.6723237597911227
52,138,137,39,8,29,6,10,46,153,70,2,5,19,714,4,0.7204843592330978
42,50,57,19,3,12,7,14,38,123,54,3,5,13,440,5,0.5548549810844893
40,118,97,31,2,11,6,4,34,100,26,2,1,4,476,6,0.7115097159940209
44,88,108,22,3,13,8,6,48,175,54,1,2,11,583,7,0.694047619047619
6,9,13,6,0,1,3,2,1,19,2,0,0,1,63,8,0.6774193548387096
41,160,156,45,4,15,5,7,35,154,36,0,0,15,673,9,0.6988577362409139
40,99,93,27,4,18,8,4,34,153,39,1,5,16,541,10,0.709043250327654
27,94,86,31,4,11,6,4,38,133,48,1,5,4,492,11,0.6776859504132231
33,87,112,26,3,19,4,12,44,102,30,2,2,3,479,12,0.5675355450236966
26,170,223,45,2,22,8,6,30,128,25,3,4,3,695,13,0.7006048387096774
30,140,112,40,4,22,5,4,45,122,39,2,0,4,569,14,0.6896969696969697
19,92,103,28,3,11,7,7,27,139,34,1,4,8,483,15,0.6949640287769784
40,142,140,53,2,26,9,9,26,118,48,1,3,7,624,16,0.6895027624309392
53,28,52,13,3,16,7,12,30,121,38,1,4,5,383,17,0.5856269113149847
45,95,80,26,9,18,11,7,50,155,65,2,2,12,577,18,0.6977025392986699
40,45,71,19,1,12,10,2,25,97,23,3,8,16,372,19,0.6138613861386139
42,84,103,18,3,19,9,7,57,159,82,0,1,22,606,20,0.7180094786729858
34,43,54,9,1,11,5,6,23,107,26,1,2,6,328,21,0.5996343692870201
43,59,109,25,8,17,8,7,48,146,48,1,7,8,534,22,0.7017082785808147
42,87,83,37,1,8,7,7,49,142,37,3,3,16,522,23,0.6932270916334662
26,90,111,29,6,19,13,8,43,171,56,2,1,15,590,24,0.7347447073474471
54,76,90,18,0,29,7,5,50,210,54,3,5,6,607,25,0.675194660734149
34,82,51,11,1,6,7,10,31,94,31,2,1,18,379,26,0.6602787456445993
28,62,86,29,1,11,1,6,41,118,42,0,3,10,438,27,0.6865203761755486
36,57,76,26,2,13,3,7,44,148,51,6,4,16,489,28,0.6810584958217271
33,110,86,21,3,16,11,4,37,135,52,1,3,7,519,29,0.6938502673796791
27,135,79,34,4,14,11,6,34,121,59,0,2,10,536,30,0.7302452316076294
29,113,79,37,2,21,4,13,37,150,52,0,2,10,549,31,0.6879699248120301
48,87,75,21,2,11,13,8,36,184,66,0,4,13,568,32,0.7135678391959799
36,71,63,16,1,16,8,15,40,141,56,0,3,10,476,33,0.6520547945205479
33,88,97,27,10,17,6,7,41,149,53,2,5,7,542,34,0.6741293532338308
0,0,129,24,3,10,0,0,34,71,21,5,0,0,297,35,0.5201401050788091
32,136,143,41,9,23,5,8,42,167,42,0,5,6,659,36,0.756601607347876
32,148,106,28,9,12,3,5,51,137,20,2,5,7,565,37,0.7225063938618926
20,113,100,27,3,11,2,4,36,112,24,1,0,4,457,38,0.7667785234899329
16,138,113,42,2,17,10,3,38,132,25,1,4,7,548,39,0.7435549525101763
33,102,101,29,1,17,3,4,30,105,25,1,4,8,463,40,0.7396166134185304
33,70,52,13,3,12,8,5,55,100,45,1,1,8,406,41,0.6403785488958991
29,97,83,27,2,7,9,7,21,108,34,2,2,7,435,42,0.6541353383458647
34,65,73,16,3,23,8,3,28,140,36,2,3,7,441,43,0.6533333333333333
38,102,103,23,6,17,9,9,45,185,57,4,4,5,607,44,0.6290155440414508
26,80,52,30,6,12,4,7,28,101,30,2,4,7,389,45,0.6264090177133655
45,65,83,17,3,16,2,5,49,123,45,0,3,11,467,46,0.6605374823196606
40,106,75,23,0,16,9,7,47,127,38,1,0,5,494,47,0.6957746478873239
33,93,81,23,1,24,7,6,36,114,12,0,5,11,446,48,0.6510948905109489
25,150,118,31,6,15,10,6,44,143,30,2,8,4,592,49,0.7474747474747475
24,184,140,46,5,19,7,8,34,91,20,2,1,8,589,50,0.7699346405228759
13,201,168,44,4,23,6,4,32,94,21,0,2,10,622,51,0.7369668246445498
12,178,117,42,6,21,6,7,36,125,29,0,2,9,590,52,0.7642487046632125
25,126,129,29,4,17,4,6,28,148,21,0,4,5,546,53,0.7212681638044914
23,94,97,22,6,25,8,9,37,121,18,3,2,2,467,54,0.7022556390977444
39,107,87,28,4,16,8,7,38,157,32,5,3,8,539,55,0.6848792884371029
22,87,100,31,1,13,11,4,20,89,18,2,2,3,403,56,0.7170818505338078
26,117,86,29,3,20,4,8,34,142,31,0,3,4,507,57,0.6823687752355316
33,113,87,23,6,15,4,4,36,164,31,2,1,8,527,58,0.7209302325581395
42,108,106,24,3,16,5,9,31,151,28,0,1,10,534,59,0.6962190352020861
35,117,85,25,8,28,5,8,48,172,32,2,1,5,571,60,0.7283163265306123
47,50,74,17,0,14,2,4,33,115,22,1,2,9,390,61,0.6770833333333334
40,73,76,22,4,17,13,9,24,134,24,2,0,9,447,62,0.6855828220858896
22,87,120,30,14,23,5,5,31,129,14,1,4,0,485,63,0.7271364317841079
30,79,110,27,4,21,13,6,32,143,38,3,3,7,516,64,0.7196652719665272
23,179,150,41,6,20,8,6,22,141,30,0,1,5,632,65,0.7444051825677267
35,92,81,24,3,19,10,7,35,139,24,2,2,11,484,66,0.7065693430656934
39,73,91,17,2,21,5,9,26,129,31,3,4,7,457,67,0.6491477272727273
23,120,124,30,11,10,1,5,28,111,20,1,3,1,488,68,0.7484662576687117
20,173,145,50,9,10,4,1,39,123,12,2,4,2,594,69,0.7785058977719528
26,150,119,38,4,16,1,4,39,107,20,1,1,4,530,70,0.748587570621469
30,114,117,23,5,21,10,4,43,154,30,0,4,3,558,71,0.7227979274611399
33,84,86,21,0,15,4,4,39,112,37,1,6,8,450,72,0.6598240469208211
30,102,85,19,3,9,1,2,26,150,24,0,2,8,461,73,0.7594728171334432
19,104,96,21,3,10,3,4,27,104,24,0,0,8,423,74,0.6497695852534562
24,61,60,17,5,16,4,4,20,85,15,1,2,2,316,75,0.7297921478060047
45,56,102,16,0,27,0,6,26,88,16,0,2,5,389,76,0.5957120980091883
46,53,78,20,2,11,11,7,20,99,30,1,5,3,386,77,0.5993788819875776
48,21,41,20,0,21,3,3,13,56,11,3,1,5,246,78,0.40931780366056575
24,93,89,21,1,30,10,0,30,145,25,1,1,3,473,79,0.6955882352941176
14,119,84,31,5,21,7,1,27,124,26,1,2,5,467,80,0.6837481698389458
29,61,70,24,1,9,9,7,22,107,22,0,0,3,364,81,0.6594202898550725
61,13,80,31,1,15,2,5,10,41,10,3,0,10,282,82,0.15359477124183007
47,51,66,20,4,18,4,3,19,100,19,2,2,8,363,84,0.6447602131438721
41,52,66,19,2,18,12,8,24,89,20,0,7,8,366,85,0.6421052631578947
39,57,106,30,3,23,8,7,37,104,29,3,7,10,463,86,0.6869436201780416
69,61,78,17,5,28,9,4,26,152,21,3,5,8,486,87,0.6488651535380507
50,43,120,27,3,26,6,5,23,108,33,2,4,6,456,88,0.5588235294117647
80,45,97,27,0,27,10,7,19,104,30,3,0,5,454,89,0.6185286103542235
50,43,71,22,2,17,5,8,15,90,26,2,4,2,357,90,0.5900826446280992
48,50,53,18,3,25,5,3,22,95,25,2,3,4,356,91,0.6180555555555556
47,33,78,4,29,19,5,10,105,27,1,23,5,8,394,92,0.6108527131782946
48,12,58,11,0,16,7,3,12,63,13,1,1,2,247,93,0.4616822429906542
59,49,103,37,3,29,14,3,23,112,30,2,5,13,482,94,0.6227390180878553
57,74,136,32,3,29,10,9,33,134,29,2,1,11,560,95,0.6706586826347305
56,52,100,22,6,24,7,9,19,129,18,4,6,8,460,96,0.6141522029372497
57,61,114,21,7,33,3,6,25,103,17,2,2,8,459,97,0.6253405994550408
36,37,85,38,1,28,10,3,24,122,18,2,6,7,417,98,0.6289592760180995
48,54,105,34,2,25,7,4,23,105,7,1,4,5,424,99,0.6048502139800286
52,42,113,35,1,28,19,5,20,124,22,2,2,9,474,100,0.6286472148541115
50,51,89,32,2,21,8,6,14,126,22,5,3,5,434,101,0.6147308781869688
59,32,103,30,3,31,4,8,19,95,27,3,5,4,423,102,0.6148255813953488
42,40,78,25,4,22,3,6,33,118,28,2,2,7,410,103,0.5710306406685237
56,46,106,23,4,25,11,6,24,113,25,4,4,7,454,104,0.5934640522875817
50,50,96,13,0,27,13,8,22,114,25,3,1,8,430,105,0.5470737913486005
40,33,66,28,2,28,11,14,17,132,28,2,1,7,409,106,0.6390625
35,35,82,28,2,34,8,6,17,123,19,0,6,3,398,107,0.5852941176470589
50,51,104,20,5,31,17,13,27,139,38,5,4,13,517,108,0.6266666666666667
47,39,92,22,0,28,3,5,16,97,19,2,1,5,376,109,0.5046979865771812
39,27,67,14,4,19,11,1,10,58,13,4,5,4,276,110,0.5575757575757576
45,47,103,31,2,40,3,6,19,140,27,4,1,4,472,111,0.5959595959595959
47,40,103,29,1,25,9,4,15,125,28,0,6,2,434,112,0.6156028368794326
40,53,58,22,4,30,9,7,21,130,20,1,2,7,404,113,0.6186830015313936
31,73,92,38,4,24,6,10,41,143,23,1,3,2,491,114,0.6254777070063694
57,77,74,28,1,29,18,8,19,138,15,3,2,5,474,115,0.6431478968792401
54,55,118,39,4,42,16,10,18,142,26,1,3,14,542,116,0.6152099886492622
62,46,90,22,5,15,12,7,22,128,21,1,6,1,438,117,0.6143057503506312
31,52,87,24,6,22,5,4,13,109,22,1,8,5,389,118,0.6626916524701874
38,62,88,22,4,30,7,13,27,170,35,1,0,8,505,119,0.6541450777202072
36,41,74,10,3,19,10,12,20,110,21,0,1,5,362,120,0.6135593220338983
62,32,64,18,2,25,8,4,13,110,23,1,4,5,371,121,0.5805946791862285
41,40,85,15,2,24,13,6,20,90,16,2,2,5,361,122,0.6245674740484429
60,28,74,29,2,24,6,13,20,110,22,1,3,6,398,123,0.5852941176470589
47,38,101,14,1,38,12,8,17,99,22,3,2,7,409,124,0.5962099125364432
51,44,82,24,1,26,10,15,25,113,32,2,4,6,435,125,0.6286127167630058
46,23,80,19,1,25,16,8,14,96,16,5,3,6,358,126,0.5821138211382114
41,21,62,19,1,24,8,3,15,104,20,2,1,7,328,127,0.5421487603305785
48,17,70,14,5,20,8,7,22,109,23,1,1,4,349,128,0.6090750436300174
56,42,86,23,3,21,8,6,30,131,22,5,1,7,441,129,0.6363636363636364
55,61,116,28,2,27,8,10,24,165,39,0,2,5,542,130,0.7084967320261438
58,48,80,16,2,17,3,5,27,117,31,1,3,2,410,131,0.586552217453505
60,38,111,26,0,27,16,8,23,120,20,0,4,5,458,132,0.5612745098039216
70,38,142,33,2,31,12,8,31,154,13,1,8,12,555,133,0.5961331901181526
69,33,96,29,1,20,7,7,24,99,31,4,4,4,428,134,0.6158273381294964
62,53,117,23,0,25,5,11,19,141,18,1,5,1,481,135,0.6553133514986376
