party,OLS_coefficient,p_value,0.01,0.99,country,period,party_name_english,party_name_short,party_name,family_name
Democratic Party,-0.2705982312700984,2.226254606590796e-251,-0.2909783646813789,-0.2502180978588179,IT,3,Democratic Party,PD,Partito Democratico,Social democracy
Other,-0.1265008286364087,5.815053258179235e-120,-0.1404278570456268,-0.1125738002271907,IT,3,,X,ALTRO,
Italy Alive,-0.1144554516835846,4.263380525066864e-101,-0.1282134075394694,-0.1006974958276999,IT,3,Italy Alive,IV,Italia Viva,Liberal
Left,-0.0861946849978106,9.908284470517641e-57,-0.100153415550753,-0.0722359544448682,IT,3,Left,S,Sinistra,Communist/Socialist
More Europe,-0.0643171446161565,5.392771674240777e-36,-0.0775262544244295,-0.0511080348078835,IT,3,More Europe,+EU,+Europa,Liberal
Five Star Movement,-0.0567428300551469,2.3671475731758443e-14,-0.0758929328421116,-0.0375927272681822,IT,3,Five Star Movement,M5S,Movimento 5 Stelle,no family
Democratic Centre,-0.013085753912675,0.0086624243416537,-0.0259258857847248,-0.0002456220406253,IT,3,,CD,Centro Democratico,
South American Union Italian Emigrants,-0.0026405337247238,0.5950470642822618,-0.0154372796487592,0.0101562121993115,IT,3,South American Union Italian Emigrants,USEI,Unione Sudamericana Emigrati Italiani,Conservative
South Tyrol Peoples Party,-0.0011881235891793,0.8107504265788548,-0.0139693916520379,0.0115931444736792,IT,3,South Tyrol Peoples Party,SVP,Südtiroler Volkspartei,Special issue
Associative Italians Abroad,4.3443618938001e-05,0.9930245408168844,-0.012757137690514,0.01284402492839,IT,3,Associative Italians Abroad,AIE,Associativo Italiani all'Estero,Special issue
Union / Centre,0.0001059997559352,0.9830703097397676,-0.012761829543456,0.0129738290553265,IT,3,Union / Centre,UC,Unione / Centro,Christian democracy
Go Italy -- The People of Freedom,0.0533274721664793,4.016227402743751e-20,0.0383866970655132,0.0682682472674453,IT,3,Go Italy -- The People of Freedom,FI-PdL,Forza Italia – Il Popolo della Libertà,Conservative
Brothers of Italy,0.0733509491025928,2.5318673987161558e-40,0.0591586780036678,0.0875432202015178,IT,3,Brothers of Italy,FdI,Fratelli d'Italia,Right-wing
North League,0.1978720678916692,1.9451674143643202e-236,0.1824923036086122,0.2132518321747263,IT,3,North League,LN,Lega Nord,Right-wing
